Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,436,1
County Assembly,,,,,,436,1
"General administration, Finance
and Planning",Finance Management Services,"83,114,618","183,000","82,931,618",0.22,436,1
,"Management of County As-
sembly Affairs","202,761,563","39,914,656","162,846,907",19.69,436,1
,Administrative Services,"6,467,500",-,"6,467,500",0.00,436,1
,,A,B,C=A-B,D=B/A*100,437,0
"County legislation and oversight
services",County Assembly Legislation,"152,079,602","16,885,048","135,194,554",11.10,437,0
,"Coordination & Supervisory
Services","35,036,717",,"35,036,717",0.00,437,0
,"Procedure & Oversight Ser-
vices","35,540,000","2,800,000","32,740,000",7.88,437,0
,,"515,000,000","59,782,704","455,217,296",11.61,437,0
"Office of Governor and Depu-
ty Governor",,,,,,437,0
"County Government Advisory
Services",Communication and Strategy,"11,100,000","721,200","10,378,800",6.50,437,0
"County Leadership and
Coordination of MDAs","Coordination of CMAs (Office
of County Secretary)","5,650,000","1,066,480","4,583,520",18.88,437,0
,"Public Sector Advisory Services
(Legal, Political, and Economic
Affairs)","19,000,000","140,080","18,859,920",0.74,437,0
"General Administration,
Planning and Support Services","Coordination and Supervisory
Services (Deputy Governor's
Office)","15,350,000","1,338,650","14,011,350",8.72,437,0
,"Management of County Affairs
(Office of Governor)","91,175,700","23,598,871","67,576,829",25.88,437,0
,,"142,275,700","26,865,281","115,410,419",18.88,437,0
"Roads, Infrastructure, Public
Works and ICT",,,,,,437,0
"General Administration Planning
and Support Services","General Administration Ser-
vices","165,599,200","15,122,068","150,477,132",9.13,437,0
"Kathwana Municipality
Development Programme",Kathwana Urban Area Support,"7,340,200","2,384,706","4,955,494",32.49,437,0
"Public Works and Housing
Services",Public Works Services,"3,550,000",-,"3,550,000",0.00,437,0
Roads Transport,"Rural Roads Improvement and
Maintenance Services","364,658,410","11,046,300","353,612,110",3.03,437,0
"Urban Development and
Administration",Urban Administrative Services,"45,000,000","4,592,760","40,407,240",10.21,437,0
,,"586,147,810","33,145,834","553,001,976",5.65,437,0
Medical Services,,,,,,437,0
"Curative and Rehabilitative
Services",Laboratory Services,"45,000,000","462,600","44,537,400",1.03,437,0
,Medical Supplies,"173,000,000","26,553,727","146,446,273",15.35,437,0
"General Administration Planning
and Support Services","General Administration Ser-
vices","198,313,787","6,788,560","191,525,227",3.42,437,0
,Human resource management,"1,135,413,400","410,373,369","725,040,031",36.14,437,0
,,"1,551,727,187","444,178,256","1,107,548,931",28.62,437,0
"Lands, Physical Planning, Urban Development, Environment and Natural Resources",,,,,,437,0
"Environment and Natural
Resources Management","Environment and Natural Re-
source","30,429,600","4,419,086","26,010,514",14.52,437,0
Land Policy and Planning,"Land administration & man-
agement","4,688,700","151,280","4,537,420",3.23,437,0
,Physical Planning Services,"69,558,000","8,464,498","61,093,502",12.17,437,0
,,"104,676,300","13,034,864","91,641,436",12.45,437,0
"Agriculture, Cooperatives and Industry",,,,,,437,0
"Cooperative Development and
Management",Cooperative Development,"3,493,683",-,"3,493,683",0.00,437,0
"Crop Development and
Management","Crops Development, Agribusi-
ness and Market Development","457,890,290",-,"457,890,290",0.00,437,0
,,A,B,C=A-B,D=B/A*100,438,0
"General Administration Planning
and Support Services","Administration, Policy, Strat-
egy and Management of Agri-
culture","134,437,627","34,332,472","100,105,155",25.54,438,0
,,"595,821,600","34,332,472","561,489,128",5.76,438,0
"Public Administration and Devolution Affairs
County Government Advisory Disaster Management and Co-
1,850,000
Services ordination",,,,,,438,0
"County Government Advisory
Services",,,"186,000","1,664,000",10.05,438,0
"General Administration,
Planning and Support Services","General Administration and
Support Services","113,994,890","33,254,913","80,739,977",29.17,438,0
,"Human Resource Management
Services","3,100,000","16,550","3,083,450",0.53,438,0
,"Sub-County Administration
and Field Services","3,900,000","364,200","3,535,800",9.34,438,0
,,"122,844,890","33,821,663","89,023,227",27.53,438,0
"Education and Vocational
Training",,,,,,438,0
Education and Youth Training,"Promotion of Basic Education
(ECDE)","57,938,765",-,"57,938,765",0.00,438,0
,"Youth Training and Capacity
Building","35,873,835",-,"35,873,835",0.00,438,0
"General Administration Planning
and Support Services","Administration Planning and
Support Services","154,444,800","53,301,504","101,143,296",34.51,438,0
,,"248,257,400","53,301,504","194,955,896",21.47,438,0
Trade and Revenue,,,,,,438,0
"General Administration,
Planning and Support Services","General Administration and
Support Services","91,601,500","30,676,858","60,924,642",33.49,438,0
"Industrial Development and
Investment",Industrial Development,"6,400,000",-,"6,400,000",0.00,438,0
"Trade Development and
promotion","Consumer Protection & Fair
Trade Practices","9,610,000",-,"9,610,000",0.00,438,0
,,"107,611,500","30,676,858","76,934,642",28.51,438,0
"Finance and Economic Plan-
ning",,,,,,438,0
"Economic Policy and County
Planning",County Statistics Services,"2,400,000","454,200","1,945,800",18.93,438,0
,"Economic Development, Plan-
ning and Coordination Ser-
vices","2,400,000",-,"2,400,000",0.00,438,0
,"Monitoring and Evaluation
Services","2,350,000",-,"2,350,000",0.00,438,0
Financial Management Services,Accounting Services,"3,500,000","458,800","3,041,200",13.11,438,0
,Audit Services,"3,500,000","593,500","2,906,500",16.96,438,0
,"Budget Formulation and Coor-
dination","3,750,000","42,000","3,708,000",1.12,438,0
,"Supply Chain Management
Services","1,900,000","53,760","1,846,240",2.83,438,0
"General Administration,
Planning and Support Services","General Administration and
Support Services","263,769,540",-,"263,769,540",0.00,438,0
,"Human Resource Management
Services","258,919,900","58,605,912","200,313,988",22.63,438,0
Resource mobilisation,Revenue Administration,"13,300,000","684,400","12,615,600",5.15,438,0
,,"555,789,440","60,892,572","494,896,868",10.96,438,0
Water Services and Irrigation,,,,,,438,0
,,A,B,C=A-B,D=B/A*100,439,0
Water Supply Services,Domestic Water Services,"108,765,250","10,930,700","97,834,550",10.05,439,0
,"Irrigation and Drainage Ser-
vices","41,169,390","156,250","41,013,140",0.38,439,0
,Water Storage Services,"1,265,110","117,650","1,147,460",9.30,439,0
,,"151,199,750","11,204,600","139,995,150",7.41,439,0
County Public Service Board,,,,,,439,0
"Economic Policy and County
Planning","Monitoring and Evaluation
Services","160,000","160,000",-,100,439,0
Financial Management Services,"Monitoring and Evaluation
Services","874,900","37,600","837,300",4.30,439,0
"General Administration,
Planning and Support Services","General Administration and
Support Services","21,598,000","4,235,146","17,362,854",19.61,439,0
"Human Resource Management
and Development","County Public Service Board
Services","2,700,500","541,880","2,158,620",20.07,439,0
,,"25,333,400","5,079,126","20,254,274",20.05,439,0
Energy and Housing,,,,,,439,0
"Energy Resource Development
& Management","Energy Resource Development
& Management","81,000,000",-,"81,000,000",0.00,439,0
"General Administration Planning
and Support Services","General Administration Ser-
vices","19,959,380","5,367,700","14,591,680",26.89,439,0
ICT Infrastructure Development,"ICT Infrastructure Develop-
ment","18,800,000","399,040","18,400,960",2.12,439,0
,,"119,759,380","5,766,740","113,992,640",4.82,439,0
Public Health and Sanitation,,,,,,439,0
"Preventive and Promotive Health
Services",Disease Surveillance,"6,000,000",-,"6,000,000",0.00,439,0
,Environmental Health Services,"32,987,000",-,"32,987,000",0.00,439,0
