Programme,Sub Programme,Approved Budget,"Actual Expenditure
as of 30th Septem-
ber 2022",Absorption (%),page_number,table_index
,County Assembly Headquarters,"700,000,000","107,656,855",15.0,421,0
701003260,General Administration support services,"650,000,000","107,656,855",17.0,421,0
702003260,County Assembly Infrastructure improvement,"50,000,000",-,-,421,0
,Headquarters,"2,786,617,086","742,670,461",27.0,421,0
705003260,Leadership Development Programme,"4,500,000",-,-,421,0
701003260,General Administration support services,"2,782,117,086","742,670,461",27.0,421,0
704003260,"General Administration and Management of
County Affairs",-,-,-,421,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,421,0
3260,,-,-,-,421,0
,Taveta Sub County Administration,"2,000,000",-,-,421,0
705003260,Leadership Development Programme,-,-,-,421,0
701003260,General Administration support services,"2,000,000",-,-,421,0
,Wundanyi Sub County Administration,"2,000,000",-,-,421,0
701003260,General Administration support services,"2,000,000",-,-,421,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,421,0
,Mwatate Sub County Administration,"2,000,000",-,-,421,0
701003260,General Administration support services,"2,000,000",-,-,421,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,421,0
,Voi Sub County Administration,"2,000,000",-,-,421,0
701003260,General Administration support services,"2,000,000",-,-,421,0
,Taveta Town Administration,"1,000,000",-,-,421,0
701003260,General Administration support services,"1,000,000",-,-,421,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,421,0
705003260,Leadership Development Programme,-,-,-,421,0
,Voi Town Administration,"1,000,000",-,-,421,0
701003260,General Administration support services,"1,000,000",-,-,421,0
705003260,Leadership Development Programme,-,-,-,421,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,421,0
,County Policing Authority,-,-,-,421,0
701003260,General Administration support services,-,-,-,421,0
,Human Resource Management,"5,900,000",-,-,421,0
701003260,General Administration support services,"5,900,000",-,-,421,0
,,"5,000,000",-,-,421,0
701003260,General Administration support services,"5,000,000",-,-,421,0
,,"1,600,000",-,-,421,0
701003260,General Administration support services,"1,600,000",-,-,421,0
,Headquarters,"100,430,000","9,076,362",9.0,421,0
705003260,Leadership Development Programme,"15,000,000",-,-,421,0
701003260,General Administration support services,-,-,-,421,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,421,0
704003260,"General Administration and Management of
County Affairs","85,430,000","9,076,362",11.0,421,0
,Office of the Deputy Governor,"34,540,000",-,-,422,0
705003260,Leadership Development Programme,-,-,-,422,0
704003260,"General Administration and Management of
County Affairs","34,540,000",-,-,422,0
,Special Programmes Unit,"14,310,000",-,-,422,0
705003260,Leadership Development Programme,"6,000,000",-,-,422,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,422,0
704003260,"General Administration and Management of
County Affairs","8,310,000",-,-,422,0
,Service Delivery Unit,"2,550,000",-,-,422,0
704003260,"General Administration and Management of
County Affairs","2,550,000",-,-,422,0
,Industrialisation,-,-,-,422,0
705003260,Leadership Development Programme,-,-,-,422,0
704003260,"General Administration and Management of
County Affairs",-,-,-,422,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,422,0
,ICT,"13,425,000",-,-,422,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,422,0
704003260,"General Administration and Management of
County Affairs","13,425,000",-,-,422,0
,,"6,976,002",-,-,422,0
704003260,"General Administration and Management of
County Affairs","6,976,002",-,-,422,0
,,"4,642,212",-,-,422,0
704003260,"General Administration and Management of
County Affairs","4,642,212",-,-,422,0
,,"30,270,000",-,-,422,0
704003260,"General Administration and Management of
County Affairs","30,270,000",-,-,422,0
,Headquarters,"33,988,240",-,-,422,0
706003260,"General Administration, planning, Internal Au-
dit & Support Services","33,988,240",-,-,422,0
701003260,General Administration support services,-,-,-,422,0
707003260,Treasury Development Programme,-,-,-,422,0
,County Emergency Fund,"10,000,000",-,-,422,0
701003260,General Administration support services,-,-,-,422,0
707003260,Treasury Development Programme,-,-,-,422,0
706003260,"General Administration, planning, Internal Au-
dit & Support Services","10,000,000",-,-,422,0
,Equalisation of Wards Infrastructure,-,-,-,422,0
707003260,Treasury Development Programme,-,-,-,422,0
,Planning,"19,735,000",-,-,422,0
706003260,"General Administration, planning, Internal Au-
dit & Support Services","19,735,000",-,-,422,0
707003260,Treasury Development Programme,-,-,-,422,0
,Gratuity Fund,-,-,-,422,0
706003260,"General Administration, planning, Internal Au-
dit & Support Services",-,-,-,422,0
,County Executive Administration,"10,000,000",-,-,422,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","10,000,000",-,-,423,0
701003260,General Administration support services,-,-,-,423,0
,Internal Audit Services,"10,560,000",-,-,423,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","10,560,000",-,-,423,0
,Revenue Management,"33,255,000",-,-,423,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","33,255,000",-,-,423,0
701003260,General Administration support services,-,-,-,423,0
,Procurement,"7,590,302",-,-,423,0
706003260,"General Administration, planning, Internal Au-
dit & Support Services","7,590,302",-,-,423,0
,Accounting Services,"19,562,800",-,-,423,0
701003260,General Administration support services,-,-,-,423,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","19,562,800",-,-,423,0
,Kenya Devolution Support Programme,-,-,-,423,0
701003260,General Administration support services,-,-,-,423,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services",-,-,-,423,0
,,"280,718,220",-,-,423,0
707003260,Treasury Development Programme,"151,546,613",-,-,423,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","129,171,607",-,-,423,0
,Headquarters,"34,650,000",-,-,423,0
102003260,Development programme,-,-,-,423,0
101003260,Administration Planning and Support Services,"12,150,000",-,-,423,0
104003260,Agricultural Development Programme,"22,500,000",-,-,423,0
,Livestock,"14,760,000",-,-,423,0
105003260,Livestock and Fisheries Development,"4,500,000",-,-,423,0
104003260,Agricultural Development Programme,-,-,-,423,0
102003260,Development programme,-,-,-,423,0
101003260,Administration Planning and Support Services,"10,260,000",-,-,423,0
,Fisheries,"3,980,000",-,-,423,0
105003260,Livestock and Fisheries Development,"2,200,000",-,-,423,0
101003260,Administration Planning and Support Services,"1,780,000",-,-,423,0
102003260,Development programme,-,-,-,423,0
,Veterinary,"13,740,000",-,-,423,0
104003260,Agricultural Development Programme,-,-,-,423,0
102003260,Development programme,-,-,-,423,0
101003260,Administration Planning and Support Services,"8,140,000",-,-,423,0
105003260,Livestock and Fisheries Development,"5,600,000",-,-,423,0
,Agribusiness Project (EU Grant),"19,124,929",-,-,423,0
101003260,Administration Planning and Support Services,-,-,-,423,0
104003260,Agricultural Development Programme,-,-,-,423,0
105003260,Livestock and Fisheries Development,"19,124,929",-,-,423,0
102003260,Development programme,-,-,-,423,0
,Kenya Climate Smart Agric Program,"302,087,156",-,-,423,0
104003260,Agricultural Development Programme,-,-,-,423,0
1.001E+09,Water and irrigation Development Programme,-,-,-,423,0
105003260,Livestock and Fisheries Development,"302,087,156",-,-,424,0
,Water,"12,563,197","3,000,000",24.0,424,0
104003260,Agricultural Development Programme,-,-,-,424,0
105003260,Livestock and Fisheries Development,"12,563,197","3,000,000",24.0,424,0
,Headquarters,-,-,-,424,0
105003260,Livestock and Fisheries Development,-,-,-,424,0
101003260,Administration Planning and Support Services,-,-,-,424,0
,Veterinary,-,-,-,424,0
105003260,Livestock and Fisheries Development,-,-,-,424,0
101003260,Administration Planning and Support Services,-,-,-,424,0
,Fisheries,-,-,-,424,0
101003260,Administration Planning and Support Services,-,-,-,424,0
105003260,Livestock and Fisheries Development,-,-,-,424,0
,Headquarters,"220,847,500",-,-,424,0
1.001E+09,Water and irrigation Development Programme,"198,100,000",-,-,424,0
1.002E+09,"General Administration, Support and Support
Services","22,747,500",-,-,424,0
,Water Services,-,-,-,424,0
1.002E+09,"General Administration, Support and Support
Services",-,-,-,424,0
1.001E+09,Water and irrigation Development Programme,-,-,-,424,0
,Bulk Water Project,-,-,-,424,0
1.001E+09,Water and irrigation Development Programme,-,-,-,424,0
,Ambulance services,"937,985,174",-,-,424,0
1.001E+09,Water and irrigation Development Programme,"937,985,174",-,-,424,0
,Public Health and Sanitation,-,-,-,424,0
1.001E+09,Water and irrigation Development Programme,-,-,-,424,0
,Promotion of primary healthcare,"3,400,000",-,-,424,0
1.001E+09,Water and irrigation Development Programme,"3,400,000",-,-,424,0
1.002E+09,"General Administration, Support and Support
Services",-,-,-,424,0
,Headquarters,"93,370,000",-,-,424,0
502003260,"Early childhood Education and Youth Training
Development Programme","77,800,000",-,-,424,0
1.001E+09,Water and irrigation Development Programme,-,-,-,424,0
501003260,"General Administration, Planning and Support
services","15,570,000",-,-,424,0
,Polytechnics,"42,420,000",-,-,424,0
501003260,"General Administration, Planning and Support
services","2,420,000",-,-,424,0
502003260,"Early childhood Education and Youth Training
Development Programme","40,000,000",-,-,424,0
,Early Childhood Development,"3,350,000",-,-,424,0
501003260,"General Administration, Planning and Support
services","3,350,000",-,-,424,0
301003260,"General Administration and support services
programme",-,-,-,424,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,424,0
,Library services,"1,700,000",-,-,424,0
501003260,"General Administration, Planning and Support
services","1,700,000",-,-,424,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,425,0
,Education Fund,"165,000,000","25,000,000",15.0,425,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,425,0
501003260,"General Administration, Planning and Support
services","165,000,000","25,000,000",15.0,425,0
,Energy,-,-,-,425,0
