Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,284,0
ASSEMBLY,,,,,,284,0
"Legislation and
Representation",Legislation and Representation,"400,606,993.00","83,730,221.85","316,876,771.15",21,284,0
Legislative Oversight,Legislative Oversight,"266,597,315.00","21,542,088.00","245,055,227.00",8,284,0
"General Admin, Planning
& Support","General Admin, Planning & Sup-
port","491,233,290.00","70,727,690.15","420,505,599.85",14,284,0
Total,,"1,158,437,598.00","176,000,000.00","982,437,598.00",15,284,0
DEPARTMENT: OFFICE OF THE GOVERNOR,,,,,,284,0
General Administration,General Administration,"83,296,860.96","17,730,250.00","65,566,610.96",21,284,0
"Governor Press/
Communication and Events","Governor Press/Communication
and Events","19,620,000.00","600,000.00","19,020,000.00",3,284,0
Efficiency Monitoring,Efficiency Monitoring,"11,376,180.00","300,000.00","11,076,180.00",3,284,0
Research and Strategy,Research and Strategy,"13,350,000.00","1,350,000.00","12,000,000.00",10,284,0
"Disaster Management, Rescue
& Emergency Services","Disaster Management, Rescue &
Emergency Services","17,366,780.00","400,000.00","16,966,780.00",2,284,0
"External Linkages &
Partnership",External Linkages & Partnership,"15,200,000.00","1,000,000.00","14,200,000.00",7,284,0
'County Secretary,County Secretary,"10,118,766.00","850,000.00","9,268,766.00",8,284,0
Total,-,"170,328,586.96","22,230,250.00","148,098,336.96",13,284,0
DEPARTMENT: FINANCE ECONOMIC PLANNING & ICT,,,,,,284,0
General Administration,Administration,"134,954,356.00","13,846,774.00","121,107,582.00",10,284,0
Admin,Office Affairs,"19,940,766.40","850,000.00","19,090,766.40",4,284,0
Procurement,Procurement,"11,400,000.00","700,000.00","10,700,000.00",6,284,0
Internal Audit,Internal Audit,"10,805,200.00","500,000.00","10,305,200.00",5,284,0
Budget and Policy,Budget and Policy,"28,891,724.80","500,000.00","28,391,724.80",2,284,0
Accounts,Accounts,"10,510,000.00","500,000.00","10,010,000.00",5,284,0
"Semi Autonomous Agencies:
Investment Corporation",Meru Investment Corporation,"157,340,051.44",-,"157,340,051.44",0,284,0
Microfinance Corporation,Meru Micro-Finance Corporation,"82,155,481.28","14,751,607.00","67,403,874.28",18,284,0
Revenue Board,Revenue Board,"338,539,303.28","56,526,564.00","282,012,739.28",17,284,0
ICT Development,ICT Development,"22,620,000.00","1,007,253.00","21,612,747.00",4,284,0
"Economic Planning and
Coordination Services","Economic Planning and Cordina-
tion Services","20,845,000.00","350,000.00","20,495,000.00",2,284,0
Fleet Management,Fleet Management,"123,000,000.00","400,000.00","122,600,000.00",0,284,0
Total,-,"961,001,883.20","89,932,198.00","871,069,685.20",9,284,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHIERIES",,,,,,284,0
General Administration,General Administration,"574,088,206.00","49,683,369.30","524,404,836.70",9,284,0
Livestock,Livestock,"57,000,000.00","100,000.00","56,900,000.00",0,284,0
Fisheries,Fisheries,"7,000,000.00","50,000.00","6,950,000.00",1,284,0
Agricultural Services,Agricultural Services,"27,998,483.00","100,000.00","27,898,483.00",0,284,0
Animal Disease Management,Animal Disease Management,"5,000,000.00","50,000.00","4,950,000.00",1,284,0
,,A,B,C=A-B,D=B/A*100,285,0
"Agricultural Training Centre
(ATC) & AMS","Agricultural Training Centre
(ATC)","33,600,000.00","11,548,966.30","22,051,033.70",34,285,0
Total,-,"704,686,689.00","61,532,335.60","643,154,353.40",9,285,0
"DEPARTMENT: WATER, & IRRIGATION",,,,,,285,0
General Administration,Administration Services,"372,202,628.00","500,000.00","371,702,628.00",0,285,0
Total,-,"372,202,628.00","500,000.00","371,702,628.00",0,285,0
"DEPARTMENT: EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,285,0
General Administration,General Administration,"22,714,999.00","300,000.00","22,414,999.00",1,285,0
"Early Childhood Development
Education (ECDE)","Early Childhood Development Ed-
ucation (ECDE)","237,450,000.00","100,000.00","237,350,000.00",0,285,0
"'Technical and Vocation
Education",'Technical and Vocation Education,"69,827,375.00",-,"69,827,375.00",0,285,0
