Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,150,0
"County Coordination
Services",County Coordination Services,"124,301,145","18,980,255","105,320,890",15.27,150,0
"Public sector
advisory services",Economic and Social Advisory Service,-,-,-,0.00,150,0
,,,,,,150,0
Sub-Total,,"124,301,145","18,980,255","105,320,890",15.27,150,0
"Administration,
Planning and
Support Services.",Administration Services.,"349,157,064","27,394,615","321,762,449",7.85,150,0
"Administration,
Planning and
Support Services.","Monitoring Budget Implementation
and Reporting","38,097,235","5,632,200","32,465,035",14.78,150,0
"Public Finance
Management","Budget Formulation co-ordination and
management","70,911,632","5,237,250","65,674,382",7.39,150,0
Audit Services,County Audit,"13,225,639","2,809,200","10,416,439",21.24,150,0
Sub-Total,,"471,391,570","41,073,265","430,318,305",8.71,150,0
,,,,,,150,0
"Policy, Strategy and
Management of Agri-
culture","Development of Agricultural Policy,
Legal & Regulatory framework.","31,048,359","6,560,412","24,487,947",21.13,150,0
"Crop Development
and Management",Agriculture Extension Services,"526,906,021","11,793,085","515,112,936",2.24,150,0
"Livestock Resource
Management and
Development","Livestock Disease Management and
Control.","41,313,991","330,600","40,983,391",0.80,150,0
"Livestock Resource
Management and
Development","Livestock Production and Extension
Services","55,412,363","11,164,231","44,248,132",20.15,150,0
"Fisheries
development","Management and Development of
Capture Fisheries","10,386,760","144,500","10,242,260",1.39,150,0
Sub-Total,,"665,067,494","29,992,827","635,074,667",4.51,150,0
,,,,,,150,0
"Environment policy
development and
coordination","Planning Coordination Policy and Ad-
ministrative Services","151,481,140","20,698,629","130,782,511",13.66,150,0
Water supply services,Rural Water Supply,"303,844,666",-,"303,844,666",0.00,150,0
Sub-Total,,"455,325,806","20,698,629","434,627,177",4.55,150,0
"General
Administration &
planning services.","Policy Development and Administra-
tion","340,521,415","71,013,561","269,507,854",20.85,150,0
,,A,B,C=A-B,D=B/A*100,151,0
Basic Education,"Early Childhood Development Educa-
tion","339,716,728","1,040,225","338,676,503",0.31,151,0
"Gender and Social
Development","Social Welfare Services/Social Infra-
structure Development","25,595,969","506,920","25,089,049",1.98,151,0
"Youth development
and empowerment
services",Youth development (YP) Training,"43,366,170",-,"43,366,170",0.00,151,0
Sub-Total,,"749,200,282","72,560,706","676,639,576",9.69,151,0
Curative Health,Administration and Planning,"1,793,267,318","254,702,900","1,538,564,418",14.20,151,0
Curative Health,Hospital(curative)Services,-,-,-,0,151,0
"Preventive and
Promotive Health","Preventive Medicine and Promotive
Health","1,242,164,061","205,243,962","1,036,920,099",16.52,151,0
,,,,,,151,0
Sub-Total,,"3,035,431,379","459,946,863","2,575,484,516",15.15,151,0
"Administration and
support services",General Administration and Planning,"49,744,921","8,744,409","41,000,512",17.5,151,0
"Housing
Development and
Human Resource",Housing Development,"80,326,444","2,105,170","78,221,274",2.62,151,0
"Land policy and
planning","Development Planning and Land Re-
forms","62,046,821","7,993,837","54,052,984",12.88,151,0
"Land policy and
planning",Land Use Planning,"6,102,443","1,499,130","4,603,313",24.57,151,0
,,,,,,151,0
Sub-Total,,"198,220,629","20,342,546","177,878,083",10.26,151,0
"Transport
Management
and safety","General Administration Planning and
Support Services","74,012,784","12,002,031","62,010,753",16.22,151,0
"Infrastructure, Roads
and Transport",Rehabilitation of Road,"496,389,740","828,340","495,561,400",0.17,151,0
"Infrastructure, Roads
and Transport","Maintenance of Roads and Bridges/Pe-
riodic Maintenance","31,756,317",-,"31,756,317",0.00,151,0
,,,,,,151,0
Sub-Total,,"602,158,841","12,830,371","589,328,470",2.13,151,0
"Trade development
and investment","Fair trade Practices and Consumer
Protection (weight & measures)","81,891,069","9,332,145","72,558,924",11.4,151,0
"Trade development
and investment",Administrative and Support Services.,"13,786,035","3,000,410","10,785,625",21.76,151,0
"Cooperative
development and
management","Cooperative Advisory & Extension
Services.","32,004,403","1,566,354","30,438,049",4.89,151,0
"Tourism
development and
marketing",Local Tourism Development.,"7,000,000",-,"7,000,000",0.00,151,0
Sub-Total,,"134,681,507","13,898,909","120,782,597",10.32,151,0
