Programmes,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st
December 2023
(Kshs.)",col_5,Absorption Rates (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",317,0
Office of the Governor,,,,,,,,317,0
"Co-ordination
and Superviso-
ry Services",Office of the Governor,"314,336,718","12,243,690","95,873,556",-,30.5,-,317,0
,Transport Services,"31,733,750",-,"11,885,278",-,37.5,-,317,0
,"Human Resource and Ad-
ministration Section","55,250,000",-,"14,266,335",-,25.8,-,317,0
,ICT Section,"21,641,444",-,"3,240,500",-,15.0,-,317,0
,Hospitality Services Section,"20,973,355",-,"4,495,324",-,21.4,-,317,0
,Cabinet Office,"6,493,175",-,"1,030,400",-,15.9,-,317,0
,"Office of the Deputy Gov-
ernor","74,457,386","7,334,480","9,944,163",-,13.4,-,317,0
,"Office of the County Sec-
retary","45,816,786",-,"250,000",-,0.5,-,317,0
,"Office of the County Ad-
visors","20,171,540",-,"1,279,640",-,6.3,-,317,0
,Sub-Total,"590,874,154","19,578,170","149,046,229",-,25.2,-,317,0
County Public Service Board,,,,,,,,317,0
"Human
Resource and
Administration","Human Resource and Ad-
ministration","38,013,709","3,000,000","12,049,729",-,31.7,-,317,0
,Sub-Total,"38,013,709","3,000,000","12,049,729",-,31.7,-,317,0
"Roads, Transport and Public Works.",,,,,,,,317,0
"General
Administration
& Support
Services","General Administration &
Support Services","199,956,258","80,500,000","32,369",-,0.0,-,317,0
"Road Develop-
ment Manage-
ment","Road Development and Man-
agement","350,000","356,500,000",-,-,-,-,317,0
"County Gov-
ernment Build-
ing Services","County Government Build-
ings","10,100,000","142,231,765",-,-,-,-,317,0
"County Fleet
Management",County Fleet Management,"40,100,000","70,000,000","16,701,789","26,680,453",41.7,38.1,317,0
,Sub-Total,"250,506,258","649,231,765","19,938,689","26,680,453",8.0,4.1,317,0
Health,,,,,,,,317,0
"General
Administration
and Support
Services","General Administration and
support services","3,527,366,086","780,712,974","1,615,015,227",-,45.8,-,317,0
"Curative and
Rehabilitative
health",Machakos Level 5,"177,929,588","32,000,000","123,401,009",-,69.4,-,317,0
,Kangundo Level 4,"54,100,000","22,000,000","35,700,043",-,66.0,-,317,0
,Matuu Level 4,"43,600,000","40,000,000","31,358,110",-,71.9,-,317,0
,Kathiani Level 4,"58,600,000","12,258,937","29,599,318",-,50.5,-,317,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",318,0
,Mwala Level 4,"43,600,000","13,000,000","34,859,173",-,80.0,-,318,0
,Kimiti Level 4,"38,600,000","4,000,000","17,810,695",-,46.1,-,318,0
,Masinga Level 4,"40,600,000","4,000,000","23,977,077",-,59.1,-,318,0
,Athi River Level 4,"30,600,000","4,000,000","18,485,778",-,60.4,-,318,0
,Mutituni Level 4,"30,600,000","4,000,000","11,848,391",-,38.7,-,318,0
,Ndithini Level 4,"30,600,000","21,000,000","10,494,906",-,34.3,-,318,0
,Kalama Level 4,"30,600,000","4,000,000","12,179,971",-,39.8,-,318,0
"Preventive
and promotive
services","Public Health and Communi-
ty Outreach","170,066,838","154,273,127","6,221,370",-,3.7,-,318,0
,Sub-Total,"4,276,862,512","1,095,245,038","1,970,951,074",-,46.1,-,318,0
"Water, Irrigation, Environment and Climate Change.",,,,,,,,318,0
"Water Resourc-
es Management","Water Resources Manage-
ment","107,924,249","320,000,000","44,819,778","2,000,000",41.5,0.6,318,0
"Sewerage
System and
Sanitation
Management","Sewerage System and Sanita-
tion Management","1,550,000","29,000,000","645,000",-,41.6,-,318,0
"General
Administrative
and Support
Services","General administrative and
Support Services","5,250,000",-,"1,537,600",-,29.3,-,318,0
"Environment
and Natural
Resources","Environment and Natural
Resources","9,546,172","24,900,000","300,000",-,3.1,-,318,0
"Climate
Change",Climate Change,"21,917,699","348,213,860","1,000,000",-,4.6,-,318,0
"Water Supply
and Sewerage",,,-,,-,,,318,0
"Irrigation
Schemes
Development &
Promotion",,,"99,561,723",,-,,-,318,0
,Sub-Total,"146,188,120","821,675,583","48,302,378","2,000,000",33.0,0.2,318,0
"Agriculture, Food Security and Co-operative Development",,,,,,,,318,0
"Agriculture and
Food Security","General Administration and
support services","340,820,165","640,879,819","72,163,232",-,21.2,-,318,0
,"Crop Development and
Management","2,235,009","82,459,386","402,300",-,18.0,-,318,0
,"Livestock Resources Man-
agement and Development","2,216,548","54,809,200","611,250",-,27.6,-,318,0
,Fisheries Development,"1,056,906","17,329,908","290,000",-,27.4,-,318,0
,Veterinary Services,"1,355,993","21,126,331","20,000",-,1.5,-,318,0
,Agriculture Training Centre,"3,439,704","25,500,000","175,000",-,5.1,-,318,0
"Co-operative
Development","Co-operative Development
and Marketing","32,648,487","10,000,000","983,600",-,3.0,-,318,0
,"Capacity Building to Co-op-
erative Societies","1,000,000",-,"200,000",-,20.0,-,318,0
,"Promotion of Co-operative
Marketing and Value Chain","1,000,000","20,000,000",-,-,-,-,318,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",319,0
,"Co-operative Financial
Services","1,500,000",-,-,-,-,-,319,0
,"Promotion and Growth of
Co-operative Societies","1,250,000","2,425,498","105,000",-,8.4,-,319,0
,"Co-operative Audit Support
Services","1,550,000",-,"414,600",-,26.7,-,319,0
,Sub-Total,"390,072,812","874,530,142","75,364,981",-,19.3,-,319,0
"Finance, Economic Planning & Revenue Management",,,,,,,,319,0
"Resource mobi-
lization",Revenue Management,"509,983,592","87,750,745","271,932,473",-,53.3,-,319,0
"County Trea-
sury","Budget formulation, Coordi-
nation and Implementation","65,363,780","72,059,500","14,188,859",-,21.7,-,319,0
,"Supply Chain Management
Section","15,926,490",-,"8,709,907",-,54.7,-,319,0
,Accounts Services,"148,354,674","573,727,111","23,172,900","170,263,899",15.6,29.7,319,0
,Audit Section,"17,640,360","15,500,000","2,694,100",-,15.3,-,319,0
,"Human Resource Manage-
ment and Support Services","302,128,124",-,"10,014,132",-,3.3,-,319,0
"Economic
Planning & Ex-
ternal Resource
Mobilization","Economic Planning and
Statistical Services","73,804,068",-,"12,318,757",-,16.7,-,319,0
,Monitoring and Evaluation,"15,950,248",-,"123,900",-,0.8,-,319,0
,"External Resource Mobili-
zation","19,449,126",-,"586,000",-,3.0,-,319,0
"Directorate
of Governors
Project Deliv-
ery Unit","Directorate of Governors
Project Delivery Unit","44,850,000",-,"50,000",-,0.1,-,319,0
ICT,"ICT General Administration
and support services","51,300,361",-,"14,500,601",-,28.3,-,319,0
,ICT Infrastructure,"6,143,554","100,666,177","150,000",-,2.4,-,319,0
,Closed Circuit Television,"1,525,000",-,-,-,-,-,319,0
,Public Communication,"49,645,000",-,-,,-,-,319,0
,Sub-Total,"1,322,064,377","849,703,533","358,441,629","170,263,899",27.1,20.0,319,0
"Gender, Youth, Sports & Social Welfare",,,,,,,,319,0
"Youth and
Sports",Administrative Services,"141,296,383",-,"33,478,190",-,23.7,-,319,0
,Stadium Management,-,"31,000,000",-,-,,-,319,0
,Sports,-,"85,000,000",-,-,,-,319,0
,Youth Empowerment,-,"90,000,000",-,-,,-,319,0
"Gender and
Social Welfare",Administrative Services,"78,343,386","131,655,003","19,117,589",-,24.4,-,319,0
,Sub-Total,"219,639,769","337,655,003","52,595,779",-,23.9,-,319,0
"Trade, Industry, Tourism & Innovation",,,,,,,,319,0
"Trade, Industry
and Innovation","Headquarters and Adminis-
trative Services","44,797,449","8,000,000","16,892,866",-,37.7,-,319,0
,Trade Development,"2,715,433","39,298,083","650,000",-,23.9,-,319,0
,International Trade,,"2,000,000",,-,,-,319,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",320,0
,"Business and Enterprise
Development","10,000,000","53,666,647","5,754,533",-,57.5,-,320,0
,"Industrialization and Inno-
vation","46,736,010","350,000,000",-,-,-,-,320,0
,"Investment Facilitation and
Support","10,000,000",-,-,-,-,-,320,0
"Tourism
Administrative
& Support
Services","Tourism Administrative &
Support Service","58,147,873","5,164,003","48,088,042",-,82.7,-,320,0
,Heritage & Culture,"5,999,722","2,450,000","4,272,800",-,71.2,-,320,0
,Liquor Management,"5,501,270",-,"300,000",-,5.5,-,320,0
,"Tourism Development and
Marketing","2,087,350",-,-,-,-,-,320,0
,"Management of Recreational
Services","1,299,502","18,000,000","400,000",-,30.8,-,320,0
,Machawood,"5,998,308","20,000,000","118,450",-,2.0,-,320,0
,County Image Directorate,"1,001,198","200,000",-,-,-,-,320,0
,Digital Economy,"3,700,000",-,"525,000",,14.2,-,320,0
,Sub-Total,"197,984,115","498,778,733","77,960,740",-,39.4,-,320,0
Education,,,,,,,,320,0
"General
Administration
and Support
Service","Head quarter Administrative
services","613,929,693","35,000,000","153,288,847",-,25.0,-,320,0
"Basic Educa-
tion",Basic Education,"11,350,000","15,000,000","833,575",-,7.3,-,320,0
,Youth Development Services,,"47,729,112",-,-,,-,320,0
,Vocational Training,"12,100,000",,,-,-,-,320,0
,Sub-Total,"637,379,693","97,729,112","154,122,422",-,24.2,-,320,0
"Lands, Urban Development, Housing & Energy",,,,,,,,320,0
"Lands and
Physical Plan-
ning",Lands and Physical Planning,"62,346,321","42,755,550","23,533,478",-,37.7,-,320,0
"County Electri-
fication",County Electrification,"28,076,213","75,000,000","4,049,390",-,14.4,-,320,0
"Housing and
Urban Devel-
opment","Housing and Urban Devel-
opment","98,643,736","1,400,000","55,492,576",-,56.3,-,320,0
,Machakos Municipality,"17,000,000","100,417,607","3,694,963",-,21.7,-,320,0
,Mavoko Municipality,"19,000,000","12,328,536","2,000,000",-,10.5,-,320,0
,Kangundo Tala Municipality,"15,700,000","32,494,110","1,500,000",-,9.6,-,320,0
,Sub-Total,"240,766,270","264,395,803","90,270,406",-,37.5,-,320,0
Devolution,,,,,,,,320,0
"Public Service
Administration
and Support
Services","General Administration and
support services","548,971,916","2,000,000","66,405,413",-,12.1,-,320,0
,Performance Management,"2,500,000",-,"238,200",-,9.5,-,320,0
,"Training, Research and
Development","47,841,500",-,"16,115,442",-,33.7,-,320,0
