Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure As of 31st
December 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure",Recurrent,Development,Rec,Dev,304,0
"County
Assembly",,"460,000,000","89,000,000","176,108,032",-,38.3,0.0,304,0
,"P1 Administration,
Planning and
Support Services.","241,012,380",-,"88,836,835",-,36.9,-,304,0
,"P2 Legislation and
Oversight","218,987,620","89,000,000","87,271,197",-,39.9,0.0,304,0
"County
Executive",,"238,258,500.00","77,000,000.00","93,128,527.00","13,499,920.00",39.1,17.5,304,0
,"P3 Administration,
Planning and Sup-
port Services.","238,258,500","77,000,000","93,128,527.00","13,499,920.00",39.1,17.5,304,0
"Finance,
Economy &
Strategic Plan-
ning",,"104,350,900.00","6,500,000.00","46,689,546.00",-,44.7,0.0,304,0
,"P11 Adminis-
tration, Planning
Support Services","94,147,282",-,"44,742,875",,47.5,-,304,0
,"P12 Control &
Management of
Public","10,203,618","6,500,000.00","1,946,671",,19.1,-,304,0
,"A. Budget Formu-
lation","5,101,809",-,"365,450",-,,,304,0
,"B. Accounting
Services","2,043,128",-,"406,795",-,19.9,-,304,0
,"C. Procure-
ment","1,096,853",-,"537,920",-,49.0,-,304,0
,"D. Resource
Mobilization","1,071,728","6,500,000","636,506",-,59.4,0.0,304,0
,"E. Internal
Audit","890,101",,,-,-,-,304,0
"Agriculture &
Planning",,"71,692,506","185,742,700","30,344,586","15,778,770",42.3,8.5,304,0
"P1 Administra-
tion, Planning &
Support","Directorate
of Agriculture &
Extension Services","71,692,506",-,"30,344,586",1996595,42.3,-,304,0
"Crop Develop-
ment & Manage-
ment","Promotion of
Agro Processing
& Value Addition
Technologies",-,"170,742,700",-,"10,799,000",-,6.3,304,0
,,"Recurrent Expen-
diture","Development
Expenditure",Recurrent,Development,Rec,Dev,305,0
"P17 Irrigation
& Drainage
Services","Promotion of
Agro Processing
& Value Addition
Technologies",-,"15,000,000.00",-,"2,983,175",-,19.9,305,0
"Land,
Physical Planning,
Infrastructure,
Urban Dev, Water &
Resources",,"28,173,869","227,998,461","10,419,560","21,165,288",37.0,9.3,305,0
"P1 Administra-
tion, Planning &
Support Services",Headquarters,"28,173,869",-,"10,419,560",,37.0,-,305,0
"P2 Land Manage-
ment","Physical
Planning",,"77,998,461",,"21,165,288",-,27.1,305,0
"P4 Infrastruc-
ture Development",,-,"150,000,000",,,-,-,305,0
"Education,
Gender, Youth
Affairs, Sports &
Social Services",,"302,926,726","153,900,000","141,946,140","6,111,592",46.9,4.0,305,0
"P1 General
Administration,
Planning And",Headquarters,"202,926,726",-,-,,0.0,-,305,0
"P2 Education
and Training
Programme","Early Childhood
Development","100,000,000","76,200,000.00","81,713,482","1,184,028",81.7,1.6,305,0
"P3 Sports &
Youth Develop-
ment","Sports & Youth
Development",-,"64,700,000.00","60,232,657",,-,0.0,305,0
"P4 Social Ser-
vices",,-,"13,000,000.00",,"4,927,564.00",-,37.9,305,0
"Medical, Health Services, Sanitation
& Environment",,"1,002,923,315","265,300,000","466,247,846","4,951,947",46.5,1.9,305,0
"P1 Administra-
tion, Planning &
Support Services",,-,"500,000.00",-,,-,0.0,305,0
"P1 General
Administration,
Planning and
Support Services","Sp:1.1 Human Re-
source Management
and Development","836,985,125",-,"383,272,191",,45.8,-,305,0
"P2 Curative
Services","Sp:2.1 Primary
Health Services","152,912,690","184,800,000.00","72,230,812",,47.2,0.0,305,0
"P3 Preventive
& Promotive
Services","Sp4 Preventive
and Promotive Ser-
vices-Headquarters","13,025,500","80,000,000.00","10,744,843","4,951,947",82.5,6.2,305,0
"Trade, Investment, Culture & Tour-
ism",,"47,053,453","225,000,000","14,910,918",-,31.7,0.0,305,0
"P1 Administra-
tion, Planning &
Support Service",Sp1.1 Headquarters,"24,496,897",-,"8,572,091",,35.0,-,305,0
"P2 Tourism
Promotion","Sp 2.1tourism
Marketing and
Promotion","1,794,556",-,,,0.0,-,305,0
"P3 Trade Devel-
opment","Sp 3.3 Trade
Investment","762,000","25,000,000.00",,,0.0,0.0,305,0
"P4 Art &
Culture","Sp 3.4 Cultural
Festival","20,000,000",-,"6,237,927",,31.2,-,305,0
,,"Recurrent Expen-
diture","Development
Expenditure",Recurrent,Development,Rec,Dev,306,0
"P5 Industrial
Development &
Investment",,-,"200,000,000.00","100,900",,"#Val-
ue!",-,306,0
"Information, Communication&
E-Government",,"35,264,200","131,000,000","3,127,513",-,8.9,-,306,0
"P1 Administra-
tion, Planning &
Support Service","Sp1.2 Personnel
Service","35,264,200","131,000,000.00","3,127,513",,8.9,-,306,0
"Fisheries,
Livestock,
Veterinary &
Cooperative Development",,"63,795,798","166,106,789","21,183,887","7,443,574",33.2,4.5,306,0
"Administra-
tion, Planning,
Monitoring &
Evaluation",Sp1.Headquarters,"57,401,948",-,"20,310,817",,35.4,-,306,0
Co-Management,"Sp4.2: Cooperative
Development","575,000.00",-,"101,400",,17.6,-,306,0
Fish Farming,"Purchase of Spe-
cialized Plant","2,350,500.00","79,764,809","428,120",,18.2,-,306,0
"Livestock Exten-
sion Services","Livestock Improve-
ment Programme","963,350.00","80,341,980","91,250","7,443,574",9.5,9.3,306,0
"Veterinary Ser-
vice Management",Veterinary Services,"2,505,000.00","6,000,000","252,300",,10.1,-,306,0
"County Public
Service Board",,"54,355,987",-,"22,388,564",-,41.2,-,306,0
"Administration,
Planning and
Support Services.","Sp1.2 Personnel
Service","43,866,987",-,"18,909,914",,43.1,-,306,0
"Human Resource
Management &
Development",Sp2.1 Headquarters,"10,489,000",-,"3,478,650",,33.2,-,306,0
"Water
Management And
Conservation",,"46,121,238","149,000,000","25,087,504","18,031,608",54.4,12.1,306,0
"Water Manage-
ment, Conserva-
tion & Provision","Sp5.1 Admin-
istration Services","46,121,238","149,000,000","25,087,504","18,031,608",54.4,12.1,306,0
"Public
Health,
Environment And
Sanitation",,"80,666,136","12,000,000","32,648,054","3,175,440",40.5,26.5,306,0
"General Admin-
istration, Plan-
ning and Support
Services",Sp1.1 Headquarters,"64,003,136",,"32,648,054",,51.0,-,306,0
,"Sp1.2: Public
Health and Sani-
tation","16,663,000",,-,,0.0,-,306,0
"Preventive &
Promotive Ser-
vices",,-,"9,000,000.00",,"3,175,440",-,35.3,306,0
"Environmental
Health & Sani-
tation",,-,"3,000,000.00",,-,-,0.0,306,0
"Budget And
Economic Plan-
ning",,"17,444,291",-,"6,026,172",-,34.5,-,306,0
