Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",261,0
3711-Office of the governor,,,,,,,,261,0
"General Administration
Planning and Support
Services",701013710,-,-,-,-,-,-,261,0
,702013710,"861,378,443.00","80,000,000.00","508,979,409.00","5,135,751.00",59.1,6.4,261,0
"Governors Service
Delivery Unit and Public
Communication",701023710,"98,990,000.00","1,072,405,539.00","90,816,900.00","346,740,498.00",91.7,32.3,261,0
,703013710,"9,003,852.00",-,"1,817,347.00",-,20.2,-,261,0
,703023710,"13,709,790.00",-,"5,953,067.00",-,43.4,-,261,0
"Decentralized Unit
Service Delivery Coor-
dination",705013710,"53,965,520.00",-,"25,977,839.00",-,48.1,-,261,0
,706013710,"55,317,827.00","106,727,844.00","24,393,074.00","25,451,764.00",44.1,23.8,261,0
,707013710,"21,094,146.00","37,184,474.00","5,034,831.00",-,23.9,-,261,0
,717013710,"22,579,280.00",-,"7,884,836.00",-,34.9,-,261,0
Office of Chief of Staff,717023710,"46,500,672.00",-,"9,707,298.00",-,20.9,-,261,0
"Office of County
Attorney",717033710,"29,116,000.00",-,"1,711,907.00",-,5.9,-,261,0
"Monitoring and evalu-
ation",717023710,"50,738,866.00",-,"26,906,640.00",-,53.0,-,261,0
,Sub Total,"2,436,000.00",-,-,-,-,-,261,0
3716-Kitui - Health and Sanitation,,"1,264,830,396.00","1,296,317,857.00","709,183,148.00","377,328,013.00",56.1,29.1,261,0
"Curative and Rehabilitate
Services",402013710,-,-,-,-,-,-,261,0
Medical Services,401013710,"1,131,279,988.00","5,500,000.00","543,967,910.00",-,48.1,-,261,0
,401023710,"849,175,197.00","29,267,495.00","655,574,218.00","15,399,336.00",77.2,52.6,261,0
,401033710,"65,719,509.00","166,609,023.00","58,078,763.00","18,434,770.00",88.4,11.1,261,0
,402023710,"2,809,567.00","3,000,000.00","2,809,567.00",-,100.0,-,261,0
,402033710,"870,000.00","22,087,656.00","465,000.00",-,53.4,-,261,0
Public Health,403013710,"256,771,353.00",-,"129,254,341.00",-,50.3,-,261,0
,403023710,"1,235,557.00",-,"590,771.00",-,47.8,-,261,0
,403033710,"868,875,729.00","23,512,834.00","457,063,872.00","704,583.00",52.6,3.0,261,0
,404013710,"1,133,900.00",-,"566,900.00",-,50.0,-,261,0
,404023710,"981,436.00",-,"473,999.00",-,48.3,-,261,0
,404033710,"58,037,337.00",-,"28,540,800.00",-,49.2,-,261,0
Curative Health Services,402033710,"89,424,170.00",-,"57,648,975.00",-,64.5,-,261,0
,404033710,"136,494,576.00",-,"104,200,970.00",-,76.3,-,261,0
,,"580,000.00",-,"290,000.00",-,50.0,-,261,0
,,,-,,-,-,-,261,0
,,"3,463,388,319.00","249,977,008.00","2,039,526,086.00","34,538,689.00",58.9,13.8,261,0
3722-Kitui - County Public Service Board,,,,,,-,-,261,0
"General Administration
and Planning Headquar-
ters",701013710,-,-,-,-,-,-,261,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",262,0
,713013710,"46,475,589.00","15,000,000.00","21,206,303.00",,45.6,-,262,0
,713023710,"6,316,300.00",-,"2,171,375.00",-,34.4,-,262,0
,714013710,"6,877,796.00",-,"2,711,945.00",-,39.4,-,262,0
,Sub-Total,"4,664,118.00",-,"1,589,539.00",-,34.1,-,262,0
3723-Kitui - County Assembly,,"64,333,803.00","15,000,000.00","27,679,162.00",-,43.0,-,262,0
"General Administration
and Planning Headquar-
ters",701013710,-,-,-,-,-,-,262,0
"Legislative Department
Headquarters",715013710,"326,055,863.00","229,058,553.00","133,799,502.00",-,41.0,-,262,0
Assembly Board Services,715013710,"713,340,762.00",-,"332,832,358.00",-,46.7,-,262,0
,Sub-Total,"141,417,663.00",-,-,-,-,-,262,0
"3724-Kitui - Kitui Mu-
nicipality",,"1,180,814,288.00","229,058,553.00","466,631,860.00",-,39.5,-,262,0
"Environment, Culture,
Recreation and Com-
munity Development -
Headquarters",207013710,-,-,-,-,-,-,262,0
"General Administration
and Planning- Head-
quarters",201013710,"16,590,000.00","10,000,000.00","7,099,464.00",-,42.8,-,262,0
"Planning, Development
Control, Transport and
Infrastructure - Head-
quarters",207013710,"45,340,083.00","8,000,000.00","22,533,833.00",-,49.7,-,262,0
"Trade, Commerce and
Industrialization",207033710,"7,281,500.00","3,500,000.00","2,473,250.00",-,34.0,-,262,0
"Water and Sewerage
Charges",207023710,"3,480,000.00","6,761,711.00","1,277,951.00",-,36.7,-,262,0
,207013710,"4,531,184.00","3,000,000.00","2,689,166.00",-,59.3,-,262,0
,207023710,"1,680,000.00","47,000,000.00",-,"1,984,010.00",-,4.2,262,0
,Sub-Total,"580,000.00","34,708,731.00",-,"22,708,744.00",-,65.4,262,0
"3725-Kitui - Mwingi
Town Administration",,"79,482,767.00","112,970,442.00","36,073,664.00","24,692,754.00",45.4,21.9,262,0
"Environment, Culture, Recreation and Community Development - Headquarters",,,,,,,,262,0
"General Administration
and Planning- Head-
quarters",109013710,"698,900.00","12,000,000.00","254,158.00",-,36.4,-,262,0
,201013710,"6,036,446.00","4,744,530.00","2,132,763.00","1,244,530.00",35.3,26.2,262,0
,706013710,"40,555,896.00","2,197,992.00","14,132,301.00",-,34.8,-,262,0
"Planning, Development
Control, Transport and
Infrastructure - Head-
quarters",207013710,"298,147.00",-,"101,922.00",-,34.2,-,262,0
,207023710,"16,122,430.00","8,902,594.00","971,420.00",-,6.0,-,262,0
,207033710,"1,099,910.00",-,"674,623.00",-,61.3,-,262,0
,706013710,"142,158.00",-,"17,645.00",-,12.4,-,262,0
,Sub-Total,"135,720.00","7,200,000.00","73,560.00",-,54.2,-,262,0
