"User De-
partment",Programme,"Sub-Pro-
gramme","Approved
FY 2023/24
Estimates",col_4,"Actual Ex-
penditure
as of 31st
December
2023",col_6,"Absorption
Rate (%)",col_8,page_number,table_index
"Public Ser-
vice Man-
agement
and County
Administra-
tion","General ad-
ministration
and support
services","General
administration
and support
services","1,900,000",-,"684,600",-,36.0,-,96,0
,,ICT services,"500,000",-,"117,500",-,23.5,-,96,0
,,"County Admin-
istration and
Devolution","267,276,827",-,"173,599,360",-,65.0,-,96,0
,,"Enforcement
and Compli-
ance","600,000",-,"145,000",-,24.2,-,96,0
,,"Citizen Par-
ticipation and
Civic Educa-
tion","500,000",-,"291,200",-,58.2,-,96,0
,,"Human
Resource Man-
agement","650,000",-,"377,000",-,58.0,-,96,0
,,"Payroll Man-
agement","750,000",-,"489,160",-,65.2,-,96,0
,,"County Com-
munication
Corporate
Affairs","500,000",-,"178,400",-,35.7,-,96,0
,,"Citizen Par-
ticipation and
Civic Educa-
tion",-,"800,000",-,-,-,-,96,0
,,"County Admin-
istration and
Devolution",-,"48,215,361",-,-,-,-,96,0
,,ICT services,-,"350,000",-,-,-,-,96,0
,,"Human
Resource Man-
agement",-,"700,000",-,-,-,-,96,0
