Programme,Sub-Programme,Approved Budget Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
Tourism Program,"110014010 Tourism
Development","2,060,000",-,"161,500",-,7.8,-,410,0
,"301014010 Tourism Pro-
motion and Marketing",-,"8,500,000",,-,-,-,410,0
"Trade Develop-
ment Program","111014010 Trade & Enter-
prise Development","16,160,000","545,000,000","1,008,634","9,877,668",6.2,1.8,410,0
,"302014010 Domestic
Trade Development","54,202,894",-,"18,879,321",-,34.8,-,410,0
,"302024010 Fair Trade and
Consumer Protection","3,220,000",-,"8,500",-,0.3,-,410,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","13,980,706",-,"1,584,482",-,11.3,-,410,0
Sub Total,,"98,043,600","613,500,000","22,518,091","9,877,668",23.0,1.6,410,0
Education & Technical Training,,,,,,,,410,0
"ECDE Pro-
gramme","501034010 Early
Childhood Development
Education",-,"130,000,000",-,-,-,-,410,0
,"509014010 Early Child
Development and Edu-
cation","288,468,651",-,"112,676,854",-,39.1,-,410,0
"Polytechnics
Program","507014010 Revitalisation
of Youth Polytechnics","125,766,773","5,000,000","37,570,123",-,29.9,-,410,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",411,0
"Education Inter-
vention Program","501054010 Motivation of
Primary and Secondary
School",-,"10,000,000",-,-,-,-,411,0
,"509024010 Motivation of
Primary and Secondary
Schools","271,219,070",-,"175,881,235",-,64.8,-,411,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","12,662,790",-,"4,133,237",-,32.6,-,411,0
Sub Total,,"698,117,284","145,000,000","330,261,449",-,47.3,-,411,0
Health and Sanitation,,,,,,,,411,0
"Infrastructure
Development
Program","101104010 Infrastructure
Development",-,"286,000,000",-,"31,792,665",-,11.1,411,0
,"109024010 Infrastructure
Improvement Services","1,815,000",-,"475,175",-,26.2,-,411,0
Alcohol Program,"401014010 Alcoholic
Control and Reviewing of
Licences","10,160,000",-,"1,732,853",-,17.1,-,411,0
,"402034010 Preventive and
Promotive Care",-,"60,000,000",-,-,-,-,411,0
"Curative Pro-
gram","402054010 Free Primary
HealthCare","754,270,000","244,726,404","265,429,963","41,396,041",35.2,16.9,411,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","2,293,156,373",-,"1,169,813,945",-,51.0,-,411,0
Sub Total,,"3,059,401,373","590,726,404","1,437,451,936","73,188,706",47.0,12.4,411,0
"Lands, Housing & Physical Planning",,,,,,,,411,0
"Urban Develop-
ment","102074010 Urban Devel-
opment","5,000,000","2,000,000",-,,-,-,411,0
,"103074010 Land Adminis-
tration",,"59,000,000",-,-,-,-,411,0
"Land Policy
Succession and
Surveying","103014010 Land Policy
and Planning",-,-,-,-,-,-,411,0
,103044010 Land Survey,-,-,-,-,-,-,411,0
"Estate Manage-
ment","701034010 Public Trusts
and Estates Management",-,-,-,-,-,-,411,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","31,059,460",-,"3,837,586",-,12.4,-,411,0
Sub Total,,"36,059,460","61,000,000","3,837,586",-,10.6,-,411,0
County Public Service Board,,,,,,,,411,0
"National Values
and Governance
Program","706014010 General Ad-
ministration Planning and
Support Services","57,815,881",-,"13,131,934",-,22.7,-,411,0
Sub Total,,"57,815,881",-,"13,131,934",-,22.7,-,411,0
"Youth, Culture, Gender, Social Services & Special Programs",,,,,,,,411,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",412,0
"Social Develop-
ment Program",102054010 Cooperatives,-,-,-,-,-,-,412,0
,"901014010 Social Welfare
and Vocational Rehabil-
itation","2,450,000","5,000,000","731,950",-,29.9,-,412,0
,"902024010 Persons Living
with Disabilities",-,"5,000,000",-,-,-,-,412,0
,"711024010 Gender &
Social-Economic Empow-
erment",-,"5,000,000",-,-,-,-,412,0
"General Admin-
istration and
Support","706014010 General Ad-
ministration Planning and
Support Services","53,514,429",-,"24,954,969",-,46.6,-,412,0
"Youth Develop-
ment Program","711014010 Youth Devel-
opment Services","660,000","135,000,000","207,800","60,000,000",31.5,44.4,412,0
,"903034010 Development
and Management of
Sports Facilities","23,623,500","5,000,000","12,740,770",-,53.9,-,412,0
"Cultural Devel-
opment Program","904014010 Development
and Promotion of Culture","3,119,238","5,000,000","764,940",-,24.5,-,412,0
Sub Total,,"83,367,168","160,000,000","39,400,429","60,000,000",47.3,37.5,412,0
"Environment, Natural Resources, Water and Irrigation",,,,,,,,412,0
"Waste Manage-
ment Program","101094010 Solid Waste
Management","6,074,872","49,000,000","1,052,900","8,000,000",17.3,16.3,412,0
,"102064010 Environmental
Management & Protection","14,553,072","78,700,000","369,340",-,2.5,-,412,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","47,355,186",-,"281,000",-,0.6,-,412,0
"Environmental
Governance","1001054010 Environ-
mental Leadership and
Governance","25,700,000",-,"230,260",-,0.9,-,412,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services",-,-,-,-,-,-,412,0
"Water Develop-
ment Program","1004014010 Water Supply
Infrastructure",-,"35,000,000",-,-,-,-,412,0
"Irrigation Devel-
opment","1003024010 Irrigation
Development","46,054,370",,"801,200",-,1.7,-,412,0
Sub Total,,"139,737,500","162,700,000","2,734,700","8,000,000",2.0,4.9,412,0
Public Service Administration,,,,,,,,412,0
"Human Resource
Development
Program","101064010 Human Re-
source Management and
Development",-,-,-,-,-,-,412,0
"Administration
and Support","706001410 General Ad-
ministration Planning and
Support Services","1,027,520,241",-,"378,882,364",-,36.9,-,412,0
ICT Program,Automation,-,"80,000,000",-,-,-,-,412,0
Sub Total,,"1,027,520,241","80,000,000","378,882,364",-,36.9,-,412,0
