Programme,Sub-Programme,"Approved Estimates
Recurrent Ex- Development
penditure Expenditure",col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates
,,,"Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",223,1,
County Assembly,,,,,,,,223,1,
"Legislation and
Oversight","Legislation and
Oversight","673,319,674","85,229,460","308,425,142.45",-,45.8,-,223,1,
Sub Total,,"673,319,674","85,229,460","308,425,142",-,45.8,-,223,1,
County Executive,,,,,,,,223,1,
"Office of the Governor
and Deputy Governor","070601 County
Executive Ser-
vices","334,594,668",-,"97,924,144",-,29.3,-,223,1,
,,,"Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",224,0,"Recurrent Ex-
penditure"
"County Executive
Administration","070701County
Executive Ser-
vices",,-,-,-,-,-,224,0,-
"Management of Coun-
ty Affairs","070801 Coordi-
nation of County
Functions",,-,"28,775,888",-,24.5,-,224,0,"117,691,297"
"County Executive
Committee Affairs","070901 Organi-
zation of County
Business",,-,"369,600",-,6.,-,224,0,"6,200,000"
"County Public Service
Board","071001 Human
Resource Man-
agement",,-,"2,879,171",-,22.3,-,224,0,"12,906,040"
"Administrative Sup-
port Services","020202 ICT
Governance",,-,"1,191,440",-,34.2,-,224,0,"3,480,000"
,"020701 Govern-
ment Buildings
Services",,-,"236,500",-,9.2,-,224,0,"2,567,000"
,"070411 Audit
Committee",,-,"284,000",-,14.8,-,224,0,"1,919,000"
,"070412 County
Enforcement
Activities",,-,"1,332,300",-,31.8,-,224,0,"4,185,000"
,"070413 ICT
Infrastructure
Development
Management",,-,"3,328,789",-,30.4,-,224,0,"10,958,800"
,"070414 ICT
Systems Develop-
ment Manage-
ment",,-,"49,700",-,3.3,-,224,0,"1,522,000"
Sub Total,,,-,"136,371,532",-,27.5,-,224,0,"496,023,805"
Finance and Economic Planning,,,,,,,,224,0,
"Public Finance Man-
agement","070401 Finance
Services",,"126,000,000","207,593,120","69,240,000",40.9,55,224,0,"508,173,322"
,"070402 Revenue
Services",,-,"8,802,618",-,50.9,-,224,0,"17,300,000"
,"070404 Procure-
ment and Supply
Services",,-,"6,174,590",-,63.2,-,224,0,"9,770,000"
,"070405 Internal
Audit Services",,-,"201,800",-,11.7,-,224,0,"1,718,200"
,"070408 Budget
Formulation,
Coordination and
Management",,-,"5,442,040",-,60.7,-,224,0,"8,970,920"
,"070409 Account-
ing Services",,-,"2,259,150",-,30.3,-,224,0,"7,445,000"
"County Planning and
Economic Policy
Management","070501 Economic
Planning Services",,-,"6,569,900",-,33.3,-,224,0,"19,714,168"
Sub Total,,,"126,000,000","237,043,218","69,240,000",41.4,55,224,0,"573,091,610"
Medical Services and Public Health,,,,,,,,224,0,
"Curative and Rehabili-
tative Services","040301 Curative
and Rehabilitative
Services",,"605,258,331","790,117,733","101,914,994",37.3,16.8,224,0,"2,116,489,802"
Sub Total,,,"605,258,331","790,117,733","101,914,994",37.3,16.8,224,0,"2,116,489,802"
,,,"Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",225,0,"Recurrent Ex-
penditure"
Education,,,,,,,,225,0,
Basic Education,"050101 General
Administration",,-,"59,953,360",-,17.6,-,225,0,"340,514,905"
,"050102 Free
Pre- Primary
Education",,-,"100,000",-,0.6,-,225,0,"15,440,000"
"State Education Func-
tion Support","050203 Tertiary
Education",,"31,000,000",-,"2,957,800.00",-,9.5,225,0,-
,"050501 Pre-Pri-
mary and Child
Care Services",,"19,900,000",-,-,-,,225,0,-
"Technical and Voca-
tional Training","050301 Village
Polytechnique",,-,"232,000",-,34.2,-,225,0,"678,500"
Sub Total,,,"50,900,000","60,285,360","2,957,800",16.9,5.8,225,0,"356,633,405"
"Agriculture, Livestock and Fisheries",,,,,,,,225,0,
"Livestock Resource
Management and
Development","010102 Livestock
Extension and
Capacity Building
Services",,-,-,-,-,-,225,0,"305,000"
,"010105 Livestock
Production Man-
agement",,-,-,-,-,-,225,0,-
,"010106 Livestock
Disease Manage-
ment & Control",,-,"188,685",-,15.7,-,225,0,"1,200,000"
"Crop Development
and Management","010202 Agricul-
tural Extension
Services",,-,"328,600",-,32.9,-,225,0,"1,000,000"
,"010203 Agribusi-
ness and Market
Development",,-,-,-,-,-,225,0,"100,000"
,"010206 Land and
Crop Develop-
ment",,,"621,000",,12.1,-,225,0,"5,149,000"
,"010207 Food Se-
curity Initiatives",,-,-,-,-,-,225,0,"400,000"
"Kamweti Agricultural
Training Centre","Extension and
Training",,-,-,-,-,-,225,0,-
Fisheries Development,"010402 Aquacul-
ture Development",,-,-,-,-,-,225,0,"200,000"
"Policy Strategy and
Management of Agri-
culture","010801 Develop-
ment of Agricul-
tural Policy",,-,"162,700",-,30,-,225,0,"543,000"
,"011001 General
Administration
and Planning",,"524,997,954","73,357,332","27,156,162",35.1,5.2,225,0,"209,081,626"
Sub Total,,,"524,997,954","74,658,317","27,156,162",34.3,5.2,225,0,"217,978,626"
Gender and Youth,,,,,,,,225,0,
Culture,"090702 Social
Welfare Services",,-,"768,200",-,7.2,-,225,0,"10,687,000"
,"091201 Gender
Administration
Services",,-,"12,528,264",-,40.6,-,225,0,"30,821,210"
,"091301 Gender
and Social Devel-
opment",,"51,150,000","229,000",-,15.4,-,225,0,"1,490,000"
,,,"Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",226,0,"Recurrent Ex-
penditure"
Youth,"090901 Youth
Development and
Empowerment
Services",,-,"25,000",-,3.7,-,226,0,"670,000"
Sub Total,,,"51,150,000","13,550,464",-,31,,226,0,"43,668,210"
Sports Culture and Social Services,,,,,,,,226,0,
Sports,"090701 General
Administration",,-,"5,310,194",-,41.7,-,226,0,"12,721,217"
,"090801 De-
velopment of
Sports and Sports
Facilities",,"21,520,000",-,-,-,-,226,0,-
,"091401 Man-
agement &
Development of
Sports and Sports
Facilities",,-,"7,827,300",-,41.4,-,226,0,"18,905,000"
,"091601Control
& Campaign
Against Drug &
Substance Abuse",,-,"774,500",-,50,-,226,0,"1,549,000"
,"091701 Preserva-
tion & Promotion
of Heritage and
Culture",,-,"10,000",-,4,-,226,0,"248,800"
Children Services,"091101 Child
Community Sup-
port Services",,-,"1,027,650",-,21.5,-,226,0,"4,784,000"
Sub Total,,,"21,520,000","14,949,644",-,39.1,,226,0,"38,208,017"
Cooperative Development Trade and Tourism,,,,,,,,226,0,
"Trade Development
and Investment","030401 General
Administration
and Planning",,"285,700,000",-,-,-,-,226,0,-
,"030103 Capacity
Building for Trad-
ers and SME’s",,-,-,-,-,-,226,0,"977,000"
,"030104 promo-
tion, Develop-
ment & Growth
of Trade",,-,-,-,-,-,226,0,"354,000"
,"030105 Fair
Trade Practises
and Consumer
Protection",,-,-,-,-,-,226,0,"205,000"
"Tourism Development
and Marketing","030302 Tourism
Promotion and
Marketing",,-,-,-,-,-,226,0,"195,500"
,"030304 Interna-
tional Tourism
Promotion and
Marketing",,-,"50,000",-,16.1,-,226,0,"310,000"
,"030305 Promo-
tion of Industrial
Development",,-,"144,100",-,2.3,-,226,0,"6,268,500"
,"030306 Provision
of Industrial
Training",,-,-,-,-,-,226,0,"140,000"
,,,"Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",227,0,"Recurrent Ex-
penditure"
"Cooperative Develop-
ment and Marketing","030101 General
Administration &
Planning",,-,"11,134,292",-,29,-,227,0,"38,449,441"
,"030405 Cooper-
ative Advisory
and Extension
Services",,-,"103,400",-,35.1,-,227,0,"295,000"
,"030406 Cooper-
ative Education
and Training",,-,"108,400",-,26.1,-,227,0,"416,000"
,"030407 Coopera-
tive Governance
and Account-
ability",,-,"145,000",-,91.2,-,227,0,"159,000"
"Cooperative Audit
Services","030603 In-
spections and
Investigations for
Cooperatives",,-,"17,600",-,25.1,-,227,0,"70,000"
Sub Total,,,"285,700,000","11,702,792",-,24.5,,227,0,"47,839,441"
Environment and Natural Resources,,,,,,,,227,0,
Water Supply Services,"090101 Water and
Irrigation",,"161,843,333",-,-,-,-,227,0,-
Energy Programme,"090301 Energy
Services",,-,"70,000",-,17.3,-,227,0,"405,000"
"Cleaning and Waste
Management","090502
Environment
Management and
Protection",,-,-,-,-,-,227,0,"675,800"
"Environment Manage-
ment and Protection","100401
Environment
Management and
Protection",,"131,648,938","11,000,000",-,10.2,-,227,0,"11,000,000"
Nema,"090401 Waste
Management
Services",,-,"37,440,260",-,-,-,227,0,"107,408,439"
