Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",106,1
OFFICE OF GOVERNOR,,,,,,,,106,1
"General Adminis-
tration Planning and
Support Services","Management of
County Affairs
(Office of Gov-
ernor)","159,318,905","9,331,999","48,234,462","9,331,999",30.28,-,106,1
"County Leadership
and Coordination","Sub-County Ad-
ministration and
Field Services
(Office of County
Secretary)","24,191,484","1,417,000","7,324,073","1,417,000",30.28,-,106,1
"County Leadership
and Coordination","Management of
County Exec-
utive Services
(Office of County
Secretary)","24,191,484","1,417,000","7,324,073","1,417,000",30.28,-,106,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",107,0
"County Government
Advisory Services","Public Sector Ad-
visory Services
(Legal, Political,
and Economic
Advisors)","48,382,968","2,834,000","14,648,145","2,834,000",30.28,-,107,0
Sub Total,,"256,084,841","15,000,000","77,530,753","15,000,000",30.28,100,107,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,107,0
"General Adminis-
tration Planning and
Support Services","Recruitment and
Selection, Career
Management,
HR Policy &
Audit","12,417,322",-,"5,942,229",-,47.85,-,107,0
"General Adminis-
tration Planning and
Support Services","Administra-
tion of Board
programmes/
Agenda","10,347,768",-,"4,951,858",-,47.85,-,107,0
"General Adminis-
tration Planning and
Support Services","Performance
Management &
Discipline","6,799,962",-,"3,254,078",-,47.85,-,107,0
Sub Total,,"29,565,052",-,"14,148,165",-,47.85,-,107,0
"ADMINISTRATION, PUBLIC SERVICE, DEVOLUTION, GOVERNANCE, ICT AND GOVERNOR’S DELIVERY UNIT",,,,,,,,107,0
"General Adminis-
tration Planning and
Support Services","Service delivery
and management
of County Affairs","308,949,968","10,357,740","108,287,289",-,35.05,-,107,0
Public Service,"Human Resource
Development","243,988,984","8,179,882","85,518,396",-,35.05,-,107,0
Public Service,"Construction of
Ward Offices","154,000,335","5,162,957","53,977,280",-,35.05,-,107,0
Sub Total,,"706,939,287","23,700,579","247,782,965",-,35.05,-,107,0
COUNTY ASSEMBLY,,,,,,,,107,0
"General Administra-
tion, Planning and
Support Services","Administrative
Services","182,548,311","11,891,973","62,090,370","1,417,958",34.01,-,107,0
"General Administra-
tion, Planning and
Support Services","Legislation,
Representation
and Legislative
Oversight","182,548,311","11,891,973","62,090,370","1,417,958",34.01,-,107,0
"General Administra-
tion, Planning and
Support Services","Representation
Services","182,548,311","11,891,973","62,090,370","1,417,958",34.01,-,107,0
"General Administra-
tion, Planning and
Support Services","County Assem-
bly Infrastructure
Improvement","66,377,016","4,324,081","22,576,892","515,589",34.01,-,107,0
Sub Total,,"614,021,950","40,000,000","208,848,002","4,769,462",34.01,11.92,107,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,107,0
"General Adminis-
tration Planning and
Support Services","Administration,
Planning and
Support Services","354,326,857","667,009","278,109,603",-,78.49,-,107,0
"Economic Policy and
County Planning","Economic Devel-
opment, Planning
and Coordination
Services","94,821,131","178,498","74,424,692",-,78.49,-,107,0
"Financial Manage-
ment Services","Control and
Management of
Public Finances","82,069,801","154,494","64,416,228",-,78.49,-,107,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",108,0
Sub Total,,"531,217,789","1,000,000","416,950,523",-,78.49,-,108,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALIZATION",,,,,,,,108,0
"General Administra-
tion and Planning","General Admin-
istration and
Support Services","1,927,790","29,742,407","747,702","705,938",38.79,-,108,0
Trade Development,"Capacity Devel-
opment","5,558,662","85,760,357","2,155,953","2,035,527",38.79,-,108,0
Trade Development,"Weights and
measures","5,558,662","85,760,357","2,155,953","2,035,527",38.79,-,108,0
Trade Development,"Alcohol and
licensing","5,558,662","85,760,357","2,155,953","2,035,527",38.79,-,108,0
"Industrial Develop-
ment and Investment","Investment pro-
motion venture","3,410,693","52,620,971","1,322,853","1,248,962",38.79,-,108,0
"Industrial Develop-
ment and Investment","Promotion of
value addition","3,410,693","52,620,971","1,322,853","1,248,962",38.79,-,108,0
"Tourism develop-
ment and promotion","Tourism
Infrastructure
Development","2,790,567","43,053,522","1,082,334","1,021,878",38.79,-,108,0
"Tourism develop-
ment and promotion","International and
domestic Tour-
ism Promotion &
Marketing","2,790,567","43,053,522","1,082,334","1,021,878",38.79,-,108,0
Sub Total,,"31,006,296","478,372,465","12,025,934","11,354,199",38.79,2.37,108,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND COOPERATIVE DEVELOPMENT",,,,,,,,108,0
