"County Depart-
ment","Name of the
Programme",Recurrent,col_3,Development,col_5,col_6,Absorption,col_8,page_number,table_index
,,"Sub-Pro-
gramme","Approved
Budget","Actual Pay-
ments","Approved
Budget","Actual
Payments","Recur-
rent","De-
velop-
ment",501,1
"Office of the
Governor and the
Deputy Governor","Management and
Co-ordination of
county affairs","Administration,
planning and
support services","142,775,752","56,764,200","48,000,000",-,40,-,501,1
,,"Management of
county affairs","4,249,565","1,029,120",,-,24,-,501,1
,,"Coordination of
county functions","20,000,000","6,394,227",,-,32,-,501,1
,,,"167,025,317","64,187,547","48,000,000",-,38,-,501,1
"Office of the
County Secretary","Coordination of
County Functions
and Public Ser-
vice Management","Administration,
planning and
support services","135,640,811","57,973,424","14,250,000",-,43,-,501,1
,,"County publicity
campaign","2,318,220","696,010",,-,30,-,501,1
,,,"137,959,031","58,669,434","14,250,000",-,43,-,501,1
"Finance, Eco-
nomic Planning
and ICT","Revenue Mobili-
zation","Revenue Mobi-
lization","71,068,678","27,598,977",,-,39,-,501,1
,,"Sub-Pro-
gramme","Approved
Budget","Actual Pay-
ments","Approved
Budget","Actual
Payments","Recur-
rent","De-
velop-
ment",502,0
,"ICT Develop-
ment","ICT Infrastruc-
ture Develop-
ment","5,467,575","757,300",,-,14,-,502,0
,"Executive ser-
vices","Administration
and personnel
services","758,796,361","160,993,959","71,662,775",-,21,-,502,0
,"Economic Plan-
ning and Policy
Formulation","Monitoring and
Evaluation","8,864,060","4,645,100",,-,52,-,502,0
,"Public Finance
Management","Financial Ac-
counting","42,687,349","30,886,475",,-,72,-,502,0
,,"Procurement
Compliance and
Reporting","11,474,323","2,110,712",-,-,18,-,502,0
,,Internal Audit,"7,812,300","4,006,787",-,-,51,-,502,0
,"Economic Plan-
ning and Policy
Formulation","Economic Plan-
ning and Policy
Formulation","15,461,036","3,992,937",-,-,26,-,502,0
,,,"921,631,682","234,992,247","71,662,775",-,25,-,502,0
"Lands, Housing,
Physical Planning
and Urban Devel-
opment","Physical planning
services","Administration
and personnel
services","85,463,643","31,668,311","208,563,046","4,730,900",37,2,502,0
,"Land Policy and
Planning","Land Policy
Formulation","4,817,943","1,210,500",-,-,25,-,502,0
,"Housing Devel-
opment and Hu-
man Settlement","Government
Building","5,197,057","158,676",-,-,3,-,502,0
,,,"95,478,643","33,037,487","208,563,046","4,730,900",35,2,502,0
Health Services,"Administration,
Planning and
General Support
Services","Administration,
Planning and
General Support
Services","2,398,715,893","1,088,030,490","475,230,196","45,376,551",45,10,502,0
,,Health Services,"30,354,638",-,-,-,-,-,502,0
,Rural Health,"Community
Health","3,489,200","1,046,123",-,-,30,-,502,0
,,,"2,432,559,731","1,089,076,613","475,230,196","45,376,551",45,10,502,0
"Gender, Youths,
Social Services
and Sports","Sports and Tal-
ents Develop-
ment","Search and
nurture talents","7,387,588","2,195,662",-,-,30,-,502,0
,"General Admin-
istration and
Planning services","Administration
and personnel
services","75,842,305","32,882,185",-,-,43,-,502,0
,Library services,"Administration
and planning
services","13,150,000","3,274,647",-,-,25,-,502,0
,"Disaster Manage-
ment","Administration
and planning
services","4,745,000","1,147,732","90,608,960","5,207,929",24,6,502,0
,"Social develop-
ment","County chil-
dren’s home
management","3,072,000","1,145,947",-,-,37,-,502,0
,"Sports and Tal-
ents Develop-
ment","Recreation
and Sporting
Services",-,-,"27,752,011","5,629,069",-,20,502,0
,,,"104,196,893","40,646,173","118,360,971","10,836,998",39,9,502,0
,,"Sub-Pro-
gramme","Approved
Budget","Actual Pay-
ments","Approved
Budget","Actual
Payments","Recur-
rent","De-
velop-
ment",503,0
"County Public
Service and Solid
Waste Manage-
ment","Human resources
Management","Administra-
tion Planning
and Support
Services","395,995,102","74,736,191","17,194,150",-,19,-,503,0
,"Sanitation man-
agement","Environment
Conservation,
Protection and
Management","8,448,828","1,911,350",-,-,23,-,503,0
,,"Administra-
tive Support
Services",-,-,"35,500,000","6,737,190",-,19,503,0
,,,"404,443,930","76,647,541","52,694,150","6,737,190",19,13,503,0
"Agriculture,
Livestock and
Aquaculture
Development","Agricultural
Management","Administration
and planning
services","232,258,315","99,900,571","69,193,231","17,856,804",43,26,503,0
,"Crop Manage-
ment","County Agricul-
ture Extension
Program","1,903,003","388,158","28,999,500",-,20,-,503,0
,Wambugu ATC,"Farm Develop-
ment","5,300,000","2,750,000",-,-,52,-,503,0
,AMS Naromoru,"Development
Of Agricultural
Land For Crop
Production","1,226,000","700,000","2,000,000",-,57,-,503,0
,"Livestock
Production Man-
agement","Provision of Ex-
tension Services
to Livestock
farmers","1,645,500","119,510","100,582,920","1,353,000",7,1,503,0
,"Aquaculture
Development","Administra-
tive Support
Services","1,473,500","336,150","24,315,146",-,23,-,503,0
,"Veterinary
services","Administra-
tive Support
Services","2,275,360","719,510","23,059,965","3,000,000",32,13,503,0
,"Coffee Improve-
ment Program","Coffee Improve-
ment Program",-,-,"255,000,000",-,-,-,503,0
,,,"246,081,678","104,913,899","503,150,762","22,209,804",43,4,503,0
"Trade, Coopera-
tives, Culture and
Tourism",Co-operatives,"Cooperative De-
velopment And
Management","5,769,585","1,644,108","26,000,000","2,448,100",28,9,503,0
,"Tourism Devel-
opment","Promotion of
Tourism","7,032,000","924,100","14,095,113","4,981,622",13,35,503,0
,"Trade Develop-
ment","Trade Promo-
tion","66,689,930","17,692,765","269,372,757","1,512,959",27,1,503,0
,,,"79,491,515","20,260,973","309,467,870","8,942,681",25,3,503,0
"Education and
Training","General adminis-
tration and policy
Development and
implementation","Administra-
tive Support
Services","499,993,691","192,039,820","78,747,036","2,399,922",38,3,503,0
,"ECDE Manage-
ment","ECDE Manage-
ment","3,692,496","1,075,100",-,-,29,-,503,0
,"Youth Training
and Development","Youth Training
and Develop-
ment",-,-,"29,913,878","1,873,629",-,6,503,0
,,,"503,686,187","193,114,920","108,660,914","4,273,551",38,4,503,0
