Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Rec
(Kshs.)",Dev (Kshs.),Rec (Kshs.),Dev (Kshs.),Rec,Dev,82,0
"Department of Agriculture, Livestock, Fisheries, Climate Change, Blue Economy and Agribusiness",,,,,,,,82,0
"General Administration
and support services","Administrative sup-
port service","262,893,875",-,"159,374,791",-,60.6,-,82,0
Land use and management,"Agricultural mecha-
nization",-,"12,000,000",-,"2,995,680",-,25.0,82,0
"Crop production and Man-
agement",Input support services,-,"67,600,000",-,-,-,-,82,0
,Crop development,-,"5,000,000",-,-,-,-,82,0
,"Multi-Sectoral Nutri-
tion Improvement",-,"2,000,000",-,-,-,-,82,0
,"ATC Infrastructure
Development",-,"31,498,206",-,"2,610,445",-,8.3,82,0
"Agribusiness and agricul-
tural Value Chain Devel-
opment",Value addition,-,"255,000,000",-,"82,155,953",-,32.2,82,0
"Fisheries and Aquaculture
Resource Development","Aquaculture devel-
opment",-,"33,000,000",-,"8,205,380",-,24.9,82,0
,"Fisheries training
infrastructure devel-
opment",-,"7,000,000",-,-,-,-,82,0
"Livestock Production
Development","Livestock production
improvement",-,"34,000,000",-,"14,463,075",-,42.5,82,0
Veterinary health services,"Veterinary Disease
Control",-,"6,850,000",-,-,-,-,82,0
,AI services,-,"2,000,000",-,"1,998,240",-,99.9,82,0
,"Meat inspection
services",-,"7,000,000",-,-,-,-,82,0
,Veterinary Extension,-,"4,000,000",-,-,-,-,82,0
,Sub total,"262,893,875","466,948,206","159,374,791","112,428,773",60.6,24.1,82,0
"Trade, Investment, Co-operatives and Industry",,,,,,,,82,0
"General Administration and
support services","Administrative sup-
port service","85,836,520",-,"15,265,973",-,18,-,82,0
,"Market moderniza-
tion and development
Establishment of
Industrial park",-,"351,300,000",-,"79,680,479",-,22.7,82,0
Fair Trade practices,"Weights and mea-
sures.",-,"4,000,000",-,-,-,-,82,0
Cooperative development,"Busia County Co-
operative Enterprise
Development Fund
(equipping of voca-
tional training centres)",-,"6,000,000",-,-,-,-,82,0
,Sub total,"85,836,520","361,300,000","15,265,973","79,680,479",18,22.7,82,0
Education and Vocational Training,,,,,,,,82,0
": General Administration
and support services","Administrative sup-
port service","513,388,021",-,"328,979,418",-,64.1,-,82,0
"Early Childhood Devel-
opment Education (Basic
Education)",": Improvement of
infrastructure in
E.C.D.E Centres",-,"52,600,000",-,-,-,-,82,0
,E.C.D.E Capitation,-,"10,400,000",-,-,-,-,82,0
,,"Rec
(Kshs.)",Dev (Kshs.),Rec (Kshs.),Dev (Kshs.),Rec,Dev,83,0
"Technical/ vocational train-
ing development","Infrastructure devel-
opment",-,"30,000,000",-,-,-,-,83,0
Education support,"Education support
scheme",-,"106,800,000",-,-,-,-,83,0
,Sub total,"513,388,021","199,800,000","328,979,418",-,64.1,-,83,0
"Finance, ICT and Economic Planning",,,,,,,,83,0
"General Administration
and support services","Administrative sup-
port service","753,064,403",-,"597,557,824",-,79.4,-,83,0
"Financial management
control and development","Revenue generation
services",-,-,-,-,-,-,83,0
Infrastructure Development,"Construction and
Renovation",-,"8,000,000",-,-,-,-,83,0
,ICT Support services,-,"14,000,000",-,"11,977,046",-,85.6,83,0
,Sub total,"753,064,403","22,000,000","597,557,824","11,977,046",79.4,85.6,83,0
"Sports, Culture and Social Services",,,,,,,,83,0
"General Administration and
support services","Administrative sup-
port service","110,556,236",-,"22,251,833",-,20.1,-,83,0
Social services,"Infrastructural devel-
opment",-,"25,000,000",-,-,-,-,83,0
,Sports promotion,-,"74,000,000",-,-,-,-,83,0
Child care and protection,"Rehabilitation and
custody",-,"8,000,000",-,-,-,-,83,0
"Alcoholic drinks and drugs
control","Infrastructure devel-
opment",-,"5,000,000",-,-,-,-,83,0
,Sub total,"110,556,236","112,000,000","22,251,833",-,20.1,-,83,0
"Transport, Public Works and Energy",,,,,,,,83,0
"General Administration and
support services","Administrative sup-
port service","263,469,068",-,"114,879,335",-,43.6,-,83,0
"Development and mainte-
nance of roads","Routine maintenance
of roads",-,"102,900,000",-,"7,168,953",-,-,83,0
,"Development of
Roads",-,"273,040,000",-,"17,081,671",-,-,83,0
"Building Infrastructure
Development","Infrastructure Devel-
opment",-,"17,000,000",-,-,-,-,83,0
Energy Development,"Solar Energy Explo-
ration",-,"60,100,000",-,-,-,-,83,0
"Alternative Transport Infra-
structure Development","Road safety cam-
paign",-,"4,000,000",-,-,-,-,83,0
,Sub total,"263,469,068","457,040,000","114,879,335","24,250,624",43.6,-,83,0
"Public Service, Administration and Gender",,,,,,,,83,0
"General Administrative and
support services","Administrative sup-
port services","464,771,629",-,"148,493,919",-,31.9,-,83,0
,Sub total,"464,771,629",-,"148,493,919",-,31.9,-,83,0
"Lands, Housing and Urban Development",,,,,,,,83,0
"General Administrative and
support services","Administrative sup-
port services","136,001,139",-,"28,599,462",-,21.0,-,83,0
"County Land Administra-
tion and Planning",Land use planning,-,"44,900,000",-,-,-,-,83,0
"Housing Development and
Management",Housing Development,-,"51,194,559",-,"550,000",-,1.1,83,0
"Urban management and
development control",Urban management,-,"30,000,000",-,-,-,-,83,0
,Urban Development,-,"43,000,000",-,-,-,-,83,0
