Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",65,0
"Agriculture, Livestock and Co-operative",,,,,,,,65,0
"Programme 1:
General Adminis-
tration, planning
and support
services","S.P 1.1 Administrative and
Support Services","21,278,650",,"20,970,604",,98.6,0,65,0
,"S.P 1.2 Human Resource
Management and Develop-
ment.","333,213,299",,"104,617,386",,31.4,0,65,0
,"S.P 1.3: Policy, Legal and
Regulatory Framework","5,847,440",,"4,918,919",,84.1,0,65,0
,"S.P 1.4: Planning and Finan-
cial Management","2,615,043",,"173,020",,6.6,0,65,0
,S.P 1.5 Sector Coordination,"1,100,000",,,,0,0,65,0
,"S.P 1.6: Leadership and
Governance",,,,,0,0,65,0
,"S.P 1.7 Sub-County Admin-
istrative Costs","3,400,000",,,,0,0,65,0
"Programme 2:
Land and Crop
Development and
Management","S.P 2.1: Agricultural Exten-
sion and Training Services",,"5,000,000",,,0,0,65,0
,"S.P 2.2: Crop Production
and Productivity",,"154,850,000",,"5,796,658",0,3.7,65,0
,"SP 2.8 Irrigation Infra-
structure Development and
Agricultural Water Storage",,"10,000,000",,"1,837,579",0,18.4,65,0
"Programme 3: Live-
stock Development
and Management","SP 3.4 Disease and Vector
Control",-,"2,000,000",,,0,0,65,0
,"SP 3.5 Food Safety and
Quality Control","2,345,500","2,654,500",,,0,0,65,0
,"SP 3.7 Veterinary Extension
Services",,"3,600,000",,,0,0,65,0
,"SP 3.8 Breeding and AI
Subsidy Programme",,"2,000,000",,,0,0,65,0
"Programme 4: Fish-
eries development
and management","SP 4.2 Fisheries Product
Value-Chain Development",,"4,000,000",,,0,0,65,0
"Programme 5:
Cooperatives
Development and
Management","SP 5.1 Co-operatives Ex-
tension Service and Training
(Co-operative Governance
(Training))","2,700,000",-,,,0,0,65,0
,"SP 5.2 Co-operatives Audit
Services","1,300,000",-,,,0,0,65,0
,"SP 5.3 Production,
Agro-processing, Value Ad-
dition & Marketing (Input
and Infrastructural Support
to Cooperatives)",-,"4,982,125",,,0,0,65,0
"Programme 6:
Institutional
Development and
Management","SP 6.1 Mabanga ATC
Administration Management
Services",,,,,0,0,65,0
,"SP 6.2 Agricultural Enter-
prise Development (ATC)",,"3,560,000",,,0,0,65,0
,"SP 6.3 Infrastructural Devel-
opment (ATC)",,"10,000,000",,,0,0,65,0
,SP 6.5 Tractor Hire Services,"3,000,000",,,,0,0,65,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",66,0
,"SP 6.8 Operational Develop-
ment (CFF)",,"10,300,000",,,0,0,66,0
NARIGP,,,"704,113,827",,,0,0,66,0
ASDSP II,,,"39,644,293",,,0,0,66,0
"Ward Based
Projects",,,"10,500,000",,,0,0,66,0
Sub Total,,"376,799,932","967,204,745","130,679,929","7,634,237",11.6,3.6,66,0
Health and Sanitation,,,,,,,,66,0
"Programme 1:
General Adminis-
tration Planning and
Support Services","SP 1. 1 Health Administra-
tive and support services","126,916,175","40,673,929","21,453,581",,16.9,0,66,0
,"SP 1. 2. Leadership and
Governance.","34,500,000",-,,,0,0,66,0
,SP 1. 3 Health Policy,"4,000,000",-,,,0,0,66,0
,"SP 1. 6 Human Resource
Management","2,778,861,658",,"1,042,454,223",,37.5,0,66,0
,"SP 1. 7 Infrastructural
Developments",,"430,358,722",-,,0,0,66,0
"Programme 2:
Preventive and
Promotive","SP 2.1 Communicable and
Non-communicable Disease
Control","20,000,000",,,,0,0,66,0
,"SP 2.2 Community Health
Strategy","5,600,000",,,,0,0,66,0
,SP 2.3 Health Promotion,"3,000,000",,,,0,0,66,0
,"SP 2.6 Reproductive, Ma-
ternal, Newborn, Child and
Adolescent Health.","15,000,000",,,,0,0,66,0
,"SP 2.7 Public Health and
Sanitation","8,000,916","15,358,366",,,0,0,66,0
,"Specialized Materials and
Supplies","501,885,740",,,,0,0,66,0
"Programme 3:
Curative Health
Services","SP3. 1 Routine Medical
Services.","95,171,405",,,,0,0,66,0
"Grants; DANIDA/
UNICEF",,"41,777,772",,"28,015,305",,67.1,0,66,0
Sub Total,,"3,634,713,666","486,391,017","1,091,923,109",-,30,0,66,0
Roads and Public Works,,,,,,,,66,0
"Programme 1:
General Adminis-
tration, Planning,
and Support
Services","SP1.1: Capacity Develop-
ment and Motivation","85,121,330","16,000,000","38,878,703",,45.7,0,66,0
,"SP1.3: Administration
Services","23,615,544",,"9,366,662",,39.7,0,66,0
,"SP1.4: Financial Services,
Planning and Stewardship","4,726,720",,,,0,0,66,0
"Programme
2: Transport
Infrastructure
Development and
Management","SP2.1: Construction of
Roads Bridges and Drainage
Works",-,"962,503,320",-,"76,509,173",0,8,66,0
,"SP2.2: Maintenance of
Roads",-,"145,500,000",-,"3,885,104",0,2.7,66,0
,"SP3.1: Building Standards
and Research",-,"4,275,000",,,0,0,66,0
Sub Total,,"113,463,594","1,128,278,320","48,245,365","80,394,277",42.5,7.1,66,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",67,0
Education and Vocational Training,,,,,,,,67,0
"Programme 1:
General Adminis-
tration Planning and
Support Services","SP 1: Salaries and Allow-
ances","1,208,144,825",,"492,675,478",-,40.8,0,67,0
,SP 2: Policy formulation,-,-,,,0,0,67,0
,"SP3: Administration and
Support Services","18,551,478","18,000,000","7,261,551",,39.1,0,67,0
"Programme 2: Early
Childhood Devel-
opment Education","SP6: Infrastructure Devel-
opment",,"5,000,000",-,-,0,0,67,0
"Programme 3:
Education Support
Programme","Sp1: Education Support and
Bursary Scheme",,"205,000,000",,,0,0,67,0
,VTC Capitation,"462,080","64,482,000",,,0,0,67,0
,"Sp: School Feeding Pro-
gramme",,"30,000,000",,,0,0,67,0
,Ward Based Projects,,"94,620,000",,"9,993,022",0,10.6,67,0
"Programme 4:
VTC General
Administration
Planning and Policy
Formulation",SP 2: Policy Formulation,"1,765,902",,,,0,0,67,0
,"SP3: Administration and
Support Services","6,655,828",,"3,880,000",-,58.3,0,67,0
,"Programme 5: Training and
Skill Development",-,-,-,-,0,0,67,0
,Sp1: Tuition Support Grant,,"20,000,000",,,0,0,67,0
,"Sp2: Tools and Equipment
for VTC",,"14,000,000",,,0,0,67,0
,"Sp4: Quality Assurance and
Standards",,"2,000,000",,,0,0,67,0
,"SP6: Capacity Building for
VTC Instructors",,"3,000,000",,,0,0,67,0
,"SP7: Monitoring and Eval-
uation",,"3,000,000",,,0,0,67,0
Sub Total,,"1,235,580,113","459,102,000","503,817,029","9,993,022",40.8,2,67,0
Finance and Economic Planning,,,,,,,,67,0
"Programme 1: Gen-
eral Administration,
Planning and
Support Services",SP 1.1: Personnel costs,"490,517,391",,"321,655,538",,65.6,0,67,0
,"SP 1.2: Administration
Services","200,896,303","27,550,000","143,146,620",,71.3,0,67,0
,"SP 1.3: Employer Contribu-
tion for Staff Pension","202,275,646",,,,0,0,67,0
,Donor Fund,,"137,839,232",,,0,0,67,0
"Programme 2:
County Planning
Management","SP 2.1: Economic Policy and
County Planning Services","26,095,966",,"13,355,825",,51.2,0,67,0
,SP 2.2: Budgeting,"67,257,695",,"22,051,040",,32.8,0,67,0
,"SP 2.3: Monitoring and
Evaluation","17,121,610",,"4,532,320",,26.5,0,67,0
,"SP 2.4: Resource Mobiliza-
tion Strategies","5,000,000",,,,0,0,67,0
,"SP 2.5: Enforcement of
Revenue Collection","5,000,000",,,,0,0,67,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",68,0
"Programme 3:
County Financial
Service Manage-
ment","SP 3.1: Revenue Mobili-
zation","39,279,040",,"16,113,500",,41,0,68,0
,SP3.2: Accounting Services,"20,319,230",,"15,076,946",,74.2,0,68,0
