Programme/SP,Approved Estimates (Kshs.),col_2,"Actual Expenditure as of 31st
December 2023 (Kshs.)",col_4,Absorption Rate (%),col_6,page_number,table_index
"SP 3-(Youth Voca-
tional training)","16,305,408.00","8,379,478.00","8,100,000.00",-,50,-,643,0
"SP 4-(Bursary
Fund)","310,000,000.00",-,"1,480,800.00",-,-,-,643,0
"SP 5 - (Ward spe-
cific)",-,"115,331,622.00",-,-,-,-,643,0
TOTAL,"702,484,047.00","479,593,078.00","177,178,879.85","115,646,307.00",25,24.11,643,0
Programme 6 - AGRICULTURE AND IRRIGATION,,,,,,,643,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","96,554,520.00",-,"36,175,736.55",-,37,-,643,0
"SP 2-(Crop
Development and
Management)","6,000,000.00","26,500,000.00","239,400.00",-,4,-,643,0
"SP 3-(Cash Crop
Production(Special
Programs)","5,070,529.00","241,007,244.00","700,000.00",-,14,-,643,0
"SP 4 -(Ward spe-
cific)",-,"39,400,000",-,-,-,-,643,0
TOTAL,"107,625,049.00","306,907,244.00","37,115,136.55",-,34,-,643,0
Programme 7 - PASTORAL ECONOMY,,,,,,,643,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","64,781,979.00",-,"12,930,952.10",-,20,-,643,0
"SP 2 - (Livestock
production and
Range Manage-
ment)","14,480,000.00","127,336,892.00","19,594,100.00",-,135,-,643,0
"SP 3-(Livestock
Disease manage-
ment)","6,670,000.00","480,000.00","2,280,200.00",-,34,-,643,0
"SP 4-(Fisheries
Development)","10,500,000.00","5,800,000.00","997,700.00",-,10,-,643,0
"SP 5-(Nasukuta
Livestock Improve-
ment Center)","1,900,000.00","8,200,000.00","1,288,800.00",-,68,-,643,0
"SP 6 -(Ward spe-
cific)",0.00,"47,288,000.00",-,-,-,-,643,0
"SP 7 -(Dairy De-
velopment(Special
Programmes)",0.00,-,-,-,-,-,643,0
TOTAL,"98,331,979.00","189,104,892.00","37,091,752.10",-,38,-,643,0
"Programme 8 - TRADE, INDUSTRIALISATION, INVESTMENT & COOPERATIVES DEVELOPMENT",,,,,,,643,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","82,826,015.00","33,900,000.00","31,009,894.40",-,37,-,643,0
,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",644,0
"SP 2-(Cooperative
Development)","1,889,601.00","999,999.00","855,200.00",-,45,-,644,0
"SP 3 - (Trade,
License and Market
Development)","2,486,000.00",-,"908,950.00",-,37,-,644,0
"SP 4-(Ward spe-
cific)",-,"11,220,943.00",-,-,-,-,644,0
TOTAL,"87,201,616.00","46,120,942.00","32,774,044.40",-,38,-,644,0
"Programme 9 - LANDS, HOUSING, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,644,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","85,401,239.00",-,"45,488,100.50",-,53,-,644,0
"SP 2 -(Land Policy
and Physical Plan-
ning)","8,291,200.00",-,"1,369,593.10",-,17,-,644,0
"SP 3-(Housing
Development)","1,612,000.00",-,"614,050.00",-,38,-,644,0
"SP 4-(Urban Devel-
opment)","2,528,800.00",-,"729,500.00",-,29,-,644,0
"SP 5-(Kapenguria
Municipality)","73,500,000.00","74,440,288.00","6,341,806.90",-,9,-,644,0
"SP 6-(Ward spe-
cific)","2,450,000.00","3,299,778.00","661,281.10",-,27,-,644,0
TOTAL,"173,783,239.00","77,740,066.00","55,204,331.60",-,32,-,644,0
"Programme 10 - WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,644,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","68,119,585.00","4,200,000.00","30,242,952.85",-,44,-,644,0
"SP 2 -(Water Sup-
ply Services)","13,455,999.50","47,752,107.50","3,144,600.00","11,900,000.00",23,24.92,644,0
"SP 3 -(Environment
& Natural Resource
Development)","8,981,280.00","174,752,000.00","7,004,400.00","11,000,000.00",78,6.29,644,0
"SP 4 -(Ward Spe-
cific)",0.00,"119,349,900.00","2,999,902.00","2,499,600.00",-,2.09,644,0
TOTAL,"90,556,864.50","346,054,007.50","43,391,854.85","25,399,600.00",48,7.34,644,0
"PROGRAMME 11-TOURISM, YOUTH SPORTS AND CULTURE",,,,,,,644,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","57,332,483.00",-,"27,129,707.90",-,47,-,644,0
"SP 2-(Tourism
Development)","4,387,200.00",-,"1,137,600.00",-,26,-,644,0
"SP 3-(Gen-
der,Youths and
Sports Develop-
ment)",0.00,"32,000,000.00",-,-,-,-,644,0
,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",645,0
"SP 4(Culture and
Social Develop-
ment)","3,039,718.00",-,"1,235,400.00",-,41,-,645,0
"SP 5-(Ward Spe-
cific)","42,814,273.00","31,399,828.00","15,748,700.00",-,37,-,645,0
TOTAL,"107,573,674.00","63,399,828.00","45,251,407.90",-,42,-,645,0
"Programme 12 - COUNTY PUBLIC SERVICE, ICT AND DECENTRALISED UNITS",,,,,,,645,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","392,241,880.00","5,000,000.00","50,502,570.15",-,13,-,645,0
"SP 2-(Human
Resource)","8,786,000.00",-,"522,500.00",-,6,-,645,0
"SP 3-(Legal Ser-
vices)","11,320,000.00",-,"863,990.00",-,8,-,645,0
"SP 4 - (Records
Management)","16,595,000.00",-,"692,400.00",-,4,-,645,0
"SP 5- (Communica-
tion Services)","3,400,000.00",-,"696,100.00",-,20,-,645,0
"SP 6 - (ICT Infra-
structure Connec-
tivity)","25,726,926.00",-,"1,330,237.00",-,5,-,645,0
"SP 7 - (Field Ad-
ministration)","17,480,000.00",-,"4,404,850.00",-,25,-,645,0
TOTAL,"475,549,806.00","5,000,000.00","59,012,647.15",-,12,-,645,0
Programme 13 -SPECIAL PROGRAMMES AND DIRECTORATES,,,,,,,645,0
"SP 1 - (General
Administration,
Planning and Sup-
port Services)","19,590,551.00",-,"13,280,864.30",-,68,-,645,0
"SP 2 -(Dairy Devel-
opment)",-,-,-,-,-,-,645,0
"SP 3-(Cash crop
production)",-,-,-,-,-,-,645,0
"SP 4-(Investment
and Cooperative
development)","42,880,000.00",-,"5,636,400.00",-,13,-,645,0
"SP 5 - (Emergen-
cy and disaster
response)","19,106,000.00",-,"5,547,600.00",-,29,-,645,0
"SP 6 -(Peacebuild-
ing and reconcili-
ation)","2,730,000.00",-,"819,800.00",-,30,-,645,0
"SP 7- ( Resource
mobilization and
Coordination)",-,-,-,-,-,-,645,0
"SP 8(Gender and
special needs)","7,840,000.00",-,"1,048,600.00",-,13,-,645,0
TOTAL,"92,146,551.00",-,"26,333,264.30",-,29,-,645,0
"Programme 14
-COUNTY AS-
SEMBLY",,,,,,,645,0
