Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Actual Expenditure as of 31st December 2023
(Kshs.)",col_4,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"General Adminis-
tration, Planning
and Support
Services","Administration and
support services","1,525,981,500.00",-,"758,797,157.63",,49.7,-,355,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure",Rec,Dev,356,0
"General Adminis-
tration, Planning
and Support
Services","Health Infrastructure
development",-,"503,182,283.00",-,"39,844,563.40",-,7.9,356,0
,Sub-Total,"1,525,981,500.00","503,182,283.00","758,797,157.63","39,844,563.40",49.7,7.9,356,0
"Trade, Industry & Enterprise Development",,,,,,,,356,0
"General adminis-
tration planning
and Support
Services",Financial Services,"86,700,000.00",-,"29,106,599.00",-,33.6,-,356,0
"Trade and Indus-
trial Development","Development of infra-
structure and facilities",-,"189,300,000.00",-,"6,620,976.05",-,3.5,356,0
,Sub-Total,"86,700,000.00","189,300,000.00","29,106,599.00","6,620,976.05",33.6,3.5,356,0
"Tourism, Culture
& Social Services",,,,,,,,356,0
Culture Services,"Cultural infrastructure
development",-,"32,500,000.00",-,-,-,0.0,356,0
"General adminis-
tration, planning
and support
services","General Administra-
tion Services","123,358,270.00",,"63,049,421.00",-,51.1,-,356,0
,Sub-Total,"123,358,270.00","32,500,000.00","63,049,421.00",-,51.1,0.0,356,0
"Water, Environment & Natural Resources",,,,,,,,356,0
"Water Resources
Management","Water Supply Infra-
structure Development",-,"351,033,000.00",,"1,749,500.00",-,0.5,356,0
"General adminis-
tration planning
and Support
Services","General administration
planning and Support
Services","108,512,000.00",,"38,360,628.00",-,35.4,-,356,0
"Natural Resources
Conservation and
Management","Environmental policy
development",-,"125,001,968.00",,"8,618,800.00",-,6.9,356,0
"Natural Resources
Conservation and
Management","Forests Conservation
and Management","38,388,560.00",-,"10,717,903.00",,27.9,-,356,0
,Sub-Total,"146,900,560.00","476,034,968.00","49,078,531.00","10,368,300.00",33.4,2.2,356,0
Roads & Public Works,,,,,,,,356,0
"General adminis-
tration planning
and Support
Services","General administration
planning and Support
Services","65,760,878.00",,"27,385,764.00",-,41.6,-,356,0
"General adminis-
tration planning
and Support
Services","Operations and Main-
tenance","38,603,609.00",,"4,067,999.00",-,10.5,-,356,0
"Road Transport
Infrastructure
Development","Roads Infrastructure
Development",-,"236,461,903.00",-,"2,000,000.00",-,0.8,356,0
,Sub-Total,"104,364,487.00","236,461,903.00","31,453,763.00","2,000,000.00",30.1,0.8,356,0
"Energy, Lands & Urban Development",,,,,,,,356,0
"Urban Develop-
ment Services","Solid Waste Manage-
ment",-,"134,394,560.00",-,"29,020,384.00",-,21.6,356,0
"General adminis-
tration planning
and Support
Services","Administration and
Support services","134,975,359.00",-,"84,055,597.60",-,62.3,-,356,0
,Sub-Total,"134,975,359.00","134,394,560.00","84,055,597.60","29,020,384.00",62.3,21.6,356,0
