Programme,Sub Programme,Approved Estimates,col_3,col_4,Expenditure,col_6,Absorption Rate,col_8,page_number,table_index,col_7,col_9
,,Recurrent,Development,,Recurrent,"Develop-
ment",Rec,Dev,441,0,,
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,,441,0,,
"Programme 1;
Administra-
tion, planning
and support
services","SP 1.1: Administration
planning and support
services","60,027,815","181,097,680",,"12,192,549",-,0.20,-,441,0,,
,SP 1.2: Human Resource,"369,379,098",-,,"164,460,712",-,0.45,-,441,0,,
"Programme
2: Livestock
resource man-
agement and
development","SP 2.1: Livestock produc-
tion and management",-,"2,000,000",,-,-,-,-,441,0,,
,"SP 2.2: Promotion of
value addition of livestock
and livestock products",-,"177,615,800",,-,"146,671,419",-,82.6,441,0,,
,"SP 2.3: Livestock exten-
sion service delivery","8,300,000",-,,"894,240",-,0.11,-,441,0,,
,"SP 2.4: Food safety and
livestock products devel-
opment","15,846,049",-,,-,-,-,-,441,0,,
,"SP 2.5: livestock diseases
management and control","17,235,366",-,,-,-,-,-,441,0,,
"Programme
3; Fisheries
development","SP 3.1: Aquaculture
development",-,-,,-,-,-,-,441,0,,
,"SP 3.2: development of
capture fisheries resources","2,000,000",-,,126.730,-,0.06,-,441,0,,
,"SP 3.3 Fish quality assur-
ance value addition and
marketing",-,-,,-,-,-,-,441,0,,
"Programme 4;
Crop devel-
opment and
management","SP 4.1 Agriculture exten-
sion research and training",-,"3,000,000",,-,-,-,-,441,0,,
,"SP 4.2 crop production
and food security","4,250,000","876,638,259",,-,-,-,-,441,0,,
,"SP 4.3 Farmland utili-
zation, conservation and
mechanization",-,-,,-,-,-,-,441,0,,
,"SP 4.4 Agribusiness de-
velopment and marketing","2,026,226","1,000,000",,"618,020","1,000,000",0.31,100,441,0,,
,SP 4.5 Agri-Nutrition,-,-,,-,-,-,-,441,0,,
,Sub Total,"479,064,564","1,241,351,739",,"178,292,251","156,671,419",0.37,12.6,441,0,,
NAIVASHA MUNICIPALITY,,,,,,,,,441,0,,
"Programme
1; Adminis-
tration and
planning
and support
services","SP 1.1 Administration and
Planning","19,924,400",-,"1,623,896",,-,8,-,441,0,,
,SP 1.2; personnel services,"11,042,628",-,"2,528,870",,-,2.3,-,441,0,,
,SP 1.3 financial services,-,-,-,,-,-,-,441,0,,
"Programme
2; Naivasha
municipal
services","SP 2.1 planning and
infrastructure",-,"142,670,841",-,,"100,812,392",-,70.7,441,0,,
,"SP 2.2 environmental
management and sanitation",-,-,-,,-,-,-,441,0,,
,"SP 2.3 Naivasha Social
Services","1,000,000",-,-,,-,-,-,441,0,,
,"SP 2.4 tourism investment
and trade","1,000,000",-,-,,-,-,-,441,0,,
,Sub-Total,"32,967,028","142,670,841","4,152,766",,"100,812,392",13,73.3,441,0,,
,,Recurrent,Development,,Recurrent,,Rec,,442,0,"Develop-
ment",Dev
"PUBLIC SERVICE, DEVOLUTION, CITIZEN ENGAGEMENT, DISASTER MANAGEMENT & HUMANITARIAN ASSISTANCE",,,,,,,,,442,0,,
"Programme 1:
Administra-
tion, planning
and support
service","SP 1.1 administration
service","51,535,552",-,"8,031,285",,-,15.6,,442,0,,-
