Program,Sub Programme,Description,"Approved Budget
(Kshs.)","Actual Expenditures
as of 31st December
2023 (Kshs)",Absorption (%),page_number,table_index
,103003260,"Infrastructure Development
programme",-,-,-,536,1
,101003260,"Administration Planning and
Support Services",-,-,-,536,1
,701003260,"General Administration support
services",-,-,-,536,1
3261000100,County Assembly Headquarters,,"870,860,457.00","331,315,424.00",38,536,1
,702003260,"County Assembly Infrastruc-
ture improvement","90,000,000.00","15,499,965",17,536,1
,701003260,"General Administration support
services","780,860,456.97","315,815,459.00",40,536,1
3262000100,Headquarters,,"3,053,733,238.00","1,347,985,344.00",44,537,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,537,0
,701003260,"General Administration support
services","3,053,733,238.00","1,347,985,344.00",44,537,0
,3260,,-,-,-,537,0
,705003260,"Leadership Development
Programme",-,-,-,537,0
,704003260,"General Administration and
Management of County Affairs",-,-,-,537,0
3262000200,,"Taveta Sub County Admin-
istration","1,267,900.00","62,500.00",5,537,0
,705003260,"Leadership Development
Programme",-,-,-,537,0
,701003260,"General Administration support
services","1,267,900.00","62,500.00",5,537,0
3262000300,,"Wundanyi Sub County Ad-
ministration","1,000,000.00","75,000.00",8,537,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,537,0
,701003260,"General Administration support
services","1,000,000.00","75,000.00",8,537,0
3262000400,,"Mwatate Sub County Admin-
istration","1,073,000.00","268,400.00",25,537,0
,701003260,"General Administration support
services","1,073,000.00","268,400.00",25,537,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,537,0
3262000500,,"Voi Sub County Adminis-
tration","1,306,000.00","233,000.00",18,537,0
,701003260,"General Administration support
services","1,306,000.00","233,000.00",18,537,0
3262000600,,Taveta Town Administration,-,-,-,537,0
,705003260,"Leadership Development
Programme",-,-,-,537,0
,701003260,"General Administration support
services",-,-,-,537,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,537,0
3262000700,,Voi Town Administration,2563979.347,-,-,537,0
,701003260,"General Administration support
services",2563979.347,-,-,537,0
,705003260,"Leadership Development
Programme",-,-,-,537,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,537,0
3262000800,,County Policing Authority,-,-,-,537,0
,701003260,"General Administration support
services",-,-,-,537,0
3262000900,,"Human Resource Manage-
ment","2,822,000.00","2,051,280.00",73,537,0
,701003260,"General Administration support
services","2,822,000.00","2,051,280.00",73,537,0
3262001000,,,"3,019,300.00","1,818,700.00",60,537,0
513,,,,,,537,0
,701003260,"General Administration support
services","3,019,300.00","1,818,700.00",60,538,0
3262001100,,,"1,410,000.00","250,000.00",18,538,0
,701003260,"General Administration support
services","1,410,000.00","250,000.00",18,538,0
3263000100,,Headquarters,"93,446,669.80","37,051,376.20",40,538,0
,704003260,"General Administration and
Management of County Affairs","83,446,669.80","37,051,376.20",44,538,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,538,0
,705003260,"Leadership Development
Programme","10,000,000.00",-,-,538,0
,701003260,"General Administration support
services",-,-,-,538,0
