Programme,Sub-Programme,"Approved Estimates FY
2023/24",col_3,"Actual Expenditure as of 31st
December 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Urban Renewal,"64,050,000","190,000,000","1,937,341",0,3.0,0.0,399,0
,"Land Administra-
tion and Valuation","15,566,175","2,000,000","372,000",0,2.4,0.0,399,0
,Physical Planning,"3,300,000","31,000,000",0,0,0.0,0.0,399,0
,Sub-Total,"266,423,444","559,576,556","53,421,511","5,057,885",20.1,0.9,399,0
"TRANSPORT, INFRASTRUCTURE & PUBLIC WORKS",,,,,,,,399,0
Programme 12,"General Adminis-
tration and Support
Services","718,675,000",0,"225,604,904",0,31.4,,399,0
,"Roads Infrastruc-
ture Development","18,400,000","245,000,000","177,800","21,009,666",1.0,8.6,399,0
,"Transportation
Management","8,200,000","12,000,000",0,0,0.0,0.0,399,0
,"County Public
Works","27,650,000","23,000,000","55,800",0,0.2,0.0,399,0
,"Mechanical and
Electrical Services","75,600,000","6,000,000",0,0,0.0,0.0,399,0
,"Safety, Risk and
Disaster Manage-
ment Services","67,475,000","75,000,000",0,0,0.0,0.0,399,0
,Sub-Total,"916,000,000","361,000,000","225,838,504","21,009,666",24.7,5.8,399,0
"BLUE ECONOMY, AGRICULTURE & LIVESTOCK",,,,,,,,399,0
Programme 13,"Administration
Unit-Headquarters","144,000,000","10,000,000","47,568,699",0,33.0,0.0,399,0
