Vote,Programme,Sub-Programme,"Approved
Estimates
FY 2023/24
(Kshs.)",Actual Expenditure (Kshs.),col_5,col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",422,0
"5311000000
county public
service board","0718005310
general
administrative
services","0701010 sp.1.1 gen-
eral administration
planning and support
services","127,315,242","10,000,000",-,-,-,-,422,0
,,"Total 5311000000
COUNTY PUBLIC
SERVICE BOARD","127,315,242","10,000,000",-,-,-,-,422,0
"5314000000
finance &
economic
planning","0701005310
public financial
management","0701015310 assets
management ser-
vices","217,500,000",,-,,-,#DIV/0!,422,0
,,"0701065310 sp1.6
Accounting Services","213,000,000","25,000,000","1,099,850,466",-,516.4,-,422,0
,,"0701105310 Sp10
Debt Management
Services","576,000,000","775,000,000","1,263,910",-,0.2,-,422,0
,,"0718085310 Sp8
Supply Chain Man-
agement","128,318,757",,-,,-,-,422,0
,"0718005310
general
administrative
services","0718015310 sp1
general adminis-
tration & support
services","975,044,718",,"1,652,000",,0.2,0,422,0
,"0731005310
P31: Eco-
nomic Policy,
Formulation
and Budget
Management","0731015310 Sp31:1
Economic Planning
Formulation and
Management","133,499,947",,"590,200",,0.4,-,422,0
,,"0731025310 Sp31:2
Budget Formulation
Coordination and
mgt","175,000,000",,-,,-,-,422,0
,,"Total 5314000000
FINANCE & ECO-
NOMIC PLAN-
NING","2,418,363,422","800,000,000","1,103,356,576",-,45.6,-,422,0
"5320000000
public service
management","0718005310
general
administrative
services","0718015310 sp1
general adminis-
tration & support
services","522,797,530",,-,,-,-,422,0
,"0729005310
p29:public
service trans-
formation","0729015310 sp 29.1
human resource
management","1,599,470,762",,-,,-,-,422,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",423,0
,,"0729025310 Sp 29.2
Human Resource
Development","87,172,507","30,000,000","448,280",,0.5,-,423,0
,,"Total 5320000000
PUBLIC SERVICE
MANAGEMENT","2,209,440,799","30,000,000","448,280",-,0.0,-,423,0
"5321000000
agriculture,
livestock
development,
fisheries &
forestry","0106005310
P.6 General
Administra-
tion Planning
and Support
Services","0106015310 Sp 6.1
Administration,
Planning & Support
Services","188,450,937","18,960,000",-,,-,-,423,0
,,,"2,551,000",,"410,937",,16.1,-,423,0
,,,"5,507,770",,"52,209,375",,947.9,-,423,0
,"0119005310
p.19 urban
agriculture
promotion &
regulation","0119015310 sp 19.1
crop development
and management","9,093,928","21,000,000",-,,-,-,423,0
,,"0119025310 Sp 19.2
Fisheries Develop-
ment and Manage-
ment","7,300,130","20,000,000",-,,-,-,423,0
,,"0119035310 Sp 19.3
Livestock Resources
Management and
Development","7,392,192","20,000,000",-,,-,-,423,0
,"0116005310
P.10:Animal
Health, Safety
and Quality
Assurance","0116015310 sp 10.1
Animal Research,
Diseases, Pest
Control & Quality
Assurance","8,171,991","20,000,000",-,,-,-,423,0
,"0117005310
p.11:aforesta-
tion","0117015310 sp 11.1
forestry services","58,000,000","10,000,000",-,,-,-,423,0
,"0118005310
P.18:Food
Systems and
Surveillance","0118015310
Sp.18.1: Food Sys-
tems and Surveil-
lance Services","7,441,114","14,000,000",-,,-,-,423,0
,,"Total 5321000000
AGRICULTURE,
LIVESTOCK
DEVELOPMENT,
FISHERIES &
FORESTRY","293,909,062","123,960,000","52,620,312",-,17.9,-,423,0
"5323000000
environment,
water, energy
& natural
resources","1001005310
p1 general
administration
& support
services","1001015310 sp1
general adminis-
tration & support
services","1,096,039,622",,-,,-,-,423,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",424,0
,"1002005310
P2 Environ-
ment Man-
agement and
Protection.","1002045310 sp 2.4
Beautification, Rec-
reation and Greening
Services","30,000,000",,-,,-,-,424,0
,,"1002035310 sp 2.3
Solid waste manage-
ment","1,100,000,000","206,040,000","12,720,600",-,1.2,-,424,0
,,"1002055310 sp 2.5
Environment Plan-
ning Management
Services","20,000,000",,-,,-,-,424,0
,,"1004055310 sp 4.5
Energy & Natural
resources","100,000,000","215,000,000","774,000",-,0.8,-,424,0
,"1004005310 p4
water resources
management",,"42,000,000",,-,,-,-,424,0
,,"Total 5323000000
ENVIRONMENT,
WATER, ENER-
GY & NATURAL
RESOURCES","2,388,039,622","421,040,000","13,494,600",-,0.6,-,424,0
"5325000000
ward de-
velopment
programmes","0214005310
p8:ward devel-
opment","0214015310 sp 8.1
ward development
& administration","92,375,466","1,955,000,000",-,-,-,-,424,0
,,"Total 5325000000
WARD DEVELOP-
MENT FUND","92,375,466","1,955,000,000",-,-,-,-,424,0
"R5326: emer-
gency fund","0718005310
general
administrative
services","0718015310 sp1
general adminis-
tration & support
services","200,000,000",-,-,,-,-,424,0
,,"5326000000 EMER-
GENCY FUND","200,000,000",-,-,-,-,-,424,0
"R5329
boroughs and
public adminis-
tration","0718005310
general
administrative
services","0718015310 sp1
general adminis-
tration & support
services","335,031,862","491,000,000","493,525,767",-,147.3,-,424,0
,,"0718105310 Sp10
Records Mgt Ser-
vices","11,511,004","20,000,000","105,853,037",,919.6,-,424,0
,,"0718015310 Sp1
General Adminis-
tration & Support
Services","5,348,942",,-,,-,-,424,0
,"0733005310
P33 Coor-
dination of
boroughs and
devolved units","0733015310 Sp33.1
Boroughs, Sub
County Administra-
tion & coordination
of devolve","1,124,914,947","400,000,000","19,543,096",-,1.7,-,424,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",425,0
,"0732005310
P32 Coordina-
tion of execu-
tive services","0718075310 Sp7
County Executive","289,589,837",,-,-,-,-,425,0
,,"0723015310 sp 23.1
Performance Con-
tracting management","12,984,171",,"65,873,368",,507.3,-,425,0
,,,"8,197,171",,"109,600",,1.3,-,425,0
,,"0732015310 Sp
32.1 Executive
Office Management
Services","166,906,726",,"161,800",,0.1,-,425,0
,,,"30,494,686",,"329,204",,1.1,-,425,0
,"0723005310
P 23 Perfor-
mance Man-
agement and
Public Service
Delivery","0732025310 Sp 32.2
Intergovernmental
Relation services","22,836,895",,-,,-,-,425,0
,,"0732035310 Sp 32.3
Donor Coordination
Services","87,564,522",,"201,442",,0.2,-,425,0
,"0724005310
P 24 Security
and Safety
Management","0724055310 Inspec-
torate","1,883,318,724","105,000,000",-,-,-,-,425,0
,,"0724015310 sp
24.1 investigative
Services","66,921,747",,-,-,-,-,425,0
,"0726005310
p.26 disaster
management &
coordination","0726035310 p.26.3
fire fighting and
rescue services","288,083,045","120,000,000",-,"198,995,725",-,165.8,425,0
,,"0726055310 P.25.5
Ambulance Services","4,805,989",,-,,-,-,425,0
,,"0726045310 P.26.4
Disaster Risk Re-
duction","2,093,913","45,000,000",-,-,-,-,425,0
,"0734005310
p34 internal
audit","0734015310 sp34.1
audit services","96,641,013","5,000,000",-,,-,-,425,0
,,"5329000000
BOROUGHS AND
PUBLIC ADMINIS-
TRATION","4,437,245,194","1,186,000,000","685,597,314","198,995,725",15.5,16.8,425,0
"R5330 office of
county attorney","0725005310
P 25 Manage-
ment of legal
affairs","0725015310 sp 25.1
legal services","252,622,287","15,000,000",-,"465,041,158",-,"3,100.3",425,0
,,"5330000000
COUNTY ATTOR-
NEY","252,622,287","15,000,000",-,"465,041,158",-,"3,100.3",425,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",426,0
"R5331 innova-
tion & digital
economy","0215005310
P15 General
Administra-
tion Planning
and Support
Services","0215015310 Sp1
General Administra-
tion, Planning And
Support Services","98,443,659",,-,,-,-,426,0
,"0217005310
P17 Digital
Economy and
Start-Ups","0217015310 SP17.1
Digital Economy","18,745,000",,-,,-,-,426,0
,,"0217025310 SP17.2
E-Learning","11,000,000",,-,,-,-,426,0
,,"0217035310 SP17.3
Start-ups","10,275,000",,-,,-,-,426,0
,"0218005310
p18 smart
nairobi","0218015310 sp18.1
smart nairobi","40,000,000","200,000,000",-,,-,-,426,0
,"0314005310
p14: ict
infrastructure
connectivity","0314015310 sp1
ict infrastructure
connectivity","6,715,000",,-,,-,-,426,0
,,"0314025310 Sp14.1
Information Security","43,585,000",,"1,910,800",,4.4,-,426,0
,,"5331000000 INNO-
VATION AND DIG-
ITAL ECONOMY","228,763,659","200,000,000","1,910,800",-,0.8,-,426,0
"R5332 health,
wellness and
nutrition","0405005310 p5
public health","0405015310 sp5.1
hiv/aids prevention
& control unit","1,000,000",,-,,-,-,426,0
,,"0405025310 Sp5.2
TB Control","900,000",,-,,-,-,426,0
,,"0405035310 Sp5.3
Malaria Control &
Other Communica-
ble Diseases","900,000",,-,,-,-,426,0
,,"0405045310 Sp5.4
Environmental /
Public Health","10,000,000",,-,,-,-,426,0
,,"0405055310 Sp5.5
Health Policy and
Regulation","10,000,000","45,000,000",-,,-,-,426,0
,,"0404105310 Sp 4.10
Coroner Services
Unit","15,000,000","69,000,000",-,,-,-,426,0
