Programme,Sub-Programme,"Approved Original Estimates
FY 2023/24 (Kshs.)",col_3,"Actual Expenditure Jul - Dec 23
(Kshs.)",col_5,Absorption Rate,col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",190,0
"County Coordination
Services","County Coordina-
tion Services","137,051,145",-,"60,213,075",-,44%,,190,0
,,"137,051,145",-,"60,213,075",-,44%,,190,0
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,,,190,0
"Administration,
Planning and Support
Services.","Administration
Services.","231,136,530","83,735,659","87,724,527","57,339,884",38%,68%,190,0
"Administration,
Planning and Support
Services.","Monitoring Budget
Implementation
and Reporting","28,687,985","6,379,644","7,486,680",-,26%,0%,190,0
"Public Finance Man-
agement","Budget Formula-
tion coordination
and management","8,400,000","553,360,903","1,973,600",-,23%,0%,190,0
Audit Services,County Audit,"4,975,639","3,000,000","1,158,200",-,23%,,190,0
,,"273,200,154","646,476,206","98,343,007","57,339,884",36%,9%,190,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,190,0
"Policy, Strategy
and Management of
Agriculture","Development of
Agricultural Policy,
Legal & Regulato-
ry framework.","53,301,163",-,"8,858,545","10,000,000",17%,,190,0
"Crop Development
and Management","Agriculture Exten-
sion Services","58,894,485","496,837,574","57,460,908",-,98%,0%,190,0
"Livestock Resource
Management and
Development","Livestock Disease
Management and
Control.","2,024,041","21,184,205","554,100",-,27%,0%,190,0
"Livestock Resource
Management and
Development","Livestock Produc-
tion and Extension
Services","51,654,981",-,"381,050",-,1%,,190,0
"Fisheries develop-
ment","Management and
Development of
Capture Fisheries","6,905,001","500,000","324,500",-,5%,0%,190,0
,,"172,779,671","518,521,779","67,579,102","10,000,000",39%,2%,190,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,,,190,0
"Environment policy
development and
coordination","Planning Coordi-
nation Policy and
Administrative
Services","144,072,462","63,145,000","60,487,245",-,42%,0%,190,0
"Water supply
services",Rural Water Supply,"14,365,228","218,860,274","1,337,500","13,899,863",9%,6%,190,0
,,"158,437,690","282,005,274","61,824,745","13,899,863",39%,5%,190,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",191,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,,,191,0
"General Adminis-
tration & Planning
Services.","Policy Develop-
ment and Adminis-
tration","549,596,382","10,000,000","160,944,293",,29%,,191,0
Basic Education,"Early Childhood
Development
Education","216,382,852","89,573,270","750,000","28,357,815",0%,32%,191,0
"Gender and Social
Development","Social Welfare
Services/Social
Infrastructure
Development","3,000,000","17,035,537","1,000,000",-,33%,0%,191,0
"Youth development
and empowerment
services","Youth Develop-
ment (YP) Training",-,"57,000,000",-,-,,0%,191,0
,,"768,979,234","173,608,807","162,694,293","28,357,815",21%,16%,191,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,191,0
Curative Health,"Administration and
Planning","1,581,600,049","142,141,193","719,001,777",-,45%,0%,191,0
Curative Health,"Hospital(curative)
Services",-,-,-,-,,,191,0
"Preventive and Pro-
motive Health","Preventive Medi-
cine and Promotive
Health","1,170,865,728","141,648,789","184,130,648",-,16%,0%,191,0
,,"2,752,465,777","283,789,982","903,132,425",-,33%,0%,191,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,,,191,0
"Administration and
support services","General Admin-
istration and
Planning","40,701,923","45,000,000","32,887,837","22,500,000",81%,50%,191,0
"Housing Develop-
ment and Human
Resource","Housing Develop-
ment","9,243,184",-,"715,800",-,8%,0%,191,0
"Land policy and
planning","Development
Planning and Land
Reforms","34,395,730","22,022,942","8,382,574",-,24%,0%,191,0
"Land policy and
planning",Land Use Planning,"6,152,443",-,"149,250",-,2%,,191,0
,,"90,493,280","67,022,942","42,135,462","22,500,000",47%,34%,191,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,,,191,0
"Transport Manage-
ment and Safety","General Admin-
istration Planning
and Support
Services","73,712,784",-,"44,140,266",-,60%,,191,0
"Infrastructure, Roads
and Transport","Rehabilitation of
Road","3,400,000","587,441,016","80,000","90,696,453",2%,15%,191,0
"Infrastructure, Roads
and Transport","Maintenance of
Roads and Bridges/
Periodic Mainte-
nance","21,206,317","3,000,000",-,-,0%,0%,191,0
,,"98,319,101","590,441,016","44,220,266","90,696,453",45%,15%,191,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",192,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,,,192,0
"Trade development
and investment","Fair Trade Practic-
es and Consumer
Protection (weight
& measures)","20,620,890","23,202,942","1,129,447",-,5%,0%,192,0
"Trade development
and investment","Administrative and
Support Services.","37,619,414","200,000,000","19,773,808",-,53%,0%,192,0
"Cooperative develop-
ment and manage-
ment","Cooperative Advi-
sory & Extension
Services.",-,-,-,-,0%,0%,192,0
"Tourism develop-
ment and marketing","Local Tourism
Development.","5,882,961","5,000,000","215,400",-,,0%,192,0
,,"64,123,265","228,202,942","21,118,655",-,33%,0%,192,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,,,192,0
"Information & Com-
munication Service","News and Informa-
tion Services","53,836,604",-,"20,370,790",-,38%,0%,192,0
"Information & Com-
munication Service","ICT and BPO de-
velopment services",-,"40,262,387",-,-,0%,0%,192,0
"Youth development
and empowerment
services","Youth Develop-
ment (YP) Training",-,"3,400,000",-,,0%,0%,192,0
,,"53,836,604","43,662,387","20,370,790",-,38%,0%,192,0
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,,,192,0
"Administration of
Human Resources
and Public Service","Establishment,
Appointment, Dis-
cipline and Board
Management.","71,312,544",-,"27,222,382",-,38%,,192,0
,,"71,312,544",-,"27,222,382",-,38%,,192,0
DEPARTMENT: PUBLIC SERVICE MANAGEMENT,,,,,,,,192,0
"Administration of
Human Resources
and Public Service","General Adminis-
tration, Planning
and Support
Services","294,637,612","28,241,257","161,996,494",-,55%,0%,192,0
"Administration of
Human Resources
and Public Service","Human Resource
Development","147,232,645",-,"16,138,330",-,11%,,192,0
,,"441,870,257","28,241,257","178,134,824",-,40%,0%,192,0
"County Executive
Grand Total",,"5,082,868,722","2,861,972,592","1,686,989,026","222,794,015",33%,8%,192,0
Speaker’s office,Speaker’s office,"497,868,056",-,"261,160,298",-,16,-,192,0
Clerk’s Office,Clerk’s Office,"375,643,063","77,992,439","227,959,199",-,27,-,192,0
"County Assembly
Service Board","County Assembly
Service Board","9,287,636",-,"2,976,932",-,13,-,192,0
Total Expenditure,Total Expenditure,"882,798,755","77,992,439","492,096,429",-,56%,0%,192,0
GRAND TOTAL,,"5,965,667,477","2,939,965,031","2,179,085,455","222,794,015",36.5%,7.6%,192,0
