Programme,Sub-Programme,"Approved Esti-
mates FY 2023/24
(Kshs)","Actual Expendi-
ture Half Year,
FY 2023/24
(Kshs.)","Variance
(Kshs)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,590,0
Office of the Governor,,,,,,590,0
"General Administration,
Planning and Support
Service","General Administration and Support
services","100,614,869","42,541,029","58,073,840",42.3,590,0
Donor /Investor Engagement,"Public-Private Partnership Initiatives
(PPPs)","1,011,042","750,000","261,042",74.2,590,0
,"Political and Intergovernmental Advi-
sory Services","2,054,117","2,000,000","54,117",97.4,590,0
,Legal Advisory Services,"1,411,043","650,000","761,043",46.1,590,0
,"Security and cross-border Advisory
Services","1,971,248","675,000","1,296,248",34.2,590,0
,Oil and Gas Advisory Service,"1,411,042","675,000","736,042",47.8,590,0
,"Gender and Partnership Advisory
Services","1,411,042","450,000","961,042",31.9,590,0
,Special Interest groups,"1,011,042","650,000","361,042",64.3,590,0
,Climate Change advisory services,"1,011,042","650,000","361,042",64.3,590,0
,"Education and youth Advisory
services","1,011,042","750,000","261,042",74.2,590,0
,"Culture, Arts and Heritage advisory
services","1,411,042","650,000","761,042",46.1,590,0
Security and Peace Building,"County Peace Building and Conflict
Management","12,015,895","2,732,500","9,283,395",22.7,590,0
,"Internal Peace Building and Conflict
Management","22,183,191","9,500,000","12,683,191",42.8,590,0
,"Resettlement Infrastructural Pro-
gramme","92,669,450","3,550,000","89,119,450",3.8,590,0
,"Cross Border Peace Dividends Pro-
gramme","45,290,681","19,500,000","25,790,681",43.1,590,0
"Public Participation and
Access to Information","Construction of Citizen Resource
Centre","4,038,679","1,910,000","2,128,679",47.3,590,0
,Web site Development,"6,780,245","1,750,000","5,030,245",25.8,590,0
,"Social Budgeting and Generation of
SIR Reports","2,018,886",-,"2,018,886",-,590,0
,Intergovernmental Relation,"15,606,600","7,689,000","7,917,600",49.3,590,0
,"Strategy Development, Review, Sup-
port and Operationalization","1,577,044",-,"1,577,044",-,590,0
"Service Delivery- ISO
Certification",Service Charter,"4,021,349","1,234,768","2,786,581",30.7,590,0
,"Development of County Filing
Systems","4,339,073",-,"4,339,073",-,590,0
,Procedure Manual and Training,"11,979,699","5,648,907","6,330,792",47.2,590,0
,,A,B,C=A-B,D=B/A*100,591,0
Governors Press Service,Governors Press Support,"7,988,296",-,"7,988,296",-,591,0
,Subtotal,"344,837,659","103,956,204","240,881,455",30.1,591,0
Office of the Deputy Governor,,,,,,591,0
"General Planning and
Support",General Planning and Support services,"23,222,687","5,578,586","17,644,101",24,591,0
Government Programming,Government Programming,"2,300,000",-,"2,300,000",-,591,0
,Community Engagement,"1,900,568",-,"1,900,568",-,591,0
,Government Stakeholder Engagement,"1,800,000",-,"1,800,000",-,591,0
,Government Transformation,"1,600,090",-,"1,600,090",-,591,0
,Subtotal,"30,823,345","5,578,586","25,244,759",18.1,591,0
Finance and Economic Planning,,,,,,591,0
"General Administration,
Planning and Support
Service",General Administration Services,"1,841,929,532","638,231,610","1,203,697,922",34.7,591,0
,"General Administration - Economic
planning","192,619,288",-,"192,619,288",-,591,0
"Government Communication
and Media Relations","Acquiring and development of com-
munication systems/equipment","2,500,000",-,"2,500,000",-,591,0
,Policies,"15,200,000",-,"15,200,000",-,591,0
,"Development and Implementation of
ICT Policy and Regulations","2,490,000",-,"2,490,000",-,591,0
Revenue Collection Systems,"Awareness and Campaigns on Rev-
enue.","7,850,836","2,800,000","5,050,836",35.7,591,0
,"Revenue Forecast and Revenue Bud-
get Preparation","6,080,564","3,775,000","2,305,564",62.1,591,0
,Revenue Governance,"3,975,600",-,"3,975,600",-,591,0
,Revenue Infrastructure,"43,000,000",-,"43,000,000",-,591,0
,Revenue Automation,"11,100,000","6,514,100","4,585,900",58.7,591,0
"Accountability and Trans-
parency",Internal Audit,"4,100,000","3,497,800","602,200",85.3,591,0
,Consultancy Services,"2,015,600","861,000","1,154,600",42.7,591,0
,"Financial Reporting/Research and
Development","3,800,000",-,"3,800,000",-,591,0
,Emergency Fund,"147,388,667","147,388,667",-,100,591,0
,"Tax Management and Statutory
Deduction","2,000,000","875,000","1,125,000",43.8,591,0
"Social and Policy Formu-
lation","Assurance and Insurance of Govern-
ment","3,150,000","1,907,000","1,243,000",60.5,591,0
,Liability and Debt Management,"2,700,000","750,000","1,950,000",27.8,591,0
,Turkana Sacco Seed Capital,"3,800,000","737,000","3,063,000",19.4,591,0
"Planning and Policy formu-
lation","Economic Policy Formulation and
Dissemination","4,000,000",-,"4,000,000",-,591,0
,CIDP review and Dissemination,"1,546,736",-,"1,546,736",-,591,0
,"County Budget and Economic Forums
and Budget Preparation","59,138,777",-,"59,138,777",-,591,0
,"Public Participation and Access to
Information","3,500,000",-,"3,500,000",-,591,0
,Waste Management,"10,500,000","2,219,000","8,281,000",21.1,591,0
,,A,B,C=A-B,D=B/A*100,592,0
Monitoring and Evaluation,Asset Management,"6,900,000","748,000","6,152,000",10.8,592,0
,"Field visits, data collection and
Reporting","2,500,000","1,184,500","1,315,500",47.4,592,0
,Training and Knowledge management,"3,900,000","842,400","3,057,600",21.6,592,0
,"Devolved Monitoring and Evaluation
Committees","2,500,000","1,000,000","1,500,000",40,592,0
County Statistical Unit,"Soft wares, databases and tools","6,175,000",-,"6,175,000",-,592,0
,Capacity Development,"3,026,422",-,"3,026,422",-,592,0
,"Project Management Information
System","1,000,000",-,"1,000,000",-,592,0
Budgetary Supply,"Budget Formulation, Co-ordination
and Management","40,992,000","5,120,800","35,871,200",12.5,592,0
,Public Participation in Budgeting,"18,092,000","1,586,000","16,506,000",8.8,592,0
,County Budget and Economic Forum,"8,300,000","1,418,000","6,882,000",17.1,592,0
,Accountability in Resource Allocation,"7,600,000","1,550,600","6,049,400",20.4,592,0
Resource Mobilisation,Resource Mobilisation,"5,017,378","728,700","4,288,678",14.5,592,0
,Subtotal,"2,480,388,400","823,735,177","1,656,653,223",33.2,592,0
"Water Services, Environment and Mineral Resources",,,,,,592,0
Turkana Water Programme,"General Administration, Planning and
support services","304,317,437","20,633,312","283,684,125",6.8,592,0
"Joint planning with stake-
holders",Technical planning and design,"109,177,290",-,"109,177,290",-,592,0
"Irrigation and Schemes
Development Programme","Feasibility studies for irrigation sys-
tems development","33,300,000",-,"33,300,000",-,592,0
"General Administration and
Support",General Administration and Support,"88,220,000",-,"88,220,000",-,592,0
,Subtotal,"535,014,727","20,633,312","514,381,415",3.9,592,0
Health & Sanitation Services,,,,,,592,0
"General Administration,
Planning and support
services","General Administration, Planning and
support services","545,408,697",-,"545,408,697",-,592,0
Support to Health Programs,Health Facilities,"83,013,324",-,"83,013,324",-,592,0
,"HIV and AIDS including communi-
ty-based HIV interventions","500,000",-,"500,000",-,592,0
,TB and Leprosy,"500,000",-,"500,000",-,592,0
,Malaria,"300,000",-,"300,000",-,592,0
,NTDs (neglected tropical diseases),"600,000",-,"600,000",-,592,0
,Nutrition,"600,000","44,100","555,900",7.4,592,0
,Reproductive health,"1,000,000",-,"1,000,000",-,592,0
,Disease surveillance,"400,000",-,"400,000",-,592,0
,EPI/outreaches,"500,000",-,"500,000",-,592,0
,Health promotion,"81,000,000","24,400,000","56,600,000",30.1,592,0
,Environmental health services,"600,000",-,"600,000",-,592,0
,"Emergency preparedness and disaster
response","600,000",-,"600,000",-,592,0
,Mainstreaming,"350,000",-,"350,000",-,592,0
,Community Health Services,"31,000,000",-,"31,000,000",-,592,0
,,A,B,C=A-B,D=B/A*100,593,0
Laboratory Services,Laboratory Services,"700,000","250,000","450,000",35.7,593,0
,Blood Transfusion Services,"1,400,000","136,000","1,264,000",9.7,593,0
,Rehabilitative Services,"500,000",-,"500,000",-,593,0
,Referrals and Emergency Services,"24,000,000","200,000","23,800,000",0.8,593,0
,Radiology Services,"500,000","150,000","350,000",30,593,0
,Dental Services,"500,000","150,000","350,000",30,593,0
,Clinical Services,"472,500",-,"472,500",-,593,0
,Nursing Services,"400,000",-,"400,000",-,593,0
,Rural Health Facility Support,"42,417,019",-,"42,417,019",-,593,0
,Sub County Health Facilities Support,"20,000,000","1,654,940","18,345,060",8.3,593,0
,Turkana Level 6 Hospital,"119,700,000","116,104,800","3,595,200",97,593,0
,Medical Supplies,"216,000,000","5,633,467","210,366,533",2.6,593,0
,UHC Turkana,"94,750,000","38,854,800","55,895,200",41,593,0
"Health Information and
Management",Health Information & Management,"628,000",-,"628,000",-,593,0
,Quality Assurance,"448,000",-,"448,000",-,593,0
,Electronic Medical Records,"4,400,000",-,"4,400,000",-,593,0
,Monitoring & Evaluation Health,"950,000",-,"950,000",-,593,0
,Research & Development,"200,000",-,"200,000",-,593,0
,Policy & Planning Services,-,-,-,-,593,0
,Rehabilitation & Treatment,"1,700,000",-,"1,700,000",-,593,0
,Public Education & Awareness,"800,000",-,"800,000",-,593,0
,Liquor Licensing,"11,215,000",-,"11,215,000",-,593,0
,Training & Capacity Building,"600,000",-,"600,000",-,593,0
,Subtotal,"1,288,652,540","187,578,107","1,101,074,433",14.6,593,0
"Trade, Gender and Youth Affairs",,,,,,593,0
Youth Affairs Development,"Youth Coordination and Represen-
tation","5,700,000",-,"5,700,000",-,593,0
,Youth Employment Scheme,"3,895,000",-,"3,895,000",-,593,0
,Youth Rare skills,"4,105,000",-,"4,105,000",-,593,0
,Youth and Women Fund,"50,000,000","50,000,000",-,100,593,0
"Modern Physical Markets
Infrastructure","Construction & Development of Mod-
ern Physical Market","8,172,570",-,"8,172,570",-,593,0
,"Co-operative Marketing, Value Addi-
tion, Surveys & Research","5,300,000",-,"5,300,000",-,593,0
,"Co-operative Education, Training,
Exchange and Ushirika Day Celeb","6,550,000",-,"6,550,000",-,593,0
,"Strengthening of Key Dormant Co-op-
erative Societies","2,050,000",-,"2,050,000",-,593,0
,"Formulation of Cooperative Policy
and Legal Framework","2,800,000",-,"2,800,000",-,593,0
,Cooperative Development Fund,"11,000,000",-,"11,000,000",-,593,0
"Cooperative Societies De-
velopment & Performance
Improvement","Business Development and Training
Services","3,050,000",-,"3,050,000",-,593,0
,Consumer rights education,"1,250,000",-,"1,250,000",-,593,0
