Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st
December 2023",col_5,"Absorption
Rate (% )",col_7,page_number,table_index
"Vocational Training and
Skills Development","Vocational Training
Services",-,"33,868,087",-,"4,873,436",-,14.4,608,0
"Community Development
Services","Ward Development
Services",-,"96,250,000",-,-,-,0.0,608,0
,Sub-Total,"663,013,966","152,118,087","212,611,758","10,424,696",32.1,6.9,608,0
County Public Service Board,,,,,,,,608,0
"General Administration,
Planning and Support
Services","Administrative support
services","64,789,376",-,"49,858,955",-,77.0,-,608,0
,Sub-Total,"64,789,376",-,"49,858,955",-,77.0,-,608,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Re-
cur-
rent
Ex-
pen-
di-
ture","De-
velop-
ment
Expen-
diture",609,0
Governor’s Office,,,,,,,,609,0
County Assembly,,,,,,,,609,0
"General Administration,
Planning and Support
Services","General Administra-
tion, Planning and
Support Services","796,524,510","50,000,000","408,841,661","27,193,959",51.3,54.4,609,0
,Sub-Total,"796,524,510","50,000,000","408,841,661","27,193,959",51.3,54.4,609,0
Economic Planning,,,,,,,,609,0
County Planning Services,Budget services,"77,081,187",-,"34,937,397",-,45.3,-,609,0
,Planning Services,"26,860,330",-,"23,425,970",-,87.2,-,609,0
,Sub-Total,"103,941,517",-,"58,363,367",-,56.2,-,609,0
Administration and Devolution,,,,,,,,609,0
"General Administration,
Planning and Support
Services","Administrative support
services","118,402,734",-,"61,367,586",-,51.8,-,609,0
"Public Service Manage-
ment","Service Delivery
Centers",-,"81,539,110",-,"67,586,870",-,82.9,609,0
,Sub-Total,"118,402,734","81,539,110","61,367,586","67,586,870",51.8,82.9,609,0
Youth and Sports Development,,,,,,,,609,0
"Youth Empowerment and
Development",Youth Development,"87,073,876",-,"45,543,348",-,52.3,-,609,0
"Community Development
Services","Ward Development
Services",-,"96,500,000",-,"14,337,709",-,14.9,609,0
Sports Development,Sports Activities,"19,151,673",-,"5,640,480",-,29.5,-,609,0
