Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,col_8,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",,554,1
Office of the Governor,,,,,,,,,554,1
Executive Services,"County leadership
& and coordina-
tion of CDAs","41,500,000",-,"18,374,198",-,44,,,554,1
,"County Govern-
ment Advisory
Service","51,000,000",-,"17,836,606",-,35,,,554,1
,"Coordination
of peace and
cohesion","17,373,562",-,"15,149,715",-,87,,,554,1
,Sub Total,"109,873,562",-,"51,360,520",-,,,,554,1
"General Adminis-
tration, Planning
and support
services","General Adminis-
tration, Planning
and support
services","326,768,101",-,"192,762,944",-,59,,,554,1
,Sub Total,"326,768,101",-,"192,762,944",-,,,,554,1
,Grand Total,"436,641,663",-,"244,123,464",,56,,,554,1
Finance and Economic planning,,,,,,,,,554,1
"Public Finance
Management","PFM Enhance-
ment","5,789,349",,"2,059,000",-,36,,,554,1
,"Economic
planning and
Budgeting","33,625,694",,"13,602,916",-,40,,,554,1
,"Monitoring and
Evaluation","17,980,523",,"6,739,200",-,37,,,554,1
,"Supply chain man-
agement services","20,700,000",,"7,754,642",-,37,,,554,1
,"Own Source reve-
nue collection","21,620,000",,"4,772,728",-,22,,,554,1
,"Accounting &
Finance","25,200,000",,"8,925,426",-,35,,,554,1
,Internal Audit,"12,782,110",,"2,847,250",-,22,,,554,1
,,,,,,,,530,554,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",,555,0
,"General Adminis-
tration","325,022,527",,"228,998,399",,70,,,555,0
,Development,,"645,954,219",,"328,601,951",,50.9,,555,0
,Sub Total,"462,720,203",-,"275,699,560",-,60,,,555,0
,Grand Total,"462,720,203","645,954,219","275,699,560","328,601,951",60,51,,555,0
County Public Service Board,,,,,,,,,555,0
