Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",151,1
County Assembly,,,,,,,,151,1
"Legislative
service",Legislative service,"539,252,680",0,"173,120,972",0,32.1,∞,151,1
"Infrastruc-
ture support",Infrastructure support,0,"40,000,000",0,-,∞,0.0,151,1
,Sub-Total,"539,252,680","40,000,000","173,120,972",0,32.1,0.0,151,1
County Executive Sector,,,,,,,,151,1
"County
Governance
and Coor-
dination
Affairs",County Governance,"91,632,605",,"41,771,746",,45.6,∞,151,1
,"General Adminis-
tration Planning &
Support Services","141,668,054",,"80,991,607",,57.2,∞,151,1
,Sub-Total,"233,300,659",0,"122,763,353",,52.6,∞,151,1
"Human Re-
sources Mgt
& Deploy-
ment","General Adminis-
tration Planning &
Support Services","31,647,996",,"15,823,997",,50.0,∞,151,1
,"Human Resource Plan-
ning & Development","9,800,000",,"4,895,700",,50.0,∞,151,1
,"Board Operation &
Management","13,439,000",,"5,711,500",,42.5,∞,151,1
,"Board Operation &
Management","1,000,000",,"461,600",,46.2,∞,151,1
,Sub-Total,"55,886,996",,"26,892,797",,48.1,∞,151,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",152,0
"Prudent use
of Financial
Resources","General Adminis-
tration Planning &
Support Services","11,031,840",,"5,181,919",,47.0,∞,152,0
,"Efficiency Monitor-
ing & Community
Engagement","2,125,034",,"1,212,900",,57.1,∞,152,0
,Sub-Total,"13,156,874",,"6,394,819",,48.6,∞,152,0
"Legal &
Legislative
Services",Legal Services,"29,775,000",,"10,000,000",,33.6,∞,152,0
,Legislative Services,"11,597,000",,"1,898,080",,16.4,∞,152,0
,Sub Total,"41,372,000",,"11,898,080",,28.8,∞,152,0
"Manage-
ment of
County
Affairs",Personnel Services,0,0,0,-,,∞,152,0
,"Partnerships Inter-
governmental& NGO
Coordination","5,153,500",,"1,655,500",,32.1,∞,152,0
,Sub-Total,"5,153,500",0,"1,655,500",,32.1,∞,152,0
,Total,"348,870,029",0,"169,604,549",-,48.6,∞,152,0
