Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",630,1
Department: County Executive (Office of the Governor),,,,,,,,630,1
"Coordination
and Supervisory
Services","Coordination and Super-
visory Services","586,103,162",-,"179,952,749",-,30.7,-,630,1
,Sub Total,"586,103,162",-,"179,952,749",-,30.7,-,630,1
"Department: Finance and Economic
Planning",,,,,,-,-,630,1
"Public Finance
Management","Budget management
services","11,000,600",-,"4,303,679",-,39.1,-,630,1
,"County Accounting
Services","538,921,438",-,"404,898,979",-,75.1,-,630,1
,"County Revenue
Collection and Resource
Mobilization","21,031,600",-,"3,593,704",-,17.1,-,630,1
,"Internal Audit Manage-
ment Services","6,950,000",-,"1,257,400",-,18.1,-,630,1
,"County Supply Chain
Management","31,362,800",-,"19,192,094",-,61.2,-,630,1
,"Financial Reporting
Services","4,600,000",-,"798,600",-,17.4,-,630,1
"Economic Plan-
ning Services","County Integrated De-
velopment Planning","24,243,688",-,"4,915,967",-,20.3,-,630,1
,Sub-Total,"638,110,126",-,"438,960,424",-,68.8,-,630,1
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",631,0
"Department: Agriculture, Livestock and Veterinary Services",,,,,,,,631,0
"Livestock
management
Services","Livestock Production
Services","17,690,200","13,000,000","2,876,680",-,16.3,-,631,0
,Veterinary Services,"16,028,000","45,007,800","4,207,120","1,975,576",26.2,4.4,631,0
"General
Administration
and Support
Services","General Administration
and Support Services","184,449,841",-,"26,826,596",-,14.5,-,631,0
"Food Production
Services","Food Production
Services","22,445,900","631,522,737","5,693,310","282,378,775",25.4,44.7,631,0
"Irrigation
Management
Services","Irrigation Management
Services","4,552,800","10,000,000","354,500",-,7.8,-,631,0
"Alternative
Livelihood
management","Alternative Livelihood
management","4,499,600",-,"562,000",-,12.5,-,631,0
,Sub-Total,"249,666,341","699,530,537","40,520,206","284,354,351",16.2,40.6,631,0
Department: Health Services,,,,,,,,631,0
"Curative,
Rehabilitative
and Emergency
Services","Curative and rehabilita-
tive services","870,634,463","352,280,825","312,481,513","172,374,801",35.9,48.9,631,0
,"Emergency Referral
Services","43,091,872",,"21,595,727",,50.1,-,631,0
"General
Administration
and Support
Services","General Administration
and Support Services","1,742,581,412","30,000,000","831,739,697","101,086",47.7,0.3,631,0
Public Health,"Reproductive Maternal
Neonatal Child Health","67,606,650","111,630,800","3,756,000",,5.6,-,631,0
,Sanitation services,"22,820,320",-,"4,320,425",,18.9,-,631,0
,Special Programme,"7,000,000",-,"1,761,639",,25.2,-,631,0
,Health Research,"3,800,000",-,"225,000",,5.9,-,631,0
,Sub-Total,"2,757,534,717","493,911,625","1,175,880,001","172,475,887",42.6,34.9,631,0
"Department: Roads, Transport, Public Works and Housing",,,,,,,,631,0
"County Roads
and Transport
management","maintenance and Reha-
bilitation of county roads","140,616,380","204,110,872","52,596,327","53,380,013",37.4,26.2,631,0
,"county Transport
Services","99,880,000",-,"3,826,430",,3.8,-,631,0
"Public Work
Services",Public Work Services,"6,900,000","228,748,517","2,892,109","77,479,031",41.9,33.9,631,0
,Total,"247,396,380","432,859,389","59,314,866","130,859,044",24.0,30.2,631,0
Department: Water Services,,,,,,,,631,0
Water Services,"Water Supplies Overhaul
and Maintenance
Services","162,872,205","123,446,000","28,610,193","9,992,985",17.6,8.1,631,0
,"Infrastructure develop-
ment services","9,215,800","185,700,000","10,506,184","109,867,226",114.0,59.2,631,0
,Total,"172,088,005","309,146,000","39,116,377","119,860,211",22.7,38.8,631,0
"Department: Energy, Environment and Climate Change",,,,,,,,631,0
"Energy develop-
ment services","Energy development
services","4,537,600","162,934,500","1,549,589",,34.1,-,631,0
"Environmental
Conservation
Services","Environmental Conser-
vation Services","14,776,582","200,000,000","1,740,992",,11.8,-,631,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",632,0
"Natural
Resource Man-
agement","Natural Resource Man-
agement","1,683,200","5,000,000","294,600",,17.5,-,632,0
"General
Administration
and Support
Services","General Administration
and Support Services","72,259,620",-,"11,605,519",,16.1,-,632,0
,Total,"93,257,002","367,934,500","15,190,700",-,16.3,-,632,0
"Department: Public Service, Special Programs and County Administration",,,,,,,,632,0
"Human
Resources Man-
agement and
decentralised
services","Human Resources
Management and decen-
tralised services","867,180,099",-,"355,756,495",,41.0,-,632,0
"Service
Delivery and
Performance
Management","Service Delivery and
Performance Manage-
ment","7,010,000",-,"1,062,740",,15.2,-,632,0
,Governance and Ethics,"4,796,400",-,"378,000",,7.9,-,632,0
,Efficiency Monitoring,"7,936,000",-,"1,598,980",,20.1,-,632,0
"Decentralised
unit and Town
admin","Decentralised unit and
Town admin","23,513,600","18,300,000","2,462,424",,10.5,-,632,0
"Special Pro-
grams","Disaster Management
& Humanitarian Coor-
dination","111,773,000",-,"3,240,400",,2.9,-,632,0
,"Conflict, Prevention,
Management and Res-
olution","48,128,230",-,"1,216,050",,2.5,-,632,0
,"Intergovernmental
Relations","7,444,000",-,"1,141,100",,15.3,-,632,0
,"Public Participation
Services","4,860,000",-,"680,000",,14.0,-,632,0
,Total,"1,082,641,329","18,300,000","367,536,189",-,33.9,-,632,0
"Education, Social Welfare and Family Affairs",,,,,,,,632,0
"Sports pro-
motion and
development","Sports promotion and
development","5,675,000","9,200,000","618,000",,10.9,-,632,0
"Early Childhood
Education
Development
Services","Early Childhood
Education Development
Services","120,460,200","119,650,000","5,101,240",,4.2,-,632,0
"Culture and
Social Services","Promotion of Culture
and Social Service","58,982,482",,"1,404,100",,2.4,-,632,0
Gender services,"Promotion of Gender
services","77,190,456","10,000,000","43,265,676",,56.1,-,632,0
"Vocational
Training Ser-
vices","Infrastructural devel-
opment","13,828,000","11,884,900","635,100","5,881,898",4.6,49.5,632,0
"General
administra-
tion, Planning
and Support
Services","Planning and Support
Services","488,254,117",-,"179,629,285",,36.8,-,632,0
,Sub Total,"764,390,255","150,734,900","230,653,401","5,881,898",30.2,3.9,632,0
"ICT, Trade, Industrialization, Co-operative Development",,,,,,,,632,0
Trade Services,"Business Support &
Investment Services","3,660,000","191,000,000","1,037,900",,28.4,-,632,0
"Co-operatives
Services","Capacity Building
Services","4,000,000","4,000,000","561,200",,14.0,-,632,0
