Program,Sub Program,Description,Approved Estimates,col_4,"Actual Expenditure as of 31st
December, 2023",col_6,Absorption Rate (%),col_8,page_number,table_index
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",245,1
5088-Kisumu - Public Service County Administration and Participatory Development,,,,,,,,,245,1
206005088,,,"27,420,000.00",0,"9,195,904.00",0,33.5,,245,1
,206055060,"Resource Mobili-
zation","27,420,000.00",0,"9,195,904.00",0,33.5,,245,1
515005088,,,"20,220,000.00",0,"8,452,222.00",0,41.8,,245,1
,515015060,"Primary Policy
and Legislation","20,220,000.00",0,"8,452,222.00",0,41.8,,245,1
701005088,,,"52,270,000.00","28,500,000.00","14,592,647.00",0,27.9,0.0,245,1
,701025060,"Development and
Management of
County Adminis-
trative systems","52,270,000.00","28,500,000.00","14,592,647.00",0,27.9,0.0,245,1
702005088,,,"26,000,800.00",0,"6,907,395.00",0,26.6,,245,1
,702025060,"Inter-Government
Coordination and
protocol","10,800,800.00",0,"1,402,155.00",0,13.0,,245,1
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",246,0
,702015060,"Emergency,
Relief, Disaster
Management and
Control","15,200,000.00",0,"5,505,240.00",0,36.2,,246,0
703005088,,,"22,500,000.00",0,"5,060,608.00",0,22.5,,246,0
,703015060,"Governors Press
Service and
Communication","22,500,000.00",0,"5,060,608.00",0,22.5,,246,0
704005088,,,"828,913,314.00","30,000,000.00","251,646,626.35",0,30.4,0.0,246,0
,704025060,"Human Resource
Recruitment and
Development","251,326,788.00",0,"86,381,985.50",0,34.4,,246,0
,704015060,"General Admin-
istration and
Support services","577,586,526.00","30,000,000.00","165,264,640.85",0,28.6,0.0,246,0
706005088,,,"9,854,000.00",0,"1,782,500.00",0,18.1,,246,0
,706025060,"Monitoring &
Evaluation","9,854,000.00",0,"1,782,500.00",0,18.1,,246,0
709005088,,,"3,300,000.00",0,"500,000.00",0,15.2,,246,0
,709025060,"Public participa-
tion services","3,300,000.00",0,"500,000.00",0,15.2,,246,0
711005088,,,"12,530,000.00",0,"2,454,425.00",0,19.6,,246,0
,711005060,"County Planning
and Development
Coordination
Services","12,530,000.00",0,"2,454,425.00",0,19.6,,246,0
,,Sub Total,"1,003,008,114.00","58,500,000.00","300,592,327.35",0,30.0,0.0,246,0
5072-Kisumu - City of Kisumu,,,,,,,,,246,0
108005072,,,"21,855,964.00",0,"8,676,252.95",0,39.7,,246,0
,108015060,"Local Revenue
Mobilization","21,855,964.00",0,"8,676,252.95",0,39.7,,246,0
109005072,,,"32,793,465.00",0,"12,972,087.35",0,39.6,,246,0
,109015060,"Urban planning
and development","32,793,465.00",0,"12,972,087.35",0,39.6,,246,0
401005072,,,"107,912,257.00",0,"53,576,883.15",0,49.6,,246,0
,401045060,"Health promotion
service","45,290,823.00",0,"22,533,031.20",0,49.8,,246,0
,401015060,"Environmental
health and sani-
tation","62,621,434.00",0,"31,043,851.95",0,49.6,,246,0
501005072,,,"33,411,122.00",0,"16,577,500.00",0,49.6,,246,0
,501015060,"Promotion of
early childhood
education.","33,411,122.00",0,"16,577,500.00",0,49.6,,246,0
704005072,,,"267,443,526.00","297,300,000.00","108,313,055.80",0,40.5,0.0,246,0
,704015060,"General Admin-
istration and
Support services","267,443,526.00","297,300,000.00","108,313,055.80",0,40.5,0.0,246,0
,,Sub Total,"463,416,334.00","297,300,000.00","200,115,779.25",0,43.2,0.0,246,0
"5075-Kisu-
mu-County
Public Service
Board",,,,,,,,,246,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",247,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,247,0
704005075,,,"103,258,091.00",0,"43,400,643.45",0,42.0,,247,0
,704015060,"General Admin-
istration and
Support services","101,646,491.00",0,"42,811,043.45",0,42.1,,247,0
,704045060,"Promotion of
Values and
Principles","1,291,600.00",0,"589,600.00",0,45.6,,247,0
,704025060,"Human Resource
Recruitment and
Development","320,000.00",0,0,0,0.0,,247,0
,,Sub Total,"103,258,091.00",0,"43,400,643.45",0,42.0,,247,0
"5081-Kisumu - Department of Education, Technical Training, Innovation and Social Service",,,,,,,,,247,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,247,0
101005081,,,"467,786,687.00",0,"98,890,854.55",0,21.1,,247,0
,101015060,"Planning and
Coordination
Services","467,786,687.00",0,"98,890,854.55",0,21.1,,247,0
502005081,,,"1,600,000.00","14,800,000.00","509,100.00",0,31.8,0.0,247,0
,502015060,"Youth Polytech-
nics Services","1,600,000.00","14,800,000.00","509,100.00",0,31.8,0.0,247,0
505005081,,,"247,790,263.00","88,700,000.00","51,627,200.00",0,20.8,0.0,247,0
,505015060,"Early Child
Education","247,790,263.00","88,700,000.00","51,627,200.00",0,20.8,0.0,247,0
517005081,,,"1,750,000.00","97,332,281.00","226,050.00","35,816,281.00",12.9,36.8,247,0
,517015060,"Youth Training
and Legislation","1,750,000.00","97,332,281.00","226,050.00","35,816,281.00",12.9,36.8,247,0
,,Sub Total,"718,926,950.00","200,832,281.00","151,253,204.55","35,816,281.00",21.0,17.8,247,0
"5083-Kisumu - Department of Finance, Economic Planning and ICT Services",,,,,,,,,247,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,247,0
109005083,,,"51,363,996.00",0,"29,266,293.00",0,57.0,,247,0
,109015060,"Urban planning
and development","51,363,996.00",0,"29,266,293.00",0,57.0,,247,0
201005083,,,"15,000,000.00",0,"3,411,474.00",0,22.7,,247,0
,201015060,"General admin-
istration and
planning","15,000,000.00",0,"3,411,474.00",0,22.7,,247,0
203005083,,,"1,008,436,139.00","1,050,000,000.00","334,083,343.60","331,809,612.00",33.1,31.6,247,0
,203015060,"Administrative
services","1,008,436,139.00","1,050,000,000.00","334,083,343.60","331,809,612.00",33.1,31.6,247,0
208005083,,,"65,000,000.00",0,"15,465,898.00",0,23.8,,247,0
,208015060,ICT Services,"65,000,000.00",0,"15,465,898.00",0,23.8,,247,0
703005083,,,"15,000,000.00",0,"4,638,100.00",0,30.9,,247,0
,703025060,"Internal Auditing
Services","15,000,000.00",0,"4,638,100.00",0,30.9,,247,0
705005083,,,"150,600,000.00","72,142,939.00","76,377,401.95","6,000,000.00",50.7,8.3,247,0
,705055060,"Budget Formula-
tion & Coordina-
tion Services","54,600,000.00","12,142,939.00","17,386,151.95","6,000,000.00",31.8,49.4,247,0
223,,,,,,,,,247,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",248,0
,705035060,"management of
public financial
resources","16,000,000.00",0,"5,007,300.00",0,31.3,,248,0
,705015060,"Revenue Mobili-
zation","80,000,000.00","60,000,000.00","53,983,950.00",0,67.5,0.0,248,0
706005083,,,"85,249,719.00",0,"23,918,620.00",0,28.1,,248,0
,706025060,"Monitoring &
Evaluation","33,000,000.00",0,"10,020,400.00",0,30.4,,248,0
,706015060,"Policy Formula-
tion & Planning","52,249,719.00",0,"13,898,220.00",0,26.6,,248,0
