Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",619,1,
"Administration,
Planning and
Support Service",,"962,860,908","586,600,50","3 636,809,804","168,738,050",66.1,28.8,619,1,
,"Administrative
Service","704,869,156","586,600,50","3 492,461,085","168,738,050",69.9,28.8,619,1,
,Legislative,"248,378,352",,"142,842,989",,57.5,-,619,1,
,"Research and
Development","9,613,400",,"1,505,730",,15.7,-,619,1,
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",620,0,
"Livestock De-
velopment and
Management",,"5,614,600","46,565,764",-,-,-,-,620,0,
,"Veterinary
Services and
Extension","5,114,600","3,500,000",-,-,-,-,620,0,
,"Livestock
Extension","500,000","22,323,680",-,-,-,-,620,0,
,"Value Chain
Development",,"20,742,084",,-,-,-,620,0,
"Fisheries De-
velopment and
Management",,"3,541,000","14,000,000",-,-,-,-,620,0,
,"Promotion of
Fish Farming","3,541,000","14,000,000",-,-,-,-,620,0,
"Crop Development
and Management",,"5,950,000","102,162,444","1,151,800",,19.4,-,620,0,
,"Crop Exten-
sion","1,824,000",,-,,-,-,620,0,
,"Farm Input
Subsidy",,"97,662,444",,,-,-,620,0,
,"Food Security
Initiatives","4,126,000","4,500,000","1,151,800",,27.9,-,620,0,
Agribusiness,,,"255,000,000",,-,-,-,620,0,
,Value Addition,,"255,000,000",,-,-,-,620,0,
"Cooperatives
Development",,"15,987,300",,"7,001,130",,43.8,-,620,0,
,"Cooperative
Development
Services","15,987,300",,"7,001,130",,43.8,-,620,0,
"Land Survey and
Mapping Services",,"2,570,600","16,645,609","1,305,800",-,50.8,-,620,0,
,"Land Survey
and Mapping","2,570,600","16,645,609","1,305,800",-,50.8,-,620,0,
"1 Urban and Phys-
ical Planning and
Housing Services",,"27,754,011","16,549,346","3,999,143","3,499,999",14.4,21.2,620,0,
,"Urban and
Physical
Planning","719,000","9,549,346","63,000",,8.8,-,620,0,
,"Housing De-
velopment","2,962,400",,-,,-,-,620,0,
,"Vihiga
Municipality
{KUSP}","24,074,611","7,000,000","3,936,143","3,499,999",16.4,50.0,620,0,
"Administration,
Planning and
Support Service",,"95,273,383","671,814,859","14,587,240","14,564,464",15.3,2.2,620,0,
,"Administrative
Service","95,273,383","266,435,620","14,587,240","14,564,464",15.3,5.5,620,0,
"Transport Man-
agement",,"9,823,443","38,535,327",-,-,-,-,620,0,
,"Transport
System Man-
agement","812,600","38,535,327",-,-,-,-,620,0,
,"Mechanical
Services","9,010,843",,-,,-,-,620,0,
"Infrastructure
Development",,,"147,879,239",,"116,845,188",-,79.0,620,0,
,"Roads Mainte-
nance",,"147,879,239",,"116,845,188",-,79.0,620,0,
