Programme,Sub-Programme,"Approved Recur-
rent Expenditure
Budget","Actual
Recurrent
Expenditure","Approved
Development
Expenditure
Budget","Actual De-
velopment
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",page_number,table_index
County Executive,,,,,,,,512,1
Sub County Administration,,"216,897,644",-,"112,093,410",-,52,-,512,1
"Coordination, Supervision and Human Resource
Services",,"171,097,176","16,259,000","67,435,396",-,39,-,512,1
Management of County Affairs,,"40,785,618",-,"16,933,553",-,42,-,512,1
"Organisation of County
Business","Organisation of
County Business",-,-,-,-,-,-,512,1
"Economic, Social & Political Advisory Service",,"15,102,686",-,"5,531,201",-,37,-,512,1
"Economic, Social & Po-
litical Advisory Service",County Policing,-,-,-,-,-,-,512,1
"General Administration Planning and Support
Services",,"15,102,686",-,"5,531,201",-,37,-,512,1
"Administration of Human Resources in County
Public Service",,"56,314,926",-,"22,499,054",-,40,-,512,1
"Administration of
Human Resources in
County Public Service","General Adminis-
tration Planning and
Support Services","56,314,926",-,,-,-,-,512,1
Administration Services,Special Programs,-,-,-,-,-,-,512,1
,Special Programs,-,-,-,-,-,-,512,1
,Grand Total,"500,198,050","16,259,000","224,492,614",-,45,-,512,1
"Finance, Economic Planning & ICT",,,,,,,,512,1
"General Administration Planning and Support
Services",,-,-,-,-,-,-,512,1
,,,,,,,488,512,1
Administration Services,,"356,778,580","39,694,000","105,243,995",-,29,-,513,0
Administration Services,System Security,"326,481,438",-,"96,887,953",-,30,-,513,0
Public Finance Management,,"30,297,142","39,694,000","8,356,043",-,28,-,513,0
,Fiscal Planning,"286,141,129","8,000,000","116,992,696",-,41,-,513,0
Fiscal Planning,"Resource Mobili-
zation","39,744,294","8,000,000","12,578,447",-,32,-,513,0
"Budget Formulation Coordination and manage-
ment",,"88,301,113",-,"42,946,178",-,49,-,513,0
Public finance and Accounting,,"13,390,586",-,"7,471,522",-,56,-,513,0
,Internal Audit,"41,378,495",-,"23,472,660",-,57,-,513,0
,Data Management,"19,711,858",-,"4,666,329",-,24,-,513,0
,Procurement,"19,000,000",-,"707,582",-,4,-,513,0
Monitoring & Evaluation /Statistical,,"25,939,602",-,"10,193,756",-,39,-,513,0
,Special Programs,"38,675,181",-,"14,956,221",-,39,-,513,0
,Special Programs,"32,854,323",-,"6,616,916",-,20,-,513,0
Special Programs,"General Adminis-
tration(Economic
Planning and ICT)","32,854,323",-,"6,616,916",-,20%,-,513,0
"General Administration (Economic Planning
and ICT)",,"12,682,895",-,"5,353,726",-,42,-,513,0
,,"12,682,895",-,"5,353,726",-,42,-,513,0
,Grand Total,"688,456,927","47,694,000","234,207,333",-,34,-,513,0
"Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,,,513,0
"General Administration Planning and Support
Services",,-,-,"23,853,028",-,-,-,513,0
"Administration,
Planning and Support
Services","Livestock Resource
Management and
Development","51,610,896",-,"22,605,620",,44,-,513,0
"Promotion of Value Ad-
dition of Livestock and
Livestock Products","Promotion of Dairy
Production, Breeding
and Disease control","18,303,764","747,762,632","6,872,831",-,38,-,513,0
Livestock marketing and rangeland management,,"24,141,854",-,"3,169,279",-,13,-,513,0
Livestock Diseases Management and Control,,"11,741,904",-,"5,092,560",-,43,-,513,0
,,"16,498,756","57,500,000","2,150,194",-,13,-,513,0
"Development of capture
fisheries resources","Crop Production and
Management","8,332,664","16,200,000","17,100,157","1,000,000",205,6,513,0
"Crop Production and
Food Security","Agricultural Exten-
sion Research and
Training","10,632,822",-,"16,374,752","1,000,000",154,-,513,0
,Grand Total,"41,065,886","62,931,664","65,708,999",,160,-,513,0
,,"182,328,546","884,394,296",-,,-,-,513,0
"Water, Environment, Natural Resources & Energy",,,,,,,-,513,0
Administration,"Forests Conservation
and Management","70,862,262","279,479,000","17,542,285","19,834,124",25,7,513,0
"Forests Conservation and
Management","Pollution control and
monitoring","4,342,020","2,200,000","962,467",-,22,-,513,0
Forests Conservation and Management,,"6,891,831","69,000,000","301,780",-,4,-,513,0
Control of soil erosion,Mining Services,"5,661,970",-,"799,776",-,14,-,513,0
Water Catchment and Protection Services,,"2,460,790",-,"349,200",-,14,-,514,0
Environmental Management and Protection,,"3,352,050",-,"868,110",-,26%,0%,514,0
"Water and sanitation
services","Stormwater manage-
ment","79,170,389",-,"43,734,262",-,55,-,514,0
,,"8,232,205",-,"892,000",-,11,-,514,0
,Grand Total,"180,973,517","350,679,000","65,449,880","19,834,124",36,6,514,0
Education and Vocational Training,,,,,,,,514,0
"General Administration Planning and Support
Services",,-,-,-,-,-,-,514,0
"Administration,
Planning and Support
Services","General Adminis-
tration Planning and
Support Services",-,-,-,-,-,-,514,0
"Bursary Management
Services","General Adminis-
tration Planning and
Support Services",-,-,-,-,-,-,514,0
Education & Training Services,,"253,466,617",-,"38,866,682",-,15,-,514,0
Promotion of Early Childhood Education,,"343,353,381","181,695,000","154,654,186",-,45,-,514,0
"Promotion of Early
Childhood Education","Promotion of youth
empowerment","343,353,381","181,695,000","154,654,186",-,45,-,514,0
"Management and development of Sports and
sports facilities",,-,-,-,-,-,-,514,0
"Sports Development, Training & Competition",,-,-,-,-,-,-,514,0
"Sports Development,
Training & Competition","Youth Training and
Development",-,-,-,-,-,-,514,0
SP1 Revitalization of Youth Polytechnics,,"10,445,312","6,500,000","1,811,574",-,17,-,514,0
SP1 Revitalization of Youth Polytechnics,,"10,445,312","6,500,000","1,811,574",-,17,-,514,0
,Grand Total,"607,265,310","188,195,000","195,332,442",-,32,-,514,0
