Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of
31st December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Rec Esti-
mates",Dev Estimates,Rec Exp,Dev Exp,Rec,Dev,179,1
"Trade, Industrialization and Tourism",,,,,,,,179,1
"Development of Small
scale and Medium
Trade","Other Operating Expenses
- Other",-,"50,000,000",-,"5,074,780",-,10.1,179,1
"Trade Development
and Investment","Modern Market infra-
structure development",-,"115,800,000",-,"21,930,154",-,18.9,179,1
"Industrial Promotion
and development",Industrial development,-,"45,000,000",-,-,-,-,179,1
,"Cottage industrial
development and SME
development",-,"220,000,000",-,-,-,-,179,1
Tourism Development,Heritage Tourism,-,"5,000,000",-,-,-,-,179,1
"Fairtrade and consum-
er protection","Weights and Measures in-
frastructure development",-,"5,000,000",-,-,-,-,179,1
Grand Total,,-,"440,800,000",-,"27,004,934",,6.1%,179,1
"Roads, Public Works & Energy",,,,,,,,179,1
Major Roads,Bitumen road,-,"463,600,000",-,"199,305,037",-,43.0%,179,1
RMLF,Road maintenance,-,"62,500,000",-,-,-,-,179,1
10KM,Gravel road,-,"600,000,000",-,"54,823,367",-,9.1%,179,1
Bridges,"Bridge and culvert instal-
lation",-,"16,170,000",-,"9,220,280",-,57.0%,179,1
Other Infrastructure,,-,"166,977,000",-,-,-,-,179,1
Sub-Total,,-,"1,309,247,000",-,"263,348,684",,20.1%,179,1
Health Services,,,,,,,,179,1
401024810,"Community Health
Strategy","254,371,825",-,"16,246,357",-,6.4,-,179,1
,,"Rec Esti-
mates",Dev Estimates,Rec Exp,Dev Exp,Rec,Dev,180,0
401034810,"Disease Surveillance and
Emergency Response","2,650,984",-,"582,040",-,22,-,180,0
401044810,"Nutrition Service Pro-
motion","500,000",-,-,-,-,-,180,0
401054810,HIV /AIDS Control,"500,000",-,-,-,-,-,180,0
401064810,"Maternal and child health-
care promotion","80,450,000","158,000,000","2,320,500",-,2.9,-,180,0
401074810,TB Control,"500,000",-,-,-,-,-,180,0
401084810,Malaria control,"500,000",-,-,-,-,-,180,0
401094810,"Promotion of family
planning","900,000",,"430,757",-,47.9,-,180,0
Sub-Total,,"340,372,809","158,000,000","19,579,654",-,5.8,-,180,0
402014810,"Health Infrastructure
Development",-,-,-,-,-,-,180,0
402024810,"Primary medical health
services","457,735,894","422,000,000","128,700,759","5,359,077",28.1,1.3,180,0
402034810,"Blood Transfusion
Services",-,"15,000,000",-,"7,500,000",-,50,180,0
Sub-Total,,"457,735,894","437,000,000","128,700,759","12,859,077",28.1,2.9,180,0
403014810,"Administrative and
Human Resources man-
agement","31,732,563","19,900,000","12,965,317",-,40.9,-,180,0
403024810,Disability mainstreaming,"500,000",-,-,-,-,-,180,0
403034810,"Health Data and Informa-
tion Management","9,102,385","25,000,000","2,736,500",-,30.1,-,180,0
Sub-Total,,"41,334,948","44,900,000","15,701,817",-,38,-,180,0
Grand Total,,"839,443,650","639,900,000","163,982,230","12,859,077",19.5,2,180,0
Water Environment Natural Resources and Climate Change,,,,,,,,180,0
"Programme 1: Water
Service Provision and
Management","Sub-programme 1: Water
Supply Services","20,258,023","303,240,000","4,467,797","76,000,622",22.1,25.1,180,0
"Programme 3: Envi-
ronmental Protection
and Conservation","Sub-programme 1: Envi-
ronmental Conservation","7,749,413","136,260,000","708,500","31,219,988",9.1,22.9,180,0
"Programme 4: Natural
Resource Manage-
ment","Sub-programme 1: Envi-
ronmental Conservation","4,180,321",-,-,"349,200",-,-,180,0
