Programme,Sub-Programme,"Approved
Estimates","Development
Expenditure","Actual Expendi-
ture as of 31st Dec
2023","Develop-
ment Expen-
diture","Absorption
Rate (%)","Development
Expenditure_1",page_number,table_index
"Land use planning
and Information
management","Land Policy and Planning
Services",-,"5,500,000",-,-,-,-,44,0
"Land use planning
and Information
management",Land Survey Services,-,"11,100,000",-,-,-,-,44,0
"Eldama Ravine
Town- Urban
Development",Infrastructure development,"5,154,129","18,853,000","325,614",-,6,-,44,0
"Kabarnet Munici-
pality Services",Infrastructure development,"6,759,157","23,500,000","1,435,578",-,21,-,44,0
"Housing De-
velopment and
management",Housing development,-,"1,200,000",-,-,-,-,44,0
"Land use planning
and Information
management",Land Adjudication Services,-,"17,500,000",-,-,-,-,44,0
"Land use planning
and Information
management","Land adjudication and
demarcation",-,"1,500,000",-,-,-,-,44,0
"Land use planning
and Information
management","Land Policy and Planning
Services",-,"25,237,350",-,-,-,-,44,0
"General Adminis-
tration, Planning
and Support
Services",Infrastructure Development,-,"6,000,000",-,-,-,-,44,0
"Kabarnet Munici-
pality Services","Sanitation & waste manage-
ment",-,"8,500,000",-,-,-,-,44,0
,"Urban Safety and Disaster
Control Services",-,"2,000,000",-,-,-,-,44,0
,Infrastructure development,-,"15,100,000",-,"12,840,586",-,85,44,0
,"Urban Infrastructure develop-
ment and management",-,-,-,-,-,-,44,0
"Agricultural
Services","General Administration and
Planning","30,779,781",-,"8,584,246",-,28,-,44,0
"Livestock resourc-
es management
and development",Livestock upgrading,-,"149,789,340",-,-,-,-,44,0
"Milk Processing
Plant-Eldama
Ravine","Completion of Milk Process-
ing Plant",-,"46,000,000",-,-,-,-,44,0
"Kabartonjo Milk
Cooling Plant","Construction of Ossen Milk
Cooling Plant",-,"3,500,000",-,-,28,-,44,0
"Livestock Sale
yards","Maintenance of Livestock
Sale Yards- Emining, Loruk
and Loitip",-,"1,500,000",-,-,-,-,44,0
"Slaughterhouses
Maintenance","Maintenance of slaughter
houses and slabs",-,"1,000,000",-,-,-,-,44,0
"Maoi Slaughter
House",Slaughter houses and slabs:,-,"10,000,000",-,-,-,-,44,0
"Loruk Slaughter
House","Completion of Loruk Slaugh-
ter House",-,"3,000,000",-,-,-,-,44,0
,,"Recurrent
Expenditure",,"Recurrent Expen-
diture",,"Recurrent
Expenditure",,45,0
"Barwessa Slaugh-
ter House","Completion of Barwessa
Slaughter House",-,"3,000,000",-,-,-,-,45,0
"Ngentalel Slaugh-
ter House","Completion of Ngentalel
Slaughter House",-,"4,000,000",-,-,-,-,45,0
"Cattle Dips and
Animal Vaccina-
tions",Dips and Vaccines,-,"18,000,000",-,-,-,-,45,0
Bee Keeping,Beehives,-,"9,000,000",-,-,-,-,45,0
