Programme,Sub-Programme,"Approved Estimates FY 2023/24
Recurrent Development
Expenditure Expenditure",col_3,"Actual Expenditure as of
31st December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates FY 2023/24
,,,"Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",365,1,
COUNTY ASSEMBLY OF MERU,,,,,,,,365,1,
"Legislation and Repre-
sentation","Legislation and Repre-
sentation","423,198,171",-,"143,426,176",-,33.9,-,365,1,
Legislative Oversight,Legislative Oversight,"223,126,596",-,"102,850,151",-,46.1,-,365,1,
"General Admin, Planning
& Support","General Admin, Plan-
ning & Support","322,053,528","40,000,000","170,312,128",-,52.9,-,365,1,
Sub-Total,,"968,378,295","40,000,000","416,588,455",-,43.0,-,365,1,
OFFICE OF THE GOVERNOR,,,,,,,,365,1,
Headquarters,Headquarters,"84,914,018",-,"34,057,555",-,40.1,-,365,1,
Communication,Communication,"25,480,000",-,"3,535,400",-,13.9,-,365,1,
"Monitoring and Evalu-
ation","Monitoring and Eval-
uation","13,179,000",-,"2,761,300",-,21.0,-,365,1,
"Delivery unit (Research
and Strategy)","Delivery unit (Re-
search and Strategy)","9,250,000",-,"1,772,600",-,19.2,-,365,1,
"Special Programmes
(Fire, Rescue and Emer-
gency Services)","Special Programmes
(Fire, Rescue and
Emergency Services)","25,000,000",-,"8,087,500",-,32.4,-,365,1,
341,,,,,,,,365,1,
,,,"Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",366,0,"Recurrent
Expenditure"
"County Executive
Administration Head-
quarters","County Executive
Administration Head-
quarters",,-,"2,597,400",-,36.6,-,366,0,"7,100,000"
"External Linkages &
Partnership","External Linkages &
Partnership",,-,"3,813,500",-,47.0,-,366,0,"8,111,000"
Sub-Total,,,-,"56,625,255",-,32.7,-,366,0,"173,034,018"
FINANCE ECONOMIC PLANNING & ICT,,,,,,,,366,0,
General Administration,Administration,,-,"60,761,629",-,22.7,-,366,0,"267,857,430"
Investment Corporation,MCIDC,,-,"6,116,344",-,28.2,-,366,0,"21,709,324"
"Microfinance Corpo-
ration","Meru Microfinance
Corporation",,-,"20,986,412",-,27.6,-,366,0,"76,155,481"
Revenue Board,"Meru County Revenue
Board",,"27,500,000","140,038,183","5,000,000",42.1,18.2,366,0,"332,432,000"
Procurement,Procurement,,-,"2,814,900",-,31.4,-,366,0,"8,951,480"
Internal Audit,Internal Audit,,-,"3,935,800",-,44.8,-,366,0,"8,785,200"
Budget and Policy,Budget and Policy,,-,"8,881,600",-,28.9,-,366,0,"30,686,777"
Accounts,Accounts,,-,"2,893,600",-,43.9,-,366,0,"6,591,200"
ICT Development,ICT Development,,"68,600,000","3,677,366","27,000,000",28.8,39.4,366,0,"12,770,900"
"Economic Planning and
Coordination Services","Economic Planning
and Coordination
Services",,-,"4,108,600",-,46.8,-,366,0,"8,780,000"
Fleet Management,Fleet Management,,,"2,827,225",,6.7,-,366,0,"42,250,000"
Administration Services,"Administration
Services",,"23,311,393","6,056,374",,57.5,-,366,0,"10,525,665"
Sub-Total,,,"119,411,393","263,098,033","32,000,000",31.8,26.8,366,0,"827,495,457"
"AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHERIES",,,,,,,,366,0,
General Administration,"General Administra-
tion",,"841,837,419","3,742,400",-,43.8,-,366,0,"8,540,000"
Livestock,Livestock,,"153,394,800","1,366,250",-,16.6,-,366,0,"8,250,000"
Fisheries,Fisheries,,"26,806,584","800,000",-,17.4,-,366,0,"4,605,000"
Veterinary Services,Veterinary Services,,"19,000,000",-,-,-,-,366,0,-
Agricultural Services,Agricultural Services,,-,"4,763,425",-,34.5,-,366,0,"13,792,586"
"Animal Disease Man-
agement","Animal Disease Man-
agement",,-,"657,000",-,15.4,-,366,0,"4,260,000"
"Agricultural Training
Centre (Kaguru)","Agricultural Training
Centre (ATC)",,"20,000,000",-,"10,032,563",-,50.2,366,0,-
Sub-Total,,,"1,061,038,803","11,329,075","10,032,563",28.7,0.9,366,0,"39,447,586"
WATER IRRIGATION ENVIRONMENT & NATURAL RESOURCES,,,,,,,,366,0,
Water & Irrigation,Water & Irrigation,,"328,639,884","6,711,619","5,991,995",31.9,1.8,366,0,"21,014,471"
"Environment and Natural
Resources","Environment and
Natural Resources",,"70,882,428","9,504,310","59,882,428",32.6,84.5,366,0,"29,113,144"
Sub-Total,,,"399,522,312","16,215,929","65,874,423",32.3,16.5,366,0,"50,127,615"
"EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,,,366,0,
Administration Services,"Administration
Services",,-,"3,259,500",-,26.3,-,366,0,"12,402,100"
"Early Childhood
Development Education
(ECDE)","Early Childhood De-
velopment Education
(ECDE)",,"40,143,318","35,414,500",-,15.8,-,366,0,"223,557,595"
"Technical and Vocation
Education","Technical and Voca-
tion Education",,"48,027,375","3,468,100",-,37.0,-,366,0,"9,372,225"
,,,"Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",367,0,"Recurrent
Expenditure"
Culture & Arts,Culture & Arts,,-,"3,146,300",-,29.3,-,367,0,"10,726,400"
Sub-Total,,,"88,170,693","45,288,400",-,17.7,-,367,0,"256,058,320"
HEALTH SERVICES,,,,,,,,367,0,
"General Administration
Support & Planning","General Adminis-
tration Support &
Planning",,-,"6,147,144",-,28.3,-,367,0,"21,732,383"
Curative Health,Curative Health,,"448,815,213","255,944,424","143,889,105",51.7,32.1,367,0,"495,079,867"
"Preventive and Promo-
tive Health","Preventive and Pro-
motive Health",,-,"6,180,050",-,15.3,-,367,0,"40,451,102"
Sub-Total,,,"448,815,213","268,271,618","143,889,105",48.1,32.1,367,0,"557,263,353"
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,,,367,0,
Lands & Housing,Lands & Housing,,"60,000,000","4,628,296","3,891,034",30.8,6.5,367,0,"15,050,000"
"Physical Planning, &
Urban Development",Lands & Public Works,,"102,546,296","4,143,500",-,26.6,-,367,0,"15,600,000"
Meru Municipality,Meru Municipality,,-,"4,215,600",-,21.1,-,367,0,"20,000,000"
Maua Municipality,Maua Municipality,,-,"711,200",-,7.9,-,367,0,"9,000,000"
Timau Municipality,Timau Municipality,,-,"717,200",-,10.2,-,367,0,"7,000,000"
Public Works,Public Works,,"10,000,000","1,283,700",-,28.3,-,367,0,"4,530,000"
Sub-Total,,,"172,546,296","15,699,496","3,891,034",22.1,2.3,367,0,"71,180,000"
PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,,,367,0,
General Administration,"General Administra-
tion",,-,"8,614,396",,48.2,-,367,0,"17,860,531"
"Coordination of County
Government Functions
Sub-County","Coordination of
County Government
Functions Sub-County",,-,"6,157,700",,23.1,-,367,0,"26,613,124"
"County Office Accom-
modation and Enforce-
ment Services","County Office
Accommodation and
Enforcement Services",,-,"5,574,480",,11.9,-,367,0,"46,671,068"
Human Resource,Human Resource,,"105,000,000","2,023,810,061","20,000,000",41.2,19.0,367,0,"4,910,623,731"
"Legal Representation,
Advisory Services and
Legislative Process","Legal Representation,
Advisory Services and
Legislative Process",,-,"59,134,900",-,76.6,-,367,0,"77,200,000"
"Town Management &
Administration","Town Management &
Administration",,-,-,-,-,-,367,0,"1,100,000"
Sub-Total,,,"105,000,000","2,103,291,536","20,000,000",41.4,19.0,367,0,"5,080,068,454"
"ROADS, TRANSPORT & ENERGY",,,,,,,,367,0,
"General Administra-
tion-Roads","General Administra-
tion-Roads",,"671,469,433","7,739,780","32,743,041",27.9,4.9,367,0,"27,770,000"
Energy,Energy,,"25,000,000","2,221,000","24,299,445",21.2,97.2,367,0,"10,465,558"
Sub-Total,,,"696,469,433","9,960,780","57,042,486",26.1,8.2,367,0,"38,235,558"
"TRADE, TOURISM & COOPERATIVE DEVELOPMENT",,,,,,,,367,0,
"Co-operatives Develop-
ment","Co-operatives Devel-
opment",,"18,100,000","4,571,800","10,848,438",35.9,59.9,367,0,"12,723,540"
Tourism,Tourism,,,"5,304,900",-,30.1,-,367,0,"17,600,000"
Trade,Trade,,"383,026,150","4,171,778",-,28.6,-,367,0,"14,575,000"
Sub-Total,,,"401,126,150","14,048,478","10,848,438",31.3,2.7,367,0,"44,898,540"
YOUTH AFFAIRS & SPORTS,,,,,,,,367,0,
"Youth Affairs Pro-
gramme","Youth Affairs Pro-
gramme",,"10,000,000","3,249,300",-,38.8,-,367,0,"8,380,000"
