Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub Total,"64,764,160.53","159,636,970.80","16,295,829.20","1,925,050.00",25%,1%,333,0
County Attorney,,,,,,,,333,0
"SP1. 1 General
Administration
& Support
Services","P1: General admin-
istration & planning","49,023,507.00",-,"7,916,354.35",,16%,,333,0
,Sub Total,"49,023,507.00",-,"7,916,354.35",,16%,,333,0
Governorship,,,,,,,,333,0
"SP1. 1 General
Administration
& Support
Services","P1: General admin-
istration & planning","455,827,360.32",-,"71,897,746.25",,16%,,333,0
,Sub Total,"455,827,360.32",0.00,"71,897,746.25",,16%,,333,0
County Secretary,,,,,,,,333,0
"Programme 1.
Leadership and
coordination of
departments","SP1. 1 Leadership
& coordination of
departments","422,725,533.26",,"169,057,763.30",,40%,,333,0
,Sub Total,"422,725,533",0,"169,057,763.30",,40%,,333,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",334,0
CPSB,,,,,,,,334,0
"Programme 1:
Public Service
Human Resource
Management and
Development.","SP2: Public
Service Human Re-
source Management
and Development.","72,963,647.16",,"19,895,510.95",,27%,,334,0
,Sub Total,"72,963,647.16",,"19,895,510.95",,27%,,334,0
Finance & Socio-Economic Planning,,,,,,,,334,0
"SP1. 1 General
Administration
& Support
Services","SP1: General
administration &
planning","362,477,457.49","53,425,662.46","130,904,143.23","13,821,752.00",36%,26%,334,0
"Programme 2:
Public Financial
Management","SP2: Public finan-
cial management","132,745,622.12",,"60,927,991.73",,46%,,334,0
,Sub Total,"495,223,079.61","53,425,662.46","191,832,134.95","13,821,752.00",39%,26%,334,0
"Devolution, Public participation, County Administration and Special Programmes",,,,,,,,334,0
"Programme 1:
General Ad-
ministration &
Planning","SP1: General
Administration &
Planning","253,538,486.34","23,054,646.00","48,650,020.81","1,290,800.00",19%,6%,334,0
"Programme 2:
Participatory
development &
civic education","SP2: Participatory
development &
civic education","13,417,797.09",,"6,000,000.00",,45%,,334,0
"Programme
3: Research,
Documentation
and Knowledge
Management","SP3: Research,
Documentation
and Knowledge
Management","4,500,000.00",,"1,550,006.94",,34%,,334,0
"Programme 4:
Coordination of
Service Delivery
and Enforcement","SP4: Coordination
of Service Delivery
and Enforcement","26,670,000.00",,"12,100,013.87",,45%,,334,0
"Programme 5:
Disaster Risk
Preparedness and
Mitigation","SP5: Disaster Risk
Preparedness and
Mitigation","9,861,200.00",,"4,100,013.87",,42%,,334,0
"Programme 6:
Alcoholic Drinks
Control and
Licencing","SP6: Alcoholic
Drinks Control and
Licencing","6,400,000.00",,"3,100,013.87",,48%,,334,0
,Sub Total,"314,387,483.43","23,054,646.00","75,500,069.36","1,290,800.00",24%,6%,334,0
Water and Sanitation,,,,,,,,334,0
