Programmes,Sub-Programmes,"Approved Budget Estimates FY
2023/24",col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
"Cohesion & peace-
building",Peace Building Initiatives,"9,300,000",-,"1,860,000",-,20.0,-,378,0
,"Conflict management
and resolution","9,400,000",-,"164,000",-,1.7,-,378,0
,Civic Education,"1,900,000",-,"113,000",-,5.9,-,378,0
,Peace Building Initiatives,"1,200,000",-,"264,235",-,22.0,-,378,0
"Research & Edu-
cation","Research & Education
Services","1,000,000",-,-,-,-,-,378,0
"Geospatial infor-
mation services.","Geospatial information
services.",-,-,-,-,-,-,378,0
"Performance man-
agement services","Performance manage-
ment services","4,000,000",-,-,-,-,-,378,0
ICT Infrastructure,"ICT infrastructure &
connectivity",-,"7,970,000",-,-,-,-,378,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",379,0
"Communication
services",Communication services,"6,950,000",-,"208,557",-,3.0,-,379,0
,"County Media and
Branding Services","10,000,000",,"75,000",,0.8,-,379,0
,Digital Media,"8,300,000",,-,,-,-,379,0
E-governance,Automation services,"13,950,000",-,-,-,-,-,379,0
E-learning,"Digital curriculum inte-
gration & development.","3,900,000",-,-,-,-,-,379,0
Digital innovation,Innovation services,"2,820,000",-,-,-,-,-,379,0
"Resource Mobiliza-
tion Service","Resource Mobilization
Service","5,000,000",-,"918,815",-,18.4,-,379,0
"External partner-
ships & affairs","External partners’ rela-
tions management","35,800,000",-,"20,512,670",-,57.3,-,379,0
Pending Bills,Pending Bills (Gov),"6,365,257",,"1,043,500",,16.4,-,379,0
,Pending Bills (ICT),"13,227,800",,"1,499,500",,11.3,-,379,0
,Sub- Total,"602,443,057","147,970,000","198,865,945","43,426",33.0,0.03,379,0
Office of the County Attorney,,,,,,,,379,0
"General adminis-
tration & support
services",Finance & administration,"35,270,000",-,"8,532,400",-,24.2,-,379,0
Legal Services,"Advisory & Research
services","2,900,000",-,"570,000",-,19.7,-,379,0
,Staff Development,"2,600,000",-,"858,000",-,33.0,-,379,0
,Legal compliance services,"127,499,400",-,"50,958,013",-,40.0,-,379,0
,Sub- Total,"168,269,400",0,"60,918,413",-,36.2,-,379,0
"Department of Public Service Management, Monitoring and Evaluation and Performance Contracting",,,,,,,,379,0
"General Adminis-
tration & Support
Services","Administrative Support
Services (PSM)","592,885,934",-,"282,387,418",-,47.6,-,379,0
,"General Administration
Services (PSB)","70,296,400",-,"18,030,755",-,25.6,-,379,0
,Field Services,"6,000,000",,-,,-,-,379,0
,"General Administration
services (Monitoring)","6,500,000",-,"1,437,700",-,22.1,-,379,0
,"Efficient monitoring &
evaluation","9,687,000",,"851,300",,8.8,-,379,0
"Human Capital
Management &
Development
Services","Human Resource Man-
agement Services (PSM)","7,500,000",-,"4,570,512",-,60.9,-,379,0
,"Human Resource Man-
agement Services(PSB)","3,500,000",,-,,-,-,379,0
"Devolved Units
Administration
Services","Devolved Units Adminis-
tration Services","28,600,000","20,000,000","13,489,537",-,47.2,-,379,0
,"Devolution and Regional
Bodies","20,000,000",,"5,342,000",,26.7,-,379,0
"Civic Education &
Public Participa-
tion",Civic Education services,"4,500,000",-,"800,000",-,17.8,-,379,0
"Public Communi-
cation & Records
Management
Services","Record management
programme","2,800,000",-,-,-,-,-,379,0
,"Security Enforcement
Services","7,450,000",,"1,105,122",,14.8,-,379,0
,Public Communications,"2,600,000",-,-,-,-,-,379,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",380,0
"Public Service
Board services","Public Service Board
services","4,909,442",-,"205,000",-,4.2,-,380,0
"National values &
principles of gover-
nance","National values & princi-
ples of governance","600,000",-,"100,000",-,16.7,-,380,0
"Information &
records manage-
ment","Records management
services","2,500,000",-,-,-,-,-,380,0
Pending Bills,Pending Bills,"16,616,123","31,133,306","578,890","9,498,706",3.5,30.5,380,0
,Sub- Total,"786,944,899","51,133,306","328,898,234","9,498,706",41.8,18.6,380,0
"Department of Agriculture, Livestock, Veterinary Services, Fisheries and Blue Economy",,,,,,,,380,0
"General Adminis-
tration & Support
Services","Administrative services
(Agric)","170,191,018",-,"142,303,010",-,83.6,-,380,0
,"Administrative services
(Livestock)","11,537,562",-,"6,323,320",-,54.8,-,380,0
,"Administrative ser-
vices(vet)","8,008,562",-,"1,526,421",-,19.1,-,380,0
,"Administrative ser-
vices(fisheries)","15,427,400",-,"6,922,190",-,44.9,-,380,0
"Agricultural Policy
& Planning","Policies & Legal Frame-
work","1,967,000",-,"1,320,000",-,67.1,-,380,0
"Agricultural Ex-
tension services","Field extension services
& support","6,236,209",-,"3,086,520",-,49.5,-,380,0
"Agribusiness
Development","Agribusiness Develop-
ment","1,043,000",-,"490,000",-,47.0,-,380,0
Donor Funds,Donor Funds,-,"620,400,239",-,-,-,-,380,0
"Crop Development
& Management","Crop Development &
Management",,"25,262,750",,-,-,-,380,0
,"Emerging crop enter-
prises",-,-,-,-,-,-,380,0
"Climate-smart
agriculture","Sorghum & Millet pro-
motion",-,-,-,-,-,-,380,0
"Livestock exten-
sion & support
services",Extension services,"4,366,000",,"80,000",,1.8,-,380,0
"Livestock breeding
& livestock prod-
ucts improvement","Breeds selection & artifi-
cial insemination","2,224,800","9,375,000","150,000","1,575,000",6.7,-,380,0
"Livestock market
development","Market support infra-
structure",-,"700,000",-,-,-,-,380,0
"Livestock Climate
Change Adaptation
& Mitigation","Livestock-focused climate
risk management",-,"3,600,000",-,-,-,-,380,0
"Livestock disease
& pest control
management",Disease & pest control,-,"12,500,199",-,-,-,-,380,0
Donor Funds,Donor Funds (Livestock),,"14,323,680",,-,-,-,380,0
"Market support
infrastructure","Market support infra-
structure",-,"975,000",-,-,-,-,380,0
"Veterinary public
health",Meat hygiene services,"915,000",,"587,605",,64.2,-,380,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",381,0
"Veterinary exten-
sion & clinical
services",Extension services,"400,000",,"100,000",,25.0,-,381,0
"Fisheries policy &
planning","Policy & planning
services","1,500,000",,"1,210,800",,80.7,-,381,0
,Licensing services,"300,000",,"300,000",,100.0,-,381,0
"Lakefront (cap-
ture) fisheries
development &
management","Fisheries co-management
services.","1,884,695",,"734,400",,39.0,-,381,0
"Extension supports
services","Extension supports
services","1,602,800",,"819,600",,51.1,-,381,0
"Fisheries & Blue
Economy","Fisheries & Blue Econ-
omy",,"42,767,785",,-,-,-,381,0
"Fish safety & quali-
ty assurance",Fish inspection services,"208,000",,"208,000",,100.0,-,381,0
,"Residue monitoring &
control services","328,000",,"260,800",-,79.5,-,381,0
Pending Bills,"Pending Bills (Agricul-
ture)","498,750","3,818,051","498,750","2,187,551",100.0,57.3,381,0
Pending Bills,Pending Bills (Livestock),,"4,547,500",,-,-,-,381,0
,Sub- Total,"228,638,796","738,270,204","166,921,416","3,762,551",73.0,0.5,381,0
"Department of Education, Gender inclusivity, Social Services, Youth and Sports",,,,,,,,381,0
"General Adminis-
tration & Support
Services",General administration,"306,049,054",-,"154,667,329",-,50.5,-,381,0
,"Quality assurance &
standard services","4,406,215",-,"3,019,000",-,68.5,-,381,0
"Early Childhood
Development Edu-
cation Services","Quality assurance &
standard services","16,000,000",-,-,-,-,-,381,0
,"ECDE co-curriculum
development","4,000,000",-,"2,450,600",-,61.3,-,381,0
,"School feeding pro-
gramme.","2,250,000",-,-,-,-,-,381,0
,"Community ECD
services",,"32,550,000",,-,-,-,381,0
"Education support
services",Bursary/scholarship,"146,000,000",-,"5,150,000",-,3.5,-,381,0
"Child Care Ser-
vices","Child protection respon-
sive services & caregiving
support service","2,500,000",-,"2,500,000",-,100.0,-,381,0
"Youth development
& empowerment","Technical, vocational,
education & training","20,000,000","42,596,350",-,-,-,-,381,0
,"Youth empowerment
program","9,000,000",-,"5,869,850",-,65.2,-,381,0
,"Youth enterprise devel-
opment","3,000,000",-,"3,000,000",-,100.0,-,381,0
"Sports Develop-
ment","Sports Development
Services","3,000,000","10,000,000","2,127,700",-,70.9,-,381,0
,"Talent development
Services","1,000,000",,-,,-,-,381,0
,Local Sports,"17,000,000",,"6,944,654",,40.9,-,381,0
Pending Bills,Pending Bills,"1,921,946","40,400,786","1,791,946","22,772,698",93.2,56.4,381,0
357,,,,,,,,381,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",382,0
"Gender Develop-
ment & Equality
Services",Women Empowerment,"4,570,000",-,"1,800,225",-,39.4,-,382,0
,"Gender-responsive edu-
cation support","2,400,000",-,"622,650",-,25.9,-,382,0
,"Adolescent Girls & wom-
en water, sanitation, &
hygiene support services","1,800,000",-,"300,000",-,16.7,-,382,0
,"People with Disability
(PWDs) Empowerment","5,000,000",-,"1,405,900",-,28.1,-,382,0
"Culture Develop-
ment Promotion
& Arts","Culture & heritage con-
servation","1,000,000",-,"622,652",-,62.3,-,382,0
,Sub- Total,"550,897,215","125,547,136","192,272,506","22,772,698",34.9,18.1,382,0
Department of Medical Services,,,,,,,,382,0
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring &
Evaluation, Research, &
Learning.","22,840,000",-,"2,257,800",-,9.9,-,382,0
,"Administration & sup-
port services","62,183,902",-,"28,546,089",-,45.9,-,382,0
,"Human Resource Man-
agement & Development","1,281,219,949",-,"775,386,204",-,60.5,-,382,0
,"Infrastructure & Health
Facility Management",-,"222,544,237",-,-,-,-,382,0
,"Health Financing & Uni-
versal Health Coverage
(UHC) coordination","5,340,000",-,"1,803,400",-,33.8,-,382,0
,"Standards & Quality
Assurance","2,800,000",-,"1,000,000",-,35.7,-,382,0
"Preventive &
Promotive Health
Services","Environmental health
services","2,100,000",-,"700,000",-,33.3,-,382,0
,"Human Nutrition &
Dietetics services","3,700,000",-,"100,000",-,2.7,-,382,0
,HIV/AIDS management,"2,900,000",-,"1,200,000",-,41.4,-,382,0
,TB control,"2,900,000",-,"500,000",-,17.2,-,382,0
,Malaria Control,"3,300,000",-,-,-,-,-,382,0
,"Non-Communicable
Diseases (NCDs","2,900,000","4,000,000",-,-,-,-,382,0
,"Disease surveillance/
Emergency preparedness","2,500,000",-,"500,000",-,20.0,-,382,0
,"Maternal & Reproductive
Health services","5,660,000",-,-,-,-,-,382,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","3,200,000",-,-,-,-,-,382,0
,"Expanded Program for
Immunization (Immu-
nization","4,000,000",-,-,-,-,-,382,0
,"Gender-Based Violence
health services","4,200,000",-,-,-,-,-,382,0
Pending Bills,Pending Bills,"93,267,995","44,478,239","9,054,520","34,952,399",9.7,78.6,382,0
Donor Funds,Donor Funds,,"124,723,404",,-,-,-,382,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",383,0
"Curative, Rehabil-
itative & Referral
Services","Ambulance & Referral
Services","16,500,000",-,"3,194,403",-,19.4,-,383,0
,Hospital-Level Services,,"10,000,000",,-,-,-,383,0
,"Health Products & Tech-
nologies","113,840,996",,"51,627,004",,45.4,-,383,0
,"Diagnostic & Rehabilita-
tion Services","26,500,000",,"11,619,350",,43.8,-,383,0
,"Health Services Manage-
ment Fund","135,000,000","5,000,000","41,229,078",-,30.5,-,383,0
,Sub- Total,"1,796,852,842","410,745,880","928,717,848","34,952,399",51.7,8.5,383,0
Department of Health Services & Sanitation,,,,,,,,383,0
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring &
evaluation, Research, &
learning.","20,600,000",,"10,310,000",,50.0,60.0,383,0
,"Administration & sup-
port services","26,393,818",,"9,901,000",,37.5,-,383,0
,"Human Resource Man-
agement & Development","26,600,000",,"400,000",,1.5,-,383,0
,"Infrastructure & Health
Facility Management","19,694,473","100,936,943","600,000",-,3.0,-,383,0
,"Health Financing & Uni-
versal Health Coverage
(UHC) coordination","26,300,000",,"100,000",,0.4,-,383,0
,"Standards & Quality
Assurance","550,000",,"100,000",,18.2,-,383,0
,"Community health
infrastructure services
(CHVs)","32,908,754",,"130,000",,0.4,-,383,0
Donor Funds,DANIDA,"26,754,689",,-,,-,-,383,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",384,0
"Preventive &
Promotive Health
Services","Human Nutrition &
Dietetics services","2,600,000",,"140,000",,5.4,-,384,0
,HIV/AIDS management,"11,970,000",,"1,400,000",,11.7,-,384,0
,TB control,"1,400,000",,"1,400,000",,100.0,-,384,0
,Malaria Control,"2,700,000",,"780,000",,28.9,-,384,0
,"Non-Communicable
Diseases (NCDs","1,600,000",,"135,000",,8.4,-,384,0
,"Disease surveillance/
Emergency preparedness","8,500,000",,"2,640,000",,31.1,-,384,0
,"Health promotion &
education","1,800,000",,"443,000",,24.6,-,384,0
,"Maternal & Reproductive
Health services","4,200,000",,"695,000",,16.5,-,384,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","1,400,000",,"768,500",,54.9,-,384,0
,"Expanded Program for
Immunization (Immuni-
zation)","3,400,000",,"350,000",,10.3,-,384,0
,"Gender-Based Violence
health services","900,000",,"225,000",,25.0,-,384,0
,"Neglected Tropical Dis-
eases services.","1,050,000",,"225,000",,21.4,-,384,0
,"Environmental health
services","2,300,000",,"369,000",,16.0,-,384,0
Donor Funds,Donor Funds-THS,"4,801,620",,-,,-,-,384,0
Pending Bills,Pending Bills,,"83,826,542",,"77,865,086",-,92.9,384,0
"Curative, Rehabil-
itative & Referral
Services","Health Products & Tech-
nologies","80,400,000",,"1,650,000",,2.1,-,384,0
,"Diagnostic & Rehabilita-
tion Services","800,000",,"195,000",,24.4,-,384,0
,Sub- Total,"309,623,354","184,763,485","32,956,500","77,865,086",10.6,42.1,384,0
"Department of Environment, Natural Resources, Climate Change and Disaster Management",,,,,,,,384,0
"General adminis-
tration & support
services",General administration,"37,967,116",-,"24,570,162",-,64.7,-,384,0
"Environment
Management &
Protection","Solid Waste Management
Services","9,267,000",-,"2,700,769",-,29.1,-,384,0
,Garbage Management,"35,000,000",,"16,000,000",,45.7,-,384,0
"Mazingira Youth
Programme","Mazingira Youth Pro-
gramme","24,000,000",,"12,059,900",,50.2,-,384,0
Donor Funds,"Climate change response
strategy","4,099,573",-,-,-,-,-,384,0
"Climate Change
Adaptation &
Mitigation","Climate change response
strategy","121,300,000","666,500,000","9,690,000",-,8.0,-,384,0
Pending Bills,Pending Bills,"1,300,000",,"1,000,000",,76.9,-,384,0
"Natural Resources
Management &
Forestry Develop-
ment",Forestry development,"1,823,223",-,-,-,-,-,384,0
,"Artisanal mining & quar-
ry services",-,-,-,-,-,-,384,0
,Sub- Total,"234,756,912","666,500,000","66,020,831",-,28.1,-,384,0
,,,,,,,360,384,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",385,0
Department of Finance & Economic Planning,,,,,,,,385,0
"General adminis-
tration & support
services","Administrative services
(accounting)","506,812,722",-,"126,794,863",-,25.0,-,385,0
,"Administrative services
(procurement)","31,720,000",-,"21,627,719",-,68.2,-,385,0
,"Administrative ser-
vices(Economic)","23,440,000","3,000,000","8,366,800",-,35.7,-,385,0
"Finance & Ac-
counting services",Accounting services,"174,840,790",-,"56,200,770",-,32.1,-,385,0
,"Emergency Activities/
Fund","15,000,000",,-,,-,-,385,0
"Resource Mobiliza-
tion services","Resource Mobilization
services","49,500,000",-,"13,582,870",-,27.4,-,385,0
,Revenue board services,"6,300,000",-,-,-,-,-,385,0
"Supply chain man-
agement services","Supply chain manage-
ment services","5,040,000","7,000,000","3,632,515",-,72.1,-,385,0
Audit services,Audit services,"38,138,326",-,"30,665,340",-,80.4,-,385,0
,"Internal Audit Com-
mittee","4,600,000",,"3,450,000",,75.0,-,385,0
"County Asset
Valuation",County Asset Valuation,"10,000,000",,"4,956,420",,49.6,-,385,0
Pending Bills,Pending Bills,"3,799,776","14,121,866","1,656,000","9,036,045",43.6,64.0,385,0
"Economic Plan-
ning Services","Policy plans & formu-
lation","18,000,000",-,"9,780,000",-,54.3,-,385,0
Budgeting Services,"Budget coordination &
management","66,516,061",-,"45,369,150",-,68.2,-,385,0
"County Statisti-
cal Information
Services","County Statistical Infor-
mation Services","9,146,243",-,"3,829,167",-,41.9,-,385,0
"County Budget &
Economic Forum
Services","County Budget & Eco-
nomic Forum Services","10,000,000",-,"6,157,350",-,61.6,-,385,0
,Sub- Total,"972,853,918","24,121,866","336,068,964","9,036,045",34.5,37.5,385,0
"Department of Lands, Physical Planning, Housing and Urban Development",,,,,,,,385,0
"General adminis-
trative services","Administrative Ser-
vices(lands)","39,100,756","14,600,087","20,964,272","3,299,672",53.6,22.6,385,0
,"Administrative Services(-
physical)","54,381,010","36,400,000","21,565,596",-,39.7,-,385,0
,"Administrative Ser-
vices(rongo)","11,244,625","10,346,227","3,974,270",-,35.3,-,385,0
,"Administrative Ser-
vices(kehancha)","12,204,624","5,400,000","3,120,000",-,25.6,-,385,0
,"Administrative Ser-
vices(migori)","11,244,625","17,505,755","3,479,682",-,30.9,-,385,0
,"Administrative Ser-
vices(awendo)","11,244,625","21,026,200","4,377,212",-,38.9,-,385,0
,Board Activities (Rongo),"6,300,000",,"800,000",,12.7,-,385,0
,"Board Activities(Ke-
hancha","6,300,000",,"1,000,000",,15.9,-,385,0
,Board Activities (Migori),"6,300,000",,"1,300,000",,20.6,-,385,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",386,0
,"Board Activities (Awen-
do)","6,300,000",,0,,-,-,386,0
"Physical Planning
Services","Physical Planning
Services","8,000,000",,"3,446,500",,43.1,-,386,0
Pending Bills,Pending Bills,"850,000","3,735,203","250,000","3,235,290",29.4,86.6,386,0
"Urban Develop-
ment Services","Urban Development
Services","6,957,244",,"610,100",,8.8,-,386,0
,Sub- Total,"180,427,509","109,013,472","64,887,631","6,534,962",36.0,6.0,386,0
"Department of Roads, Transport, Public Works and Infrastructural Development",,,,,,,,386,0
"General adminis-
tration & support
services","Administrative ser-
vices(roads)","104,249,883",,"41,738,168",,40.0,-,386,0
,"Administrative ser-
vices(works)","12,404,251",,"2,835,100",,22.9,-,386,0
"Road Develop-
ment, Maintenance
& Management",Mechanization service,-,"92,000,000",-,-,-,-,386,0
,Community access roads,-,"120,000,000",-,-,-,-,386,0
,Major roads,-,"350,000,000",-,"110,139,594",-,31.5,386,0
,Other Infrastructure,,"15,000,000",,-,-,-,386,0
,KRB-RMLF,,"60,442,438",,-,-,-,386,0
,"Bridges & culverts
services",-,"30,000,000",-,-,-,-,386,0
Pending Bills,Pending Bills,"5,959,600.00","68,769,371","5,959,600.00","68,769,233",100.0,100.0,386,0
"Transport Infra-
structure Manage-
ment Services","Transport management
services",-,"5,701,864",-,-,-,-,386,0
"Public works
services",Architectural Services,"3,410,000",,"1,360,400",,39.9,-,386,0
,"Building & construction
services.",,"32,500,000",,-,-,-,386,0
,"Quantity Surveyor’s
Services","1,880,000",,"1,074,300",,57.1,-,386,0
,"Mechanical & Electrical
Engineering services","1,740,000",,"1,535,200",,88.2,-,386,0
,"Structural engineering
services","1,716,000",,"1,270,500",,74.0,-,386,0
,Mechanization service,"1,020,000",,"230,700",,22.6,-,386,0
,Sub- Total,"132,379,734","774,413,673","56,003,968","178,908,827",42.3,23.1,386,0
"Department of Trade, Tourism, Industry, Market & Cooperative Development",,,,,,,,386,0
"Policy, Planning
& administrative
support services","Administrative support
services(trade)","82,403,268",-,"40,520,762",-,49.2,-,386,0
,"Administrative support
services(industrializa-
tion)","3,240,000",-,"1,962,592",-,60.6,-,386,0
,"Administrative support
services(tourism)","4,649,104",-,"1,579,000",-,34.0,-,386,0
,"Administrative support
services(cooperative)","4,500,000",-,"2,029,000",,45.1,-,386,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",387,0
"Trade Promotion,
Development &
Support to SMEs","Trade development
& promotion of SME
services","54,000,000",-,-,,-,-,387,0
,"Trade regulation &
information management
systems","5,629,825",-,"4,331,184",,76.9,-,387,0
,"Trade infrastructure
development services",,"19,626,000",,-,-,-,387,0
,Community projects,,"22,000,000",,-,-,-,387,0
"Legal metrology
services",Legal metrology services,"1,660,000",,"954,000",,57.5,-,387,0
"Industrial develop-
ment & investment
services","Industrial & enterprise
development","800,000","500,000,000","385,000",-,48.1,-,387,0
,"Investment promotion
services.","3,189,106",,"900,492",,28.2,-,387,0
Pending Bills,Pending Bills,"499,999","26,084,481",-,"20,494,006",-,78.6,387,0
"Liquor Licensing
and Control",Alcohol Fund,"5,474,299",,-,,-,-,387,0
,"Liquor Licensing and
Control","2,000,000",,"400,000",,20.0,-,387,0
"Tourism Research
& Development","Tourism product devel-
opment","2,940,000",,"1,364,500",,46.4,-,387,0
,"Tourism promotion,
investment & marketing","1,760,000","1,500,000","1,111,000",-,63.1,-,387,0
"Co-operative
Policy, Research
Advisory","Co-operative Policy,
Research Advisory","2,185,788",,"976,000",,44.7,-,387,0
"Co-operative De-
velopment & Pro-
motion Services","Co-operative Devel-
opment & Promotion
Services","5,320,000",-,"4,496,150",-,84.5,-,387,0
Co-operative Audit,Co-operative Audit,"2,154,004",,"225,000",,10.4,-,387,0
"Co-operative Gov-
ernance, Oversight
and Compliance","Co-operative Gover-
nance, Oversight and
Compliance","1,070,206",,"323,750",,30.3,-,387,0
,Sub- Total,"183,475,599","569,210,481","61,558,430","20,494,006",33.6,3.6,387,0
County Assembly Entity,,,,,,,,387,0
County Assembly,"General administration,
planning & support
service - All Sectors","724,778,413",-,"363,613,378",-,50.2,-,387,0
,"Oversight Management
services",-,-,-,-,-,-,387,0
,"Governance and Execu-
tive Management",-,-,-,-,-,-,387,0
,Legislative services,-,,-,-,-,-,387,0
Office of the Clerk,"Infrastructure Develop-
ment",-,"100,000,000",-,-,-,-,387,0
,"General administration,
planning & support
service - All Sectors",-,-,-,-,-,-,387,0
