Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Devel-
opment
Expen-
diture",212,1
Blue Economy,,,,,,,,212,1
,"Administration Planning
and Support Services","3,752,192","7,500,000","3,253,240","5,206,413",86.7,69.4,212,1
,Sub Total,"3,752,192","7,500,000","3,253,240","5,206,413",86.7,69.4,212,1
,Sub-programme,"111,500",,-,-,-,,212,1
,Sub-Total,"111,500",-,-,-,-,,212,1
Grand Total,,"3,863,692","7,500,000","3,253,240","5,206,413",84.2,69.4,212,1
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Devel-
opment
Expen-
diture",213,0
"Trade &
Tourism","Administration Planning
and Support Services","7,000,000",-,"701,400",-,10.0,-,213,0
,Sub Total,"7,000,000",-,"701,400",-,10.0,-,213,0
,"Promotion of Co-opera-
tive & Advisory services","47,200,567","35,000,000","23,646,222",-,50.1,-,213,0
,Sub-Total,"47,200,567","35,000,000","23,646,222",-,50.1,-,213,0
Grand Total,,"54,200,567","35,000,000","24,347,622",-,44.9,-,213,0
Water sanitation and Natural Resources,,,,,,,,213,0
,"Administration, planning
and support services","45,974,612",-,"25,985,291",-,56.5,-,213,0
,Sub-Total,"45,974,612",-,"25,985,291",-,56.5,-,213,0
"Water Resourc-
es Management","Water resources manage-
ment",-,"1,128,461,950",,"292,930,152",-,26.0,213,0
,Sub-Total,-,"1,128,461,950",-,"292,930,152",-,26.0,213,0
Grand Total,,"45,974,612","1,128,461,950","25,985,291","292,930,152",56.5,26.0,213,0
"Sports and
Talent Develop-
ment","Sports and Talent Devel-
opment","10,124,610","92,974,561","5,348,900","43,484,306",52.8,46.8,213,0
GRAND TOTAL,,"10,124,610","92,974,561","5,348,900","43,484,306",52.8,46.8,213,0
"Special Pro-
grammes",Special Programmes,"56,219,106",-,"6,021,800",-,10.7,-,213,0
,"Disaster Risk Manage-
ment",-,"20,161,770",-,-,,-,213,0
GRAND TOTAL,,"56,219,106","20,161,770","6,021,800",-,10.7,-,213,0
"Roads &
Transport
Services",Sub-Programme,,,,,,-,213,0
,,"353,340,721",-,"75,470,338",-,21.4,-,213,0
,,-,"1,174,514,808",-,"132,215,224",-,11.3,213,0
,Sub-Total,"353,340,721","1,174,514,808","75,470,338","132,215,224",21.4,11.3,213,0
Grand Total,,"353,340,721","1,174,514,808","75,470,338","132,215,224",21.4,11.3,213,0
Public Works,,,,,,,,213,0
,202013110,"20,000,000",-,"604,800",-,3.0,-,213,0
,Sub-Total,"20,000,000",-,"604,800",-,3.0,-,213,0
Grand Total,,"20,000,000",-,"604,800",-,3.0,-,213,0
Public Service Management,,,,,,,,213,0
,"Administration, Planning
and Support Services","4,969,381,302","75,000,000","1,958,466,088",-,39.4,-,213,0
,"Human Resource Devel-
opment","6,788,633",,-,-,-,-,213,0
Grand Total,,"4,976,169,935","75,000,000","1,958,466,088",-,39.4,-,213,0
Livestock,,,,,,,,213,0
,Sub-programme,"22,307,752","69,932,830","14,204,302","28,427,616",63.7,40.6,213,0
,Sub Total,"22,307,752","69,932,830","14,204,302","28,427,616",63.7,40.6,213,0
,Sub-programme,-,"20,558,824",-,"11,499,638",-,55.9,213,0
,Sub Total,-,"20,558,824",,"11,499,638",-,55.9,213,0
189,,,,,,,,213,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Devel-
opment
Expen-
diture",214,0
Grand Total,,"22,307,752","90,491,654","14,204,302","39,927,254",63.7,44.1,214,0
Lands & Energy,,,,,,,,214,0
,"Sub-programme 1.1
Administration, Planning
and Support Services","87,764,056",,,,0.0,-,214,0
,Sub Total,"87,764,056",,,,0.0,-,214,0
,"Sub-Programme 4.1 Land
use","6,519,938",,,,0.0,-,214,0
,"Sub-Programme 4.2 Land
Survey, Mapping and
Valuation","5,251,310","140,918,025",,,0.0,0.0,214,0
,Sub-Total,"11,771,248","140,918,025",,,0.0,0.0,214,0
,"Sub-Programme 5.1:
Physical Planning and
Development",-,"66,000,000",,,-,0.0,214,0
,Sub-Total,-,"66,000,000",,,-,0.0,214,0
,"Sub Program 7.1: Alter-
native energy technol-
ogies","10,150,000","50,662,410",,,0.0,0.0,214,0
,Sub-Total,"10,150,000","50,662,410",,,0.0,0.0,214,0
Grand Total,,"109,685,304","257,580,435",-,,0.0,0.0,214,0
"Health &
Sanitation","Non-Communicable
Disease Controls","55,799,547","6,966,025","48,833,523",,87.5,0.0,214,0
SUB-TOTAL,,"55,799,547","6,966,025","48,833,523",,87.5,0.0,214,0
,"County Health Care
Services","700,000,000","692,593,079","7,406,921",,1.1,0.0,214,0
SUB-TOTAL,,"700,000,000","692,593,079","7,406,921",,1.1,0.0,214,0
,"Administrative and Plan-
ning Services","1,109,703,733","290,786,318","818,917,415",,73.8,0.0,214,0
SUB-TOTAL,,"1,109,703,733","290,786,318","818,917,415",,73.8,0.0,214,0
,"Reproductive, Maternal,
Neonatal, Child, & Ado-
lescent Health (RMNCA)","9,814,150",-,"9,814,150",,100.0,-,214,0
SUB-TOTAL,,"9,814,150",,"9,814,150",,100.0,-,214,0
Grand Total,,"1,875,317,430","990,345,422","884,972,009",,47.2,0.0,214,0
"Gender, Culture & Social Services",,,,,,,,214,0
,Administration Services,"46,116,479",-,"36,519,232",-,79.2,-,214,0
,"Heritage Conservation
Programme","22,055,946","5,000,000","18,495,780",-,83.9,-,214,0
,Gender Development,"5,600,000","73,500,500","1,773,200","21,842,298",31.7,29.7,214,0
,Library Services,"1,226,976","5,674,160","222,500",-,18.1,-,214,0
,Social Protection,-,"6,170,500",-,"500,000",-,8.1,214,0
,"Sports and Talent Devel-
opment",-,"2,000,000",-,"1,999,980",-,100.0,214,0
Grand Total,,"74,999,401","92,345,160","57,010,712","24,342,278",76.0,26.4,214,0
Office of the Governor,,,,,,,,214,0
,Administrative services,"145,456,235",,"142,140,790",,97.7,-,214,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Devel-
opment
Expen-
diture",215,0
,"Governance and national
values","56,375,435",,"5,550,000",,9.8,-,215,0
,Sub Total,"201,831,670",,"147,690,790",,73.2,-,215,0
,Sub-Total,"201,831,670",,"147,690,790",,73.2,-,215,0
Grand Total,,"201,831,670",,"147,690,790",,73.2,-,215,0
Environment & Natural Resources,,,,,,,,215,0
,"Administration, planning
and support services","67,946,969",-,"54,725,273",-,80.5,-,215,0
,Sub Total,"67,946,969",-,"54,725,273",-,80.5,-,215,0
,"Natural resources conser-
vation and management",-,"6,000,000",,-,-,-,215,0
,"Environment Management
and Protection",,"500,000",,-,-,-,215,0
,Solid waste Management,,"12,500,000",,-,-,-,215,0
,Sub-Total,-,"19,000,000",-,-,,,215,0
Grand Total,,"67,946,969","19,000,000","54,725,273",-,80.5,-,215,0
Devolution & Civic Education,,,,,,,,215,0
,"Administration, Planning
and Support Services","60,634,761",-,"1,926,543","942,662",3.2,-,215,0
,Sub Total,"60,634,761",-,,,0.0,-,215,0
,Devolution Services,-,"42,811,865",-,-,-,-,215,0
,Sub-Total,-,"42,811,865",-,-,-,-,215,0
Grand Total,,"60,634,761","42,811,865",-,-,-,-,215,0
County Public Service Board,,,,,,,,215,0
,"Administration, Planning
and Support Services","43,424,548",-,"12,330,772",-,28.4,-,215,0
,Recruitment and Selection,"19,440,500",-,"4,121,500",-,21.2,-,215,0
Grand Total,,"62,865,048",-,"16,452,272",-,26.2,-,215,0
"Office of the
County Attor-
ney","Administration Planning
and Support Services","120,742,164",,"19,071,084",,15.8,-,215,0
,"Legal Advisory and Legis-
lative Drafting","15,796,702","24,000,000",,,0.0,0.0,215,0
