Programme,"Approved Estimates
Recurrent Development
Expenditure Expenditure",col_2,"Actual Expenditure as of 31st
December, 2023",col_4,Absorption Rate (%),col_6,page_number,table_index,Approved Estimates
"Culture and Heritage
(0904003067)",,"27,064,600.00","890,000.00",-,8.40,-,276,0,"10,600,000.00"
"Culture and Heritage
(0904003067)",,-,-,-,-,-,276,0,-
"Sports and Youth Devel-
opment (0905003067)",,-,"150,000.00",-,0.58,-,276,0,"25,700,000.00"
,,"Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",277,0,"Recurrent
Expenditure"
"Sports and Youth Devel-
opment (0905003067)",,"55,766,762.50",-,-,-,-,277,0,-
"Sports and Youth Devel-
opment (0905003067)",,-,-,-,-,-,277,0,-
"Administration
(0906003067)",,,"15,466,669.70","8,603,448.50",89.87,-,277,0,"17,209,978.50"
"Administration
(0906003067)",,"58,267,392.00","2,315,334.40",,21.01,-,277,0,"11,020,000.00"
TOTAL,,"140,598,754.5","24,745,014.10","8,603,448.50",28.92,6.12,277,0,"85,577,848.00"
Executive Services,,,,,,,277,0,
"County Coordination
Services702013060",,-,"859,345.50",-,19.19,-,277,0,"4,477,000.00"
"Audit Ser-
vices704013060",,-,"30,350,547.30",-,83.85,-,277,0,"36,195,436.50"
"General Administra-
tion704043060",,"11,840,486.00","16,580,831.85",-,32.74,-,277,0,"50,647,995.00"
"Media and Communica-
tion Services 707033060",,,"2,615,400.00",-,48.38,-,277,0,"5,406,260.50"
TOTAL,,"11,840,486.00","50,406,124.65",-,52.11,-,277,0,"96,726,692.00"
Education,,,,,,,277,0,
"Personnel Ser-
vices-0502023060",,-,"292,029,275.9",-,93.11,-,277,0,"313,629,610.5"
"Administration Planning
and Support Ser-
vices-0502013060",,"222,425,556.0","6,855,777.00","106,366,980.0",22.25,47.82,277,0,"30,819,314.50"
"Administration Planning
support service ECDE-
0501013060",,-,"6,170,875.00",-,18.33,-,277,0,"33,668,248.50"
"Administration Planning
support service VTC-
0503013060",,-,"2,200,503.00",-,28.86,-,277,0,"7,625,000.00"
"Scholarship and Bursa-
ry-0504013060",,-,"200,000,000.0",-,78.06,-,277,0,"256,210,000.0"
"Infrastructure develop-
ment Ecde-0501043060",,"105,897,600.0",-,-,-,-,277,0,-
"Infrastructure develop-
ment VTC-0503023060",,"63,957,500.00",-,-,-,-,277,0,-
TOTAL,,"392,280,656.0","507,256,430.9","106,366,980.0",79.02,27.12,277,0,"641,952,173.5"
Water Services,,,,,,,277,0,
"Construction and
maintenance of water
pipeline supply sys-
tems-1001023060",,"69,329,038.00",-,-,-,-,277,0,-
"1001033060-Develop-
ment of Borehole water
supply system",,"90,083,912.00",-,-,-,-,277,0,-
"1001043060-Develop-
ment/Construction of
surface water supply
systems",,"102,260,450.00",-,-,-,-,277,0,-
,,"Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",278,0,"Recurrent
Expenditure"
"1001063060-Community
Water Project",,"15,800,000.00",-,-,-,-,278,0,-
"1002013060-Personnel
Services",,-,"22,401,804.00",-,85.55,-,278,0,"26,184,726.00"
"1002023060-Administra-
tion Services",,"919,941,763.00","26,404,750.00","424,303,525.0",56.48,46.12,278,0,"46,750,572.00"
TOTALS,,"1,197,415,163.0","48,806,554.00","424,303,525.0",66.92,35.43,278,0,"72,935,298.00"
Roads and Public Works,,,,,,,278,0,
"Personnel Services
305013060",,-,"34,461,615.80",-,99.54,-,278,0,"34,621,341.00"
"Administration Plan-
ning support service
305023060",,"324,740,999.0","16,074,745.00","169,069,028.0",36.71,52.06,278,0,"43,793,050.00"
"Rehabilitation of Roads
Drainage & Bridges
202013060",,"237,967,612.5",,-,-,-,278,0,-
"Installation of street
Lighting Facilities
203013060",,"41,887,500.00",-,-,-,-,278,0,-
TOTALS,,"604,596,111.5","50,536,360.80","169,069,028.0",64.45,27.96,278,0,"78,414,391.00"
Tourism and ICT,,,,,,,278,0,
"Tourism Promotion
{0304013060}",,"9,500,000.00","1,369,517.50",-,49.96,-,278,0,"2,741,374.50"
"Personnel services
{0305013060}",,-,"12,559,583.15",-,91.34,-,278,0,"13,750,308.00"
"Administration services
{0305023060}",,"60,514,869.00","1,928,110.00","21,165,119.4",20.36,34.98,278,0,"9,471,895.50"
"Local area network
installation and ICT sup-
port {0308013060}",,"4,000,000.00","1,673,450.00",,40.51,-,278,0,"4,130,467.00"
TOTALS,,"74,014,869.00","17,530,660.65","21,165,119.4",58.25,28.60,278,0,"30,094,045.00"
County Public Service Board,,,,,,,278,0,
"Human Resource Plan-
ning (706013060)",,-,"26,035,428.00",-,70.99,-,278,0,"36,676,055.50"
TOTAL,,-,"26,035,428.00",-,70.99,-,278,0,"36,676,055.50"
Public Service & Administration,,,,,,,278,0,
"704043060 General
Administration",,"9,794,310.00","125,013,924.6",,636.70,-,278,0,"19,634,800.00"
"704013060 Audit Ser-
vices",,-,"17,896,813.00",-,16.52,-,278,0,"108,315,821.0"
"708033060 County com-
pliance and enforcement",,-,"763,222.00",-,20.27,-,278,0,"3,766,100.00"
"712013060 Sub County
Admin Msambweni",,-,"1,842,500.00",-,46.55,-,278,0,"3,958,000.00"
