Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st
December 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",288,1
County Administration,,,,,,,,288,1
"P3 General Adminis-
tration and Planning","0103014510 Headquar-
ters Administration
Services","17,900,000",,"9,196,998",-,51,-,288,1
"Information Commu-
nication and Technical","0505014510 ICT Infra-
structure and Connec-
tivity","2,400,000","1,600,000","826,600","313,200",34,20,288,1
"General Administra-
tion and Planning","0701034510County Ad-
ministration - Laikipia
East","1,800,000",,"341,600",-,19,-,288,1
"General Administra-
tion and Planning","0701044510 County Ad-
ministration - Laikipia
North","400,000",,"145,600",-,36,-,288,1
"General Administra-
tion and Planning","0701054510 County Ad-
ministration - Laikipia
West","450,000",,"96,000",-,21,-,288,1
Sub Total,,"22,950,000","1,600,000","10,606,799","313,200",46,20,288,1
County Administration,,,,,,,,288,1
"General Administra-
tion and Planning","0701064510 Compensa-
tion to Employees","3,226,955,793",,"1,107,131,101",-,34,-,288,1
Sub-Total,,"3,226,955,793",-,"1,107,131,101",-,34,-,288,1
County Administration,,,,,,,,288,1
"County Executive
Committee Support","0708014510 Executive
Support Service","29,500,000",,"15,767,302",-,53,-,288,1
"County Executive
Committee Support","0708024510 Legal
Services","4,900,000",,"2,030,500",-,41,-,288,1
"County Executive
Committee Support","0708034510 Intergov-
ernmental & Donor
Liaison","1,050,000",,"222,000",-,21,-,288,1
Sub-Total,,"35,450,000",-,"18,019,802",-,51,-,288,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",289,0
County Administration,,,,,,,,289,0
"County Administra-
tion","0702054510 Public
Participation","2,400,000",,"1,547,500",-,64,-,289,0
"County Administra-
tion","0702084510 County
Services Delivery and
Result Report","1,000,000",,"500,000",-,50,-,289,0
"County Administra-
tion","0702064510 Decentral-
ized Services",,"13,000,000",-,-,-,-,289,0
Sub-Total,,"3,400,000","13,000,000","2,047,500",-,60,-,289,0
County Administration,,,,,,,,289,0
"Security and Policing
Support Services","0723024510 Urban
Facilities Management
Services","6,000,000",,"708,866",-,12,-,289,0
"Human Capital
Management and
Devolution","0722024510 County
Public Service Board","14,500,000","1,500,000","6,581,508",-,45,-,289,0
"Human Capital
Management and
Devolution","0722034510 Information
and Records Manage-
ment","2,000,000",,"806,900",-,40,-,289,0
