Program,Sub Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),page_number,table_index
"General administration and
Support services",,"100,653,823","19,692,389","80,961,434",67,0
,General administration and support services,"100,653,823","19,692,389","80,961,434",67,0
"Housing Development and
Human Settlement",,-,-,-,67,0
,Housing Development,-,-,-,67,0
Crop Development,,"316,919,054",-,"316,919,054",67,0
,Cash Crops Development,"29,659,620",-,"29,659,620",67,0
,Food Crops Development,"1,000,000",-,"1,000,000",67,0
,Agricultural Extension and Training Services,"286,259,434",-,"286,259,434",67,0
Soil Conservation,,"600,000",-,"600,000",67,0
,Soil Conservation,"600,000",-,"600,000",67,0
Irrigation Development,,"24,700,000",-,"24,700,000",67,0
,Irrigation Development,"24,700,000",-,"24,700,000",67,0
"General Administration and
Support Services",,"96,058,255","18,406,551","77,651,704",67,0
,General administration and support services,"96,058,255","18,406,551","77,651,704",67,0
Livestock Development,,"50,943,128",-,"50,943,128",67,0
,Livestock Production,"45,683,120",-,"45,683,120",67,0
,Livestock Extension and Training Services,"5,260,008",-,"5,260,008",67,0
Cooperative Development,,"3,000,000",-,"3,000,000",67,0
,Cooperatives development,"3,000,000",-,"3,000,000",67,0
Veterinary Services,,"29,850,000",-,"29,850,000",67,0
,Disease Surveillance and control,"20,500,000",-,"20,500,000",67,0
,A I Services,"9,350,000",-,"9,350,000",67,0
"General administration and
support services",,"35,086,495","5,910,796","29,175,699",67,0
,General administration and support services,"35,086,495","5,910,796","29,175,699",67,0
"Irrigation and Drainage Infra-
structure",,-,-,-,67,0
,"Promotion of Irrigation and Drainage Devel-
opment and Management",-,-,-,67,0
Tourism Development,,"21,451,664",-,"21,451,664",67,0
,Tourism Development,"21,451,664",-,"21,451,664",67,0
"Trade and Enterprise Develop-
ment",,"2,250,000",-,"2,250,000",67,0
,Trade and enterprise development,"2,250,000",-,"2,250,000",67,0
"Culture and Heritage Preser-
vation",,"4,200,734",-,"4,200,734",67,0
,Culture and Heritage Preservation,"4,200,734",-,"4,200,734",67,0
"General administration and
support services",,"57,550,494","10,599,232","46,951,262",67,0
,General administration and support services,"57,550,494","10,599,232","46,951,262",67,0
Road Transport,,-,-,-,67,0
,Construction of Roads and Bridges,-,-,-,67,0
Road Improvement,,"457,212,642",-,"457,212,642",67,0
,Rural road Works,"457,212,642",-,"457,212,642",67,0
Public works,,"11,900,000",-,"11,900,000",67,0
,Public Works,"11,900,000",-,"11,900,000",67,0
Energy,,"8,500,000",-,"8,500,000",67,0
,Energy,"8,500,000",-,"8,500,000",67,0
"General administration and
support services",,"35,742,302","5,578,275","30,164,027",68,0
,General administration and support services,"35,742,302","5,578,275","30,164,027",68,0
Sports Development,,"17,115,959",-,"17,115,959",68,0
,Sports Infrastructure Development,"17,115,959",-,"17,115,959",68,0
Social Empowerment,,"94,626,441",-,"94,626,441",68,0
,Social Empowerment,"94,626,441",-,"94,626,441",68,0
Social Protection.,,"12,780,000",-,"12,780,000",68,0
,Social Protection,"12,780,000",-,"12,780,000",68,0
ICT Services,,"5,200,000",-,"5,200,000",68,0
,ICT Services,"5,200,000",-,"5,200,000",68,0
"General administration and
support services",,"216,736,544","37,545,482","179,191,062",68,0
,General administration and support services,"216,736,544","37,545,482","179,191,062",68,0
"Technical and Vocational Edu-
cation and Training (TVET)",,"231,667,259",-,"231,667,259",68,0
,Technical Vocational Education & Training,"231,667,259",-,"231,667,259",68,0
Pre-Primary Education,,"128,350,000",-,"128,350,000",68,0
,Pre-Primary Education,"128,350,000",-,"128,350,000",68,0
"General administration and
support services",,"1,061,616,883","298,555,877","763,061,006",68,0
,General administration and support services,"1,061,616,883","298,555,877","763,061,006",68,0
"Water and Sanitation Manage-
ment",,"200,766,099",-,"200,766,099",68,0
,Water Services,"200,766,099",-,"200,766,099",68,0
"Environmental Management
and Protection",,"84,523,177",-,"84,523,177",68,0
,Environmental conservation,"84,523,177",-,"84,523,177",68,0
Solid Waste Management,,"1,000,000",-,"1,000,000",68,0
,Solid waste management,"1,000,000",-,"1,000,000",68,0
"Lands, Physical Planning and
Urban Development",,"152,508,872","5,623,000","146,885,872",68,0
,"Lands, Physical planning and Urban Devel-
opment","152,508,872","5,623,000","146,885,872",68,0
"Preventive and Promotive
Health",,"80,491,967",-,"80,491,967",68,0
,Community and Environmental Health,"72,291,967",-,"72,291,967",68,0
,"Communicable & Non-Communicable Dis-
ease Prevention & Control","8,200,000",-,"8,200,000",68,0
"Curative and Rehabilitative
Health",,"1,039,657,585","43,577,588","996,079,997",68,0
,Commodity management,"95,257,103",-,"95,257,103",68,0
,County Hospitals,"386,716,174","43,577,588","343,138,586",68,0
,Primary Care Units,"546,684,308",-,"546,684,308",68,0
,Emergency Medical Services,"11,000,000",-,"11,000,000",68,0
"General administration and
support services",,"154,245,017","37,926,879","116,318,138",68,0
,General administration and support services,"154,245,017","37,926,879","116,318,138",68,0
"Open Governance, Transparen-
cy and Accountability",,"48,642,406","37,068","48,605,338",68,0
,Governance,"48,642,406","37,068","48,605,338",68,0
"General administration and
support services",,"88,505,897","17,312,720","71,193,178",68,0
,General administration and support services,"88,505,897","17,312,720","71,193,178",68,0
Public Service Management,,"55,604,013",-,"55,604,013",68,0
,Coordination of government functions,"51,629,292",-,"51,629,292",68,0
,Citizen participation and Civic Education,"3,974,721",-,"3,974,721",68,0
"General administration and
support services",,"160,058,110","41,886,058","118,172,052",68,0
,General administration and support services,"160,058,110","41,886,058","118,172,052",69,0
Financial Management,,"23,529,693","4,056,790","19,472,903",69,0
,"Monitoring, Evaluation and reporting","2,450,000",-,"2,450,000",69,0
,Economic Planning & Budgeting,"5,970,000","1,419,790","4,550,210",69,0
,Accounting services,"3,389,693","167,600","3,222,093",69,0
,Supply Chain Management,"2,690,000",-,"2,690,000",69,0
,Revenue Management Services,"9,030,000","2,469,400","6,560,600",69,0
"General administration, plan-
ning and support services",,"275,691,451","39,857,147","235,834,304",69,0
,"General administration, planning and support
services","275,691,451","39,857,147","235,834,304",69,0
Legislation and representation,,"281,529,640","67,968,933","213,560,707",69,0
,Legislation and representation,"281,529,640","67,968,933","213,560,707",69,0
Legislative oversight,,"69,128,790","10,322,200","58,806,590",69,0
,Legislative oversight,"69,128,790","10,322,200","58,806,590",69,0
,Grand Total,"5,740,594,394","664,856,984","5,075,737,410",69,0
