Program Description,Approved Budget,Actual Payments,Variance,page_number,table_index
Default - Non Programmatic,-,"47,287,791","(47,287,791)",263,0
Default - Non Programmatic,-,"47,287,791","(47,287,791)",263,0
Crop Development and management,"447,964,512","4,144,276","443,820,236",263,0
Crop Productivity Improvement,"447,964,512","4,144,276","443,820,236",263,0
Livestock Resources management and development,"439,543,867","17,500,000","422,043,867",263,0
Livestock Pests & Disease Management & Control,"136,133,135","17,500,000","118,633,135",263,0
Livestock Information Management,"303,410,732",-,"303,410,732",263,0
Fisheries development and management,"29,142,576",-,"29,142,576",263,0
Fish Products Production,"29,142,576",-,"29,142,576",263,0
Land Policy and Planning,"27,386,103","500,000","26,886,103",263,0
Development Planning and Land Reforms,"27,386,103","500,000","26,886,103",263,0
Housing Development and Human Settlement,"94,006,284",-,"94,006,284",263,0
Housing Development,"94,006,284",-,"94,006,284",263,0
Urban Mobility and Transport,"135,029,631","10,000,000","125,029,631",263,0
Metropolitan Planning & Infrastructure Development,"135,029,631","10,000,000","125,029,631",263,0
Roads Transport and Public Works,"1,263,014,572","325,478,045","937,536,527",263,0
"General Administration, Planning and Support Ser-
vices","73,030,223","3,314,885","69,715,338",263,0
Construction of Roads and Bridges,"1,066,534,032","313,284,300","753,249,732",263,0
Maintenance of Roads,"123,450,317","8,878,860","114,571,456",263,0
ICT Services,"53,759,279","630,000","53,129,279",263,0
ICT Infrastructure Development,"53,759,279","630,000","53,129,279",263,0
Tourism Development and Promotion,"578,779,667","684,150","578,095,517",263,0
Tourism Promotion and Marketing,"578,779,667","684,150","578,095,517",263,0
Preventive &Promotive Health Services,"501,512,500","10,217,560","491,294,940",263,0
Health Promotion,"501,512,500","10,217,560","491,294,940",263,0
Curative Health Services,"187,053,885",-,"187,053,885",263,0
Referral Services,"187,053,885",-,"187,053,885",263,0
"General Administration, Planning & Support
Services","1,873,610,455","424,209,978","1,449,400,477",263,0
"Health Policy, Planning and Financing","1,873,610,455","424,209,978","1,449,400,477",263,0
"Manpower Development, Employment and Produc-
tivity Management","1,432,745,372","379,654,550","1,053,090,822",263,0
Early Child Development and Education,"1,032,745,372","379,654,550","653,090,822",263,0
Infrastructure Development and Expansion,"400,000,000",-,"400,000,000",263,0
"General Administration, Planning and Support
Services","1,956,715,468","265,556,808","1,691,158,660",263,0
Administrative Services,"744,233,828","79,937,896","664,295,932",263,0
Coordination and Administrative Services,"409,098,675","99,489,540","309,609,135",263,0
Public service and Field Administrative Services,"592,237,439","81,872,132","510,365,307",263,0
Board Management Services,"211,145,526","4,257,240","206,888,286",263,0
Public Finance Management,"339,143,977","18,987,159","320,156,818",263,0
Accounting services,"48,760,875","684,238","48,076,637",263,0
Resource Mobilization,"107,587,783","951,600","106,636,183",263,0
"Budget Formulation, Coordination and Management","53,238,841","3,911,650","49,327,191",263,0
Supply Chain Management Services,"67,973,862","8,219,489","59,754,373",263,0
Internal Audit Services,"61,582,617","5,220,182","56,362,435",263,0
Economic Policy and County Planning,"852,979,892","106,223,268","746,756,624",263,0
Economic Planning Coordination,"786,866,430","99,193,350","687,673,080",263,0
Monitoring and Evaluation Services,"66,113,462","7,029,918","59,083,544",263,0
Legislation and Representation,"691,614,354","75,994,237","615,620,117",263,0
Legislative Oversight,"422,120,354","72,669,857","349,450,497",263,0
County Co-ordination Services,"249,354,000","3,217,180","246,136,820",263,0
Research and Policy,"20,140,000","107,200","20,032,800",263,0
