Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,,,,292,1
"Preventive and
Promotive Health
Services",Environmental & Health promotion,"74,608,471.50","31,502,258","43,106,213.50",42,292,1
,Nutrition,"14,144,518","123,231","14,021,287",1,292,1
,Communicable Disease Control,"83,111,734","40,254,375","42,857,359",48,292,1
,"Non-communicable Disease Preven-
tion & Control","35,870,935.63","12,351,646","23,519,289.63",34,292,1
,"Reproductive, Maternal, Neonatal,
child and Adolescent Health","61,112,750.25","17,515,106","43,597,644.25",29,292,1
,Sub total,"268,848,409.38","101,746,616","167,101,793.38",38,292,1
Curative Health,Hospital and Referral Services,"344,950,857.98","121,023,476","223,927,381.98",35,292,1
,Free Primary Health Services,"136,200,280.25","8,103,200","128,097,080.25",6,292,1
,Sub total,"481,151,138.23","129,126,676","352,024,462.23",27,292,1
"General Administra-
tion Planning and
Support Services",Health Infrastructure development,"9,049,174","17,800","9,031,374",-,293,0
,"Human Resource Management and
Development","50,562,074.75","6,143,529","44,418,545.75",12,293,0
,"Monitoring and Evaluation, Re-
search and Development","5,025,018.25","278,909","4,746,109.25",6,293,0
,"Health Policy, Planning & Financing","59,409,298.75","2,248,365","57,160,933.75",4,293,0
,"Health standards and quality assur-
ance Services","57,090,371","1,131,599","55,958,772",2,293,0
,Sub total,"181,135,936.75","9,820,202","171,315,734.75",5,293,0
COUNTY EXECUTIVE,,,,,,293,0
"Management of
County Affairs","General Administration and Support
Services (Governor, Deputy Gov-
ernor)","166,730,697","50,233,682","116,497,015",30,293,0
,"Administration of Human Resources
in County Public Service","59,404,595","14,468,217","44,936,378",24,293,0
,Sub County Administration,"165,018,388","39,442,370","125,576,018",24,293,0
,"Coordination, Supervision and Hu-
man Resource services (C S)","37,821,177","14,559,711","23,261,466",38,293,0
,Sub total,"428,974,857","118,703,980","310,270,877",28,293,0
"FINANCE, ECONOMIC PLANNING & ICT",,,,,,293,0
"General Administra-
tion Planning and
Support Services",Administration Services,"236,596,639","61,993,701","174,602,938",26,293,0
,ICT Services,"23,523,202","2,932,203","20,590,999",12,293,0
,Sub total,"260,119,841","64,925,904","195,193,937",25,293,0
"0706004210 P2
Public Finance
Management",Accounting Services,"33,881,646","11,693,999","22,187,647",35,293,0
,Resource Mobilization,"62,449,061","23,294,839","39,154,222",37,293,0
,Internal Audit,"16,079,558","3,835,062","12,244,496",24,293,0
,Supply Chain Management,"21,125,208","7,248,370","13,876,838",34,293,0
,"Budget Formulation Coordination
and Mgt","10,589,310","1,565,599","9,023,711",15,293,0
,Fiscal Planning,"57,706,152","4,913,527","52,792,625",9,293,0
,Sub total,"201,830,935","52,551,396","149,279,539",26,293,0
"General Administra-
tion Planning and
Support Services","General Administration Planning
and Support Services","6,890,240","1,860,896","5,029,344",27,293,0
,Sub total,"6,890,240","1,860,896","5,029,344",27,293,0
Special Programs,Special Programs,"15,121,022","3,573,064","11,547,958",24,293,0
,Sub total,"15,121,022","3,573,064","11,547,958",24,293,0
"AGRICULTURE, LIVESTOCK DEVELOPMENT, VETERINARY SERVICES & FISHERIES",,,,,,293,0
"General Administra-
tion Planning and
Support Services","Administration, Planning and Sup-
port Services","400,120,718","7,732,273","392,388,445",2,293,0
,Sub total,"400,120,718","7,732,273","392,388,445",2,293,0
"Livestock Resource
Management and
Development","Livestock policy development and
capacity building","16,495,816","3,160,100","13,335,716",19,294,0
