Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Performance
(%)",page_number,table_index
,,Total,"1,813,703,586","243,901,780","1,569,801,806",13.4,271,0
"Department of Lands, Housing and Urban Development",,,,,,,271,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance %,271,0
101005268,,"Policy Planning, General
Administration and Support
Services","67,918,132","8,393,627","59,524,505",12.4,271,0
,101015260,"General administration and
support services","66,645,732","8,393,627","58,252,105",12.6,271,0
,101025260,Policy and planning,"1,272,400",-,"1,272,400",-,271,0
105005268,,"Physical Planning and
Surveying Services","45,915,000",-,"45,915,000",-,271,0
,105015260,Physical Planning,"40,000,000",-,"40,000,000",-,271,0
,105025260,Surveying services,"5,915,000",-,"5,915,000",-,271,0
106005268,,"Housing Improvement
Development","140,300,000",-,"140,300,000",-,271,0
,106015260,"Housing Improvement
Services","140,300,000",-,"140,300,000",-,271,0
107005268,,"Management and
Development of Towns","140,855,300","680,000","140,175,300",0.5,271,0
,107015260,"Town Management and Co-
ordination","140,855,300","680,000","140,175,300",0.5,271,0
,,Total,"394,988,432","9,073,627","385,914,805",2.3,271,0
"Department of Roads, Transport and Public Works",,,,,,,271,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance %,271,0
201005270,,"General Administration,
Planning and Support
Services","87,365,819","13,406,616","73,959,203",15.3,271,0
,201055260,"Administration and support
services","85,204,966","12,657,116","72,547,850",14.9,271,0
,201065260,Policy and planning,"2,160,853","749,500","1,411,353",34.7,271,0
202005270,,"Roads Development and
Management","371,662,750",-,"371,662,750",-,271,0
,202025260,"Construction of roads and
bridges","100,620,000",-,"100,620,000",-,271,0
,202035260,"Rehabilitation and
maintenance of Roads","271,042,750",-,"271,042,750",-,271,0
,,Total,"459,028,569","13,406,616","445,621,953",2.9,272,0
"Department of Trade, Tourism, Industrialization and Cooperatives Development",,,,,,,272,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance %,272,0
301005271,,"Policy Planning, General
Administration and Support
Services","36,634,250","5,851,869","30,782,381",16.0,272,0
,301015260,"General administration and
support services","34,533,944","5,361,869","29,172,075",15.5,272,0
,301025260,Policy and planning services,"2,100,306","490,000","1,610,306",23.3,272,0
302005271,,"Trade, Cooperative and
Investment Development
and Promotion","67,121,640","1,000,800","66,120,840",1.5,272,0
,302015260,Cooperative promotion,"14,313,440","665,300","13,648,140",4.6,272,0
,302025260,Trade promotion,"52,808,200","335,500","52,472,700",0.6,272,0
303005271,,"Tourism Development and
Promotion","2,594,600",-,"2,594,600",-,272,0
,303015260,"Tourism promotion and
management","2,594,600",-,"2,594,600",-,272,0
,,Total,"106,350,490","6,852,669","99,497,821",6.4,272,0
"Department of Youths, Sports, Gender, Culture and Social Services",,,,,,,272,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance %,272,0
701005272,,"General Administration and
Support Services","41,062,338","5,881,140","35,181,198",14.3,272,0
,701015260,"General administration
support services","39,296,338","5,721,140","33,575,198",14.6,272,0
,701025260,"Policy development and
support services","1,766,000","160,000","1,606,000",9.1,272,0
902005272,,"Promotion and Management
of Sports","84,636,069","1,543,800","83,092,269",1.8,272,0
,902015260,Community Development,"65,393,345","932,000","64,461,345",1.4,272,0
,902035260,Cultural promotion heritage,"19,242,724","611,800","18,630,924",3.2,272,0
,,Total,"125,698,407","7,424,940","118,273,467",5.9,272,0
Public Service Board,,,,,,,272,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance %,272,0
1001005273,,"Policy Planning, General
Administration and Support
Services","81,300,278","14,569,381","66,730,897",17.9,272,0
,1001015260,"General administration and
support services","73,303,886","11,603,581","61,700,305",15.8,272,0
,1001025260,Policy and planning,"7,996,392","2,965,800","5,030,592",37.1,272,0
,,Total,"81,300,278","14,569,381","66,730,897",17.9,272,0
Public Service Management,,,,,,,272,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance %,272,0
101005274,,"Policy Planning, General
Administration and Support
Services","358,930,542","246,968,444","111,962,098",68.8,272,0
,101015260,"General administration and
support services","352,719,942","246,161,444","106,558,498",69.8,272,0
,101025260,Policy and planning,"6,210,600","807,000","5,403,600",13.0,272,0
701005274,,"General Administration and
Support Services","2,194,000","196,000","1,998,000",8.9,272,0
,701075260,Communication services,"2,194,000","196,000","1,998,000",8.9,272,0
