"Programmes","Sub- Programmes","Approved Budget","Actual Payments","Variance","Absorption","page_number","table_index"
,"","(Kshs)","(Kshs)","","(%)",,
"Health Services","Curative Health Care","1,000,000","800,000","200,000","80.0",1,1
"Health Services","Preventive Measures","500,000","400,000","100,000","80.0",1,1
"Education","Primary School Support","2,000,000","1,500,000","500,000","75.0",1,1
