Programme Description,Approved Budget,Actual Payments,Variance,page_number,table_index
,-,"1,017,000","(1,017,000)",232,1
Default - Non Programmatic,-,"1,017,000","(1,017,000)",232,1
,"264,969,053","2,118,209","262,850,844",232,1
Land and Crops Development,"3,900,000","617,260","3,282,740",232,1
Promotion Food Security,"261,069,053","1,500,949","259,568,104",232,1
,"121,173,298","200,000","120,973,298",232,1
Formation of Fisheries and Cooperatives,"5,000,000",-,"5,000,000",232,1
Value addition and marketing of fish products,"114,173,298","200,000","113,973,298",232,1
Local Poultry Development,"2,000,000",-,"2,000,000",232,1
,"32,500,000",-,"32,500,000",232,1
Land Policy and Planning,"22,500,000",-,"22,500,000",232,1
Land Survey,"10,000,000",-,"10,000,000",232,1
Agribusiness and Information Management,"4,200,000",-,"4,200,000",232,1
Agribusiness and Market Development,"4,200,000",-,"4,200,000",232,1
Livestock Resources Management and Development,"16,000,000","330,400","15,669,600",232,1
Livestock Diseases Management and Control,"16,000,000","330,400","15,669,600",232,1
Land Administration and Management,"5,319,000","269,000","5,050,000",232,1
Land Administration and Management,"5,319,000","269,000","5,050,000",232,1
Road Transport,"758,430,518","48,631,108","709,799,410",232,1
Construction of Roads and Bridges,"19,411,500","581,385","18,830,115",232,1
"General Administration, Planning and Support Services","739,019,018","48,049,723","690,969,295",232,1
,"30,000,000",-,"30,000,000",232,1
ICT Infrastructure Connectivity,"30,000,000",-,"30,000,000",232,1
,"3,300,000","617,540","2,682,460",232,1
Tourism Promotion and Marketing,"3,300,000","617,540","2,682,460",232,1
,"245,832,114","3,470,000","242,362,114",232,1
Domestic Trade Development,"245,832,114","3,470,000","242,362,114",232,1
Cooperative Development and Management,"23,879,074","1,739,238","22,139,836",232,1
Governance and Accountability,"3,100,000","561,238","2,538,762",232,1
Co-operative Advisory Services,"20,779,074","1,178,000","19,601,074",232,1
Trade Development and Promotion,"7,700,000","1,700,491","5,999,509",232,1
Domestic Trade Development,"4,600,000","1,439,491","3,160,509",233,0
Fair Trade and Consumer Protection,"3,100,000","261,000","2,839,000",233,0
Curative Health Services,"291,924,209","83,572,660","208,351,549",233,0
Forensic and Diagnostics,"3,000,000","83,160","2,916,840",233,0
Free Primary Healthcare,"288,924,209","83,489,500","205,434,709",233,0
,"3,000,000","136,500","2,863,500",233,0
Prevention Curriculum Development,"3,000,000","136,500","2,863,500",233,0
,"254,500,000","10,506,415","243,993,585",233,0
Early Childhood Development Education,"158,500,000","10,506,415","147,993,585",233,0
Motivation of Primary and Secondary School,"96,000,000",-,"96,000,000",233,0
,"87,437,600",-,"87,437,600",233,0
Infrastructure Development and Expansion,"87,437,600",-,"87,437,600",233,0
Youth Training and Development,"112,868,298",-,"112,868,298",233,0
Revitalization of Youth Polytechnics,"112,868,298",-,"112,868,298",233,0
"General Administration, Planning and Support Services","20,000,000",-,"20,000,000",233,0
County Administrative Services,"20,000,000",-,"20,000,000",233,0
,"571,150,000","104,778,298","466,371,702",233,0
"Legislation, Treaties and Advisory Services","323,400,000","60,689,927","262,710,073",233,0
Public Trusts and Estates Management,"7,000,000",-,"7,000,000",233,0
Oversight,"240,750,000","44,088,371","196,661,629",233,0
,"330,322,361","1,448,370","328,873,991",233,0
Human Resource Management,"16,198,711","1,448,370","14,750,341",233,0
Staff Training and Capacity Building,"314,123,650",-,"314,123,650",233,0
,"9,000,000","1,720,765","7,279,235",233,0
Budget Formulation Coordination and Management,"4,500,000","1,581,420","2,918,580",233,0
Economic Planning and CIDP Review,"4,500,000","139,345","4,360,655",233,0
,"5,500,000","328,045","5,171,955",233,0
Public Participation,"5,500,000","328,045","5,171,955",233,0
,"5,113,299,328","1,113,935,484","3,999,363,844",233,0
General Administration Planning and support Services,"5,113,299,328","1,113,935,484","3,999,363,844",233,0
Gender & Youth Empowerment,"32,100,000","186,200","31,913,800",233,0
Youth Development Services,"2,100,000","186,200","1,913,800",233,0
Gender & Socio-economic empowerment,"30,000,000",-,"30,000,000",233,0
Public Financial Management,"16,000,000","1,597,222","14,402,778",233,0
Accounting Services,"5,000,000",-,"5,000,000",233,0
Public Financial Management Reforms,"11,000,000","1,597,222","9,402,778",233,0
Audit Services,"11,949,999","3,088,580","8,861,419",233,0
County Governments Audit,"5,449,999","1,370,870","4,079,129",233,0
General Administration Planning and Support Services,"6,500,000","1,717,710","4,782,290",233,0
Control and Management of Public finances,"5,300,000","231,370","5,068,630",233,0
Budget implementation and Monitoring,"5,300,000","231,370","5,068,630",233,0
,"92,672,926","1,906,583","90,766,343",233,0
Social Assistance to vulnerable groups,"78,172,926","238,000","77,934,926",233,0
Persons Living With Disabilities,"5,000,000",-,"5,000,000",233,0
Disaster Fund Management,"9,500,000","1,668,583","7,831,417",233,0
,"50,052,096","6,500,200","43,551,896",233,0
Development and Management of Sports Facilities,"50,052,096","6,500,200","43,551,896",233,0
,"3,213,594","560,000","2,653,594",233,0
Development And Promotion of Culture,"3,213,594","560,000","2,653,594",233,0
,"15,000,000",-,"15,000,000",233,0
Environmental Leadership and Governance,"15,000,000",-,"15,000,000",233,0
,"28,600,000",-,"28,600,000",233,0
Hazardous Waste,"28,600,000",-,"28,600,000",233,0
Water Resources Management,-,"356,120","(356,120)",233,0
Water Supply Infrastructure,-,"356,120","(356,120)",233,0
Total,"8,567,193,468","1,390,945,798","7,176,247,670",233,0
