Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance,Absorption (%),page_number,table_index
Land Policy and Physical Planning Plans,"8,000,000",-,"8,000,000",-,79,0
Physical and spatial plans,"8,000,000",-,"8,000,000",-,79,0
Administrative and support services,"385,581,104",-,"385,581,104",-,79,0
Administrative and Support Services,"385,581,104",-,"385,581,104",-,79,0
Livestock production services,"93,645,730",-,"93,645,730",-,79,0
Veterinary support services,"18,350,000",-,"18,350,000",-,79,0
Administration and Support Services,"69,745,730",-,"69,745,730",-,79,0
Livestock Production,"5,550,000",-,"5,550,000",-,79,0
0 Fisheries production services,"200,000",-,"200,000",-,79,0
Fishery Services,"200,000",-,"200,000",-,79,0
Crop Production and Irrigation services,"6,200,000",-,"6,200,000",-,79,0
Extension Support Services and exhibition,"1,200,000",-,"1,200,000",-,79,0
Irrigation Development,"5,000,000",-,"5,000,000",-,79,0
Roads network and Transport services,"2,417,200",-,"2,417,200",-,79,0
Transport services,"2,417,200",-,"2,417,200",-,79,0
"General Administration and Support
Services","37,906,400",-,"37,906,400",-,79,0
"Administration, personnel and operation of
activities.","37,906,400",-,"37,906,400",-,79,0
Roads Development Program,"522,154,546",-,"522,154,546",-,79,0
Maintenance of Roads and Bridges,"522,154,546",-,"522,154,546",-,79,0
Public Works and Housing Program,"133,616,390",-,"133,616,390",-,79,0
Housing Development,"133,616,390",-,"133,616,390",-,79,0
Lands And Physical Planning Program,"244,506,000",-,"244,506,000",-,79,0
Planning and survey,"244,506,000",-,"244,506,000",-,79,0
Administrative and support Services,"119,250,255",-,"119,250,255",-,79,0
Administration and policy formulation,"119,250,255",-,"119,250,255",-,79,0
Departmental service programme,"1,350,000",-,"1,350,000",-,79,0
Weight and Measures services,"1,350,000",-,"1,350,000",-,79,0
"Trade And Co-operative Development
Program","2,400,000",-,"2,400,000",-,79,0
Trade Development and Weigh & Measures,"2,400,000",-,"2,400,000",-,79,0
Curative Services,"854,234,894",-,"854,234,894",-,79,0
"Medical Products, Appliances and Equip-
ment","454,000,000",-,"454,000,000",-,80,0
Development of Health Services,"331,914,894",-,"331,914,894",-,80,0
Referral Services,"68,320,000",-,"68,320,000",-,80,0
Preventive and Promotive Services,"76,157,119",-,"76,157,119",-,80,0
Health Promotion and Campaign,"2,075,645",-,"2,075,645",-,80,0
Public Health Services,"71,258,965",-,"71,258,965",-,80,0
Nutrition,"2,822,509",-,"2,822,509",-,80,0
"General Administration and Support
Services","2,115,197,442","897,657,411","1,217,540,031",42.4,80,0
"Administration ,Planning and M&E Service","2,115,197,442","897,657,411","1,217,540,031",42.4,80,0
ECD Program,"66,412,400",-,"66,412,400",-,80,0
ECD Training,"14,412,400",-,"14,412,400",-,80,0
"ECD, Polytechnic and Schools","52,000,000",-,"52,000,000",-,80,0
Youth polytechnics,"29,628,298",-,"29,628,298",-,80,0
Infrastructural development,"29,628,298",-,"29,628,298",-,80,0
"General Administration and Support
Services","546,817,941","(365,000)","547,182,941",(0.1),80,0
"Administration Operations and Mainte-
nance","364,754,463",-,"364,754,463",-,80,0
Public Service,"182,063,478","(365,000)","182,428,478",(0.2),80,0
County Executive Services,"215,520,000","27,176,351","188,343,649",12.6,80,0
Governor’s Office,"179,400,000","18,531,766","160,868,234",10.3,80,0
Deputy Governor’s Office,"36,120,000","8,644,585","27,475,415",23.9,80,0
Departmental Programs,"185,747,163","4,500,000","181,247,163",2.4,80,0
"Department Operations and Sub-County
Offices","120,152,000",-,"120,152,000",-,80,0
