Programme,Sub Programme,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,Default - Non Programmatic,-,"5,181,500","-5,181,500",-,352,1
,Sub Total,-,"5,181,500","-5,181,500",-,352,1
Programme,Sub Programme,Approved Budget,Actual Payments,Variance,"Absorption
(%)",352,1
"Tourism And Wildlife
Services",Tourism Development Services,"14,478,926",-,"14,478,926",-,355,0
,Sub Total,"14,478,926",-,"14,478,926",-,355,0
Curative Health Services,County Health Referral Hospital,"40,982,446",-,"40,982,446",-,355,0
,"Medical/Diagnostic Equipment &
Supplies","71,775,961",-,"71,775,961",-,355,0
,Sub Total,"112,758,407",-,"112,758,407",-,355,0
"Administration And Sup-
port Services","Administrative And Support
Services","1,986,195,906","469,629,395","1,516,566,511",23.6,355,0
,Sub Total,"1,986,195,906","469,629,395","1,516,566,511",23.6,355,0
Clinical Services,Clinical Services,"50,082,080",-,"50,082,080",-,355,0
,Sub Total,"50,082,080.",-,"50,082,080",-,355,0
Health Infrastructure,Health Infrastructure,"408,113,176",-,"408,113,176",-,355,0
,Sub Total,"408,113,176",-,"408,113,176",-,355,0
Basic Education,"Early Childhood Development
Education","109,804,479",-,"109,804,479",-,355,0
,Sub Total,"109,804,479",-,"109,804,479",-,355,0
"Youth Training And Devel-
opment",County Polytechnic,"93,469,603","1,123,610","92,345,993",1.2,355,0
,Upgrading Home-Craft,"7,198,965",-,"7,198,965",-,355,0
,Sub Total,"100,668,568","1,123,610","99,544,958",1.1,355,0
"Management And Develop-
ment Of Sports And Sports
Facilities",Sports Facilities,"77,762,691","6,468,380","71,294,311",8.3,355,0
,Sub Total,"77,762,691","6,468,380","71,294,311",8.3,355,0
"Administration And Sup-
port Services","Administration And Support
Services","653,756,935","82,205,292","571,551,643",12.6,355,0
,Sub Total,"653,756,935","82,205,292","571,551,643",12.6,355,0
"Early Childhood Education
And Training",ECDE Infrastructure,"2,495,568",-,"2,495,568",-,355,0
,Sub Total,"2,495,568",-,"2,495,568",-,355,0
"Social Development
Services","Social Welfare And Community
Development","8,153,975",-,"8,153,975",-,355,0
,Sub Total,"8,153,975",-,"8,153,975",-,355,0
"Public Finance Manage-
ment",Finance Services,"279,129,615","33,344,432","245,785,182",11.9,355,0
,Accounts Services,"3,602,215","895,560","2,706,655",24.9,355,0
,Procurement And Supply Services,"4,543,228","235,160","4,308,068",5.2,355,0
,Internal Audit Services,"6,873,734","661,800","6,211,934",9.6,355,0
,Sub Total,"294,148,792","35,136,952","259,011,839",11.9,355,0
"County Planning And Eco-
nomic Policy Management","Budget And Economic Affairs
Services","36,360,525","2,859,680","33,500,845",7.9,355,0
,"Central Planning And M&E
Services","680,000,000","110,417,996","569,582,004",16.2,355,0
,Sub Total,"716,360,525","113,277,676","603,082,849",15.8,355,0
"Human Resource Manage-
ment And Development",Training And Development,"3,234,300",-,"3,234,300",-,355,0
,Employee Support Services,"18,839,390",-,"18,839,390",-,355,0
,Sub Total,"22,073,690",-,"22,073,690",-,355,0
,Research And Surveys,"11,612,141",-,"11,612,141",-,355,0
,Legal Services,"20,000,000",-,"20,000,000",-,355,0
,Sub Total,"31,612,141",-,"31,612,141",-,355,0
Service Delivery,Registry,"5,044,978",-,"5,044,978",-,355,0
,Sub Total,"5,044,978",-,"5,044,978",-,355,0
,"Administration And Support
Services","552,837,165.","204,897,320","347,939,845",37.1,355,0
,,"552,837,165","204,897,320","347,939,845",37.1,355,0
