Department,Sub- Programme,"Approved Budget
(Kshs)","Actual
Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)"
"Infrastructure, Urban
Development & Energy",Totals,"39,083,436","3,023,662","36,059,774",7.7,179,0,,,
,"P 1: Administration, planning & support
Services","25,408,436","3,023,662","22,384,774",11.9,179,0,,,
,P 4: Infrastructure Development,"13,675,000",-,"13,675,000",-,179,0,,,
Lamu Municipality,TOTALS,"50,000,000",-,"50,000,000",-,179,0,,,
,"P 1: Administration, planning & support
Services","2,450,000",-,"2,450,000",-,179,0,,,
,P 1: Urban Development,"47,550,000",-,"47,550,000",-,179,0,,,
TOTAL VOTED EXPENDITURE,,"2,318,735,350","345,917,384","1,972,817,966",14.9,179,0,,,
,,,,,,183,1,Office of the Governor,,
,"Co-ordination and
Supervisory Services",,,"531,514,505",4.8,183,1,"Co-ordination and
Supervisory Services","558,128,499","26,613,994"
,Sub total,,,"531,514,505",4.8,184,0,,"558,128,499","26,613,994"
,,,,,,184,0,Finance and Revenue Management,,
,Revenue Management,,,"171,788,585",8.1,184,0,Revenue Management,"186,928,163","15,139,578"
,"Budget Formulation,
Coordination and
Implementation",,,"111,321,440",3.7,184,0,Financial Management,"115,652,240","4,330,800"
,Supply Chain Management,,,"4,271,964",-,184,0,Supply Chain Management,"4,271,964",-
,Accounts Services,,,"10,725,603",0.1,184,0,Accounts Services,"10,735,603","10,000"
,Audit Services,,,"4,071,320",0.7,184,0,Audit Services,"4,101,320","30,000"
,"Human Resource
Management and Support
Services",,,"282,003,460",0.1,184,0,"Human Resource Management
and Support Services","282,149,172","145,712"
,"County Planning and
Statistical Information
Services",,,"40,864,000",2.8,184,0,"County Planning and
Statistical Information
Services","42,062,000","1,198,000"
,Sub total,,,"625,046,372",3.2,184,0,,"645,900,462","20,854,090"
,,,,,,184,0,"Public Service, Quality Management and ICT",,
,Support Services,,,"(1,009,713,151)",380.9,184,0,"General Administration and
Support Services","359,484,762","1,369,197,913"
,Quality Management,,,"3,300,000",-,184,0,Quality Management,"3,300,000",-
,"Human Resource Capacity
Development",,,"93,436,384",-,184,0,"Training, Research and
Development","93,436,384",-
,Support Services,,,"39,492,840",-,184,0,"General Administration and
Support Services","39,492,840",-
,ICT Infrastructure,,,"22,837,119",-,184,0,ICT Infrastructure,"22,837,119",-
,"Closed Circuit Television
(CCTV)",,,"2,245,000",-,184,0,"Closed Circuit Television
(CCTV)","2,245,000",-
,Sub total,,,"(848,401,808)",262.9,184,0,,"520,796,105","1,369,197,913"
,,,,,,184,0,County Public Service Board,,
,"Human Resource
Administration",,,"68,271,675",1.1,184,0,"Human Resource
Administration","69,009,725","738,050"
,Sub total,,,"68,271,675",1.1,184,0,,"69,009,725","738,050"
,,,,,,184,0,"Roads, Transport and Public Works",,
,Support Services,,,"232,158,967",0.1,184,0,"General Administration and
Support Services","232,336,447","177,480"
,"Road Development and
Management",,,"914,395,249",0.9,184,0,"Road Development and
Management","922,499,617","8,104,368"
,"County Government
Buildings Services",,,"205,750,114",27,184,0,"County Government Buildings
Services","281,824,557","76,074,443"
,County Fleet Management,,,"129,704,913",-,184,0,County Fleet Management,"129,704,913",-
,Sub total,,,"1,482,009,243",5.4,184,0,,"1,566,365,534","84,356,291"
,,,,,,184,0,Health and Emergency Services,,
