Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance,Absorption (%),page_number,table_index
"Trade , tourism
and industry",Weights and measures,"2,550,000","94,890","2,455,110",1,148,0
,Liquor licensing,"2,450,000",-,"2,450,000",-,148,0
,Betting and gaming,"8,550,000",-,"8,550,000",-,148,0
,Sub total,"226,229,306","1,318,585","224,910,721",1,148,0
,"Administration and planning
services","52,165,252","3,086,162","49,079,090",6,148,0
,Sports development,"79,835,603","7,935,000","71,900,603",10,148,0
"Culture and social
services",Cultural services,"34,650,000",-,"34,650,000",-,148,0
,Social development,"6,700,000",-,"6,700,000",-,148,0
,Sub total,"173,350,855","11,021,162","162,329,693",6,148,0
,"General administration,
planning and support services","139,174,275","9,447,551","129,726,724",7,148,0
,Infrastructure development,"286,748,163",-,"286,748,163",-,148,0
Grand Total,,"12,238,790,961","1,158,394,781","11,080,396,180",9.5,148,0
