Sector,Description,Approved Budget,Actual Payments,Variance,Absorption,page_number,table_index
,"Micro and Small Business Support
Services","5,000,000",-,"5,000,000",-,100,0
,Infrastructure support,"2,581,925",-,"2,581,925",-,100,0
,Co-Operative Development,"8,000,000",-,"8,000,000",-,100,0
,"Co-operative training and
supervision","8,000,000",-,"8,000,000",-,100,0
"Public Services
Management","Public service administration,
planning and support services","139,307,540","45,000","139,262,540",-,100,0
,"General Administration Support
Services","139,307,540","45,000","139,262,540",-,100,0
Water & Sanitation,"Provision & Management of
domestic & livestock rural water
supply","62,353,668","300,000","62,053,668",1,100,0
,"Administration and Planning Support
Services","62,353,668","300,000","62,053,668",1,100,0
,Water Supply and Storage Services,"134,924,560",-,"134,924,560",-,100,0
,Water Supply and Storage,"131,924,560",-,"131,924,560",-,100,0
,"Civil Works-Establishment of Dams
& Pans","3,000,000",-,"3,000,000",-,100,0
"Environment & Natural
Resources","Conservation of Environment &
Natural Resources","58,456,715","319,000","58,137,715",1,100,0
,Administration and Support Services,"29,560,668","319,000","29,241,668",1,100,0
,Environmental Conservation,"28,896,047",-,"28,896,047",-,100,0
Health Services,"Health Preventive and Promotive
Services","165,273,436","37,157,116","128,116,320",23,101,0
,"Preventive and Promotive Health
Services","116,928,123","37,157,116","79,771,007",32,101,0
,"Disease Surveillance And Epidemic
preparedness","11,718,750",-,"11,718,750",-,101,0
,Health Infrastructure Projects,"36,626,563",-,"36,626,563",-,101,0
,Health Curative Services,"906,952,274","324,565,630","582,386,644",36,101,0
,Administration Support Services,"882,952,274","324,565,630","558,386,644",37,101,0
,"SP4 Administration Support
services( Medical Services)","24,000,000",-,"24,000,000",-,101,0
,Administration and Planning,"159,924,859",-,"159,924,859",-,101,0
,"Curative and Rehabilitative Health
Services","111,327,350",-,"111,327,350",-,101,0
,Curative Infrastructure Support,"48,597,509",-,"48,597,509",-,101,0
Total,,"4,977,602,389","517,829,779","4,459,772,611",10,101,0
