Programme,Sub Programme,Approved Budget,Actual Payments,Variance,Absorption (%),page_number,table_index,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)"
"Admin & co-
ordination of
county affairs, HR
Dev, Management,
Capacity Building","Human Resource Development and
Management","54,309,000","1,867,760","52,441,240",3,127,0,,,
,Sub Total,"54,309,000","1,867,760","52,441,240",3,127,0,,,
"General
Administration
Planning and
Support Services","General Administration Planning
and Support Services","1,415,231,420","357,289,541","1,057,941,879",25,127,0,,,
,Sub Total,"1,415,231,420","357,289,541","1,057,941,879",25,127,0,,,
"Representation
services",Representation Services,"290,650,000","30,524,601","260,125,399",11,127,0,,,
,Sub Total,"290,650,000","30,524,601","30,524,601",11,127,0,,,
"Promotion and
development of
sports; Youth
services","General Administration and Support
Services","259,708,552","55,340,556","204,367,996",21,127,0,,,
,Sub Total,"259,708,552","55,340,556","204,367,996",21,127,0,,,
ICT Services,ICT Services,"66,249,021",-,"66,249,021",-,127,0,,,
,Sub Total,"66,249,021",-,"66,249,021",-,127,0,,,
"Water Resources
Management,
Environment
Protection and
Conservation",Environmental Management,"55,944,735",-,"55,944,735",-,127,0,,,
,Water Provision and Management,"144,000,000",-,"144,000,000",-,127,0,,,
,"Renewable Energy and Climate
Change","5,000,000",-,"5,000,000",-,127,0,,,
,Sub Total,"204,944,735",-,"204,944,735",-,127,0,,,
"Administration
Planning and
Support Service","General Administration and Support
Services","241,811,792","79,488,894","162,322,898",33,127,0,,,
,Sub Total,"241,811,792","79,488,894","162,322,898",33,127,0,,,
Total,,"15,638,800,000","2,537,568,290","13,101,231,710",16,127,0,,,
County Attorney,,,,"30,905,107",33.2,131,1,"Administration Planning And
Support Services","46,287,500","15,382,393"
,,,,"30,905,107",33.2,131,1,Sub Total,"46,287,500","15,382,393"
Agriculture,,,,"198,789,332",21.0,131,1,"Administration, Planning and
Support services","251,490,561","52,701,229"
,,,,"48,747,191",-,131,1,Food Sufficiency Initiatives,"48,747,191",-
,,,,"46,207,962",-,131,1,"Agribusiness and Information
Management","46,207,962",-
,,,,"63,877,882",-,131,1,"Irrigation and Drainage
Infrastructure","63,877,882",
,,,,"357,622,368",12.8,131,1,Sub total,"410,323,597","52,701,229"
"Devolution, Public
service and Disaster
management",,,,"8,580,000",-,132,0,"Strategic Human Resource
Management","8,580,000",-
,,,,"286,349,866",3.8,132,0,"General Administration, Planning
& Support Services","297,597,866","11,248,000"
,,,,"294,929,866",3.7,132,0,Sub total,"306,177,866","11,248,000"
Education,,,,"349,488,297",26.5,132,0,"General administration, planning
and support services","475,242,071","125,753,774"
,,,,-,-,132,0,"Early Childhood development
education","224,304,462",-
,,,,"284,560,000",19.7,132,0,Education support services,"354,560,000","70,000,000"
,,,,-,-,132,0,Vocation Education and training,"102,546,266",-
,,,,"960,899,025",16.9,132,0,Sub total,"1,156,652,799","195,753,774"
"Environment,
Forestry, Natural
Resources & Wildlife",,,,"36,075,502",1.9,132,0,"Environment management and
protection","36,790,702","715,200"
,,,,"36,075,502",1.9,132,0,Sub Total,"36,790,702","715,200"
Economic Planning,,,,"14,389,300",0.9,132,0,"Administration, Support and
Planning Services","14,523,500","134,200"
,,,,"3,258,260",7.7,132,0,County Fiscal Planning,"3,531,500","273,240"
,,,,"8,372,936",3.5,132,0,"Statistical Information services /
Monitoring","8,673,266","300,330"
,,,,"26,020,496",2.6,132,0,Sub total,"26,728,266","707,770"
Finance,,,,"161,656,321",3.4,132,0,"Administration, Support and
Planning Services","167,345,535","5,689,214"
,,,,"18,583,380",4.8,132,0,"Budget Formulation, Coordination
and Management","19,523,500","940,120"
,,,,"7,983,850",3.1,132,0,Audit Service,"8,240,000","256,150"
,,,,"14,945,540",2.0,132,0,Accounting Services,"15,255,350","309,810"
,,,,"3,988,220",6.7,132,0,Supply Chain Management,"4,275,000","286,780"
,,,,"22,186,998",1.7,132,0,"Resource Mobilization &
Revenue Management","22,574,998","388,000"
,,,,"229,344,309",3.3,132,0,Sub total,"237,214,383","7,870,074"
Gender,,,,"12,600,682",21.7,132,0,General administration,"16,099,500","3,498,818"
,,,,"12,600,682",21.7,132,0,Sub total,"16,099,500","3,498,818"
Health,,,,"108,269,413",-,132,0,Curative and rehabilitative,"108,269,413",-
,,,,"2,378,064,845",18.0,132,0,"General Administration, Planning
& Support Services","2,898,629,546","520,564,701"
,,,,"35,321,229",-,132,0,.Maternal and Child Health,"35,321,229",-
,,,,"2,521,655,488",17.1,132,0,Sub total,"3,042,220,189","520,564,701"
Lands & Energy,,,,"95,694,578",0.2,132,0,"General Administration Planning
and Support services","95,891,349","196,771"
,,,,"117,795,600",0.2,132,0,Land policy and planning,"118,000,000","204,400"
,,,,-,-,132,0,Alternative Energy Technologies,"78,500,000",-
,,,,"291,990,178",0.1,132,0,Sub total,"292,391,349","401,171"
