Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance,Absorption (%),page_number,table_index
HEALTH,,,,,,214,1
"Planning and
administrative
support services","Health Management Informative
System","2,500,000",-,"2,500,000",-,214,1
,"Administrative And Support
Services","1,354,609,800","346,092,708","1,008,517,092",25.6,214,1
,Sub total,"1,357,109,800","346,092,708","1,011,017,092",25.5,214,1
"Preventive And
Promotive Health
Services",Community Health Services,"52,860,000",-,"52,860,000",-,214,1
,"Sanitation And Environmental
Health Services","1,000,000",-,"1,000,000",-,214,1
,Human Nutrition And Dietetics,"3,000,000",-,"3,000,000",-,214,1
,Communicable Disease Control,"1,000,000",-,"1,000,000",-,214,1
,Hiv And Aids Management,"2,800,000",-,"2,800,000",-,214,1
,Disease Surveillance/,"1,500,000",-,"1,500,000",-,214,1
,"Emergency Preparedness And
Response","1,000,000",-,"1,000,000",-,214,1
,Health Promotion,"1,500,000",-,"1,500,000",-,214,1
,Family& Reproductive Health,"12,600,000",-,"12,600,000",-,214,1
,Sub total,"77,260,000",-,"77,260,000",-,214,1
"Curative ,
Rehabilitative and
Referral services","Pharmaceutical And Non –
Pharmaceutical Commodities","242,880,395","7,064,573","235,815,822",2.9,214,1
,Diagnostic Services,"2,500,000",-,"2,500,000",-,214,1
,Sub total,"245,380,395","7,064,573","238,315,822",2.9,214,1
"Infrastructure
Development",Infrastructure Development,"301,196,664",-,"301,196,664",-,214,1
,Sub total,"301,196,664",-,"301,196,664",-,214,1
External Funding,Donor Funds,"97,800,000",-,"97,800,000",-,215,0
,Conditional Grants,"153,570,778",-,"153,570,778",-,215,0
,Sub total,"251,370,778",-,"251,370,778",-,215,0
AGRICULTURE,,,,,,215,0
"Agriculture (Policy,
Planning, General
Administration and
Support Services)",General administration,"152,134,680","38,227,352.95","113,907,327",25.1,215,0
,Sub total,"152,134,680","38,227,352.95","113,907,327",25.1,215,0
,"Field Extension Services and
support programme","4,000,000",-,"4,000,000",-,215,0
,Sub total,"4,000,000",-,,-,215,0
"Crop development
and management",Crop development,"31,000,000",-,"31,000,000",-,215,0
,Sub total,"31,000,000",-,"31,000,000",-,215,0
External Funding,Donor Funds,"61,000,000",-,"61,000,000",-,215,0
,Sub total,"61,000,000",-,"61,000,000",-,215,0
"Fisheries (Policy,
Planning, General
Administration and
Support Services)",General administration,"7,798,500","510,637",7287863,6.6,215,0
,"Field Extension Services and
support programme","4,201,500",-,4201500,-,215,0
,Sub total,"12,000,000","510,637",11489363,4.3,215,0
"Fisheries development
and management","Capture fisheries development &
management","5,400,000",-,"5,400,000",-,215,0
,"Aquaculture development and
extension","12,486,708",-,"12,486,708",-,215,0
,Sub total,"17,886,708",-,"17,886,708",-,215,0
"Livestock (Policy,
Planning, General
Administration and
Support Services)",General administration,"7,280,000",-,"7,280,000",-,215,0
,Sub total,"7,280,000",-,"7,280,000",-,215,0
"Livestock production
and management","Enterprise Development And
Value Addition","17,200,000","21,730","17,178,270",0.1,215,0
,Breeds improvement,"2,520,000",-,"2,520,000",-,215,0
,Sub total,"19,720,000","21,730","19,698,270",0.1,215,0
"Veterinary
Services (Policy,
Planning, General
Administration and
Support Services)",General administration,"6,874,000",-,"6,874,000",-,215,0
