Programme,Sub- Programme,Approved Budget (Ksh),"Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
HEALTH SERVICE,,,,,,207,1
"Preventive and Promotive
Health Care Services",Preventive Services,"25,652,122",-,"25,652,12",2 -,207,1
,Promotive health care,-,-,,- -,207,1
,Sub total,"25,652,122",-,,- -,207,1
Curative Health,Curative Health Care Services,"725,546,996","124,408,893","601,138,10",3 17.1,207,1
,Tertiary care,,,,,207,1
,Sub total,,,,,207,1
"General Administration and
Planning","General Administration and
Planning","2,601,413,335","597,408,225","2,004,005,11",0 23,207,1
,Sub total,,,,,207,1
Universal Health Coverage,Universal Health Coverage,"400,000,000",-,"400,000,00",0 -,207,1
OFFICE OF THE GOVERNOR,,,,,,207,1
"General Administration and
Planning","General Administration and
Planning","84,806,0000","43,852,355","40,953,645",51.7,208,0
Communication and Events,Communication and Events,"20,650,000",-,"20,650,000",-,208,0
"Disaster Management, Res-
cue and Emergency","Disaster Management, Rescue
and Emergency","16,950,000",-,"16,950,000",-,208,0
"Human Resource Manage-
ment",Human Resource Management,"136,800,000",-,"136,800,000",-,208,0
"Efficiency, Monitoring and
Evaluation","Efficiency, Monitoring and
Evaluation","7,100,000","1,097,800","6,002,200",15.5,208,0
,"Performance Management and
Appraisal","1,000,000",-,"1,000,000",-,208,0
"Partnership Development and
External Linkages","Partnership Development and
External Linkages","14,145,023",-,"14,145,023",-,208,0
"FINANCE, ECONOMIC PLANNING AND ICT",,,,,,208,0
"General Administration and
Planning","General Administration and
Planning","684,339,994","162,935,872","521,404,122",23.8,208,0
Public Finance Management,"Budget Coordination & Man-
agement","19,900,000","729,000","19,171,000",3.7,208,0
,Internal Audit,"4,950,000",-,"4,950,000",-,208,0
,Procurement Service,"4,100,000",-,"4,100,000",-,208,0
ICT Development,ICT Development,"17,139,132","1,621,533","15,517,599",9.5,208,0
"Economic Planning & Coor-
dination services","Economic Planning & Coordi-
nation services","10,500,000","38,500","10,461,500",0.4,208,0
"AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,208,0
"General Administration and
Planning","General Administration and
Planning","645,622,989","71,177,714","574,445,275",11,208,0
Agriculture Development,Agriculture Development,"27,008,000",-,"27,008,000",-,208,0
Aquaculture Development,Aquaculture Development,"7,628,000",-,"7,628,000",-,208,0
Livestock Development,Livestock Development,"7,628,000",-,"7,628,000",-,208,0
Animal Disease Management,Animal Disease Management,"22,628,000",-,"22,628,000",-,208,0
County Owned Enterprise,Agricultural Training Centre,"15,226,400",-,"15,226,400",-,208,0
,"Agricultural Mechanization
Service","525,600",-,"525,600",-,208,0
WATER AND IRRIGATION,,,,,,208,0
"General Administration and
Planning","General Administration and
Planning","111,120,000","23,296,661","87,823,339",21,208,0
Water Resource Management,Water Resource Management,"426,400,000",-,"426,400,000",-,208,0
Water Resource Management,Water Resource Management,"50,000,000",-,"50,000,000",-,208,0
"EDUCATION, TECHNOLOGY, GENDER AND SOCIAL SERVICE",,,,,,208,0
"General Administration and
Planning","General Administration and
Planning","747,830,856","197,712,372","550,118,484",26.4,208,0
Basic Education,Basic Education,"166,689,144",-,"166,689,144",-,208,0
"Technical & Vocational Edu-
cation Service","Technical & Vocational Educa-
tion Service","64,868,298",-,"64,868,298",-,208,0
"Gender, Social Development
& Children Service","Gender, Social Development
& Children Service","35,000,000",-,"35,000,000",-,208,0
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND PUBLIC WORKS",,,,,,208,0
"General Administration and
Planning","General Administration and
Planning","101,000,000","17,287,436","83,712,564",17.1,208,0
Meru Town Municipality,Meru Town Municipality,"166,890,200",-,"166,890,200",-,208,0
"Spatial, Planning, Survey and
Mapping","Spatial, Planning, Survey and
Mapping","40,000,000",-,"40,000,000",-,208,0
Public Works,Public Works,"100,000,000",-,"100,000,000",-,208,0
PUBLIC SERVICE ADMINISTRATION AND LEGAL AFFAIRS,,,,,,208,0
"General Administration and
Planning","General Administration and
Planning","27,474,600","502,277","26,972,323",1.8,208,0
