Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
The Executive,"Governor's Affairs &
Advisory Services","132,442,288","350,000","132,092,288",0.3,225,1
,"Deputy Governor's Affairs &
External Relations","77,286,579",-,"77,286,579",-,225,1
,"Cabinet Affairs, Policy
Research and Legal Services","120,987,682","1,777,457","119,210,225",1.5,225,1
,MV 2035 & E-Government,"25,950,714",-,"25,950,714",-,225,1
,Strategic Delivery Unit,"21,823,957",-,"21,823,957",-,225,1
"County Public Service
Board",Administration Unit,"130,469,239","4,481,705","125,987,534",3.4,225,1
"Finance and Economic
Planning",Administration Unit,"1,556,801,698","87,514,952","1,469,286,746",5.6,225,1
,Accounting Unit,"79,100,000","23,161,493","55,938,507",29.3,225,1
,"Planning and Monitoring
Unit","93,574,896","15,701,911","77,872,985",16.8,225,1
"Energy, Environment &
Waste Management","Administration, Planning and
Support Services","416,866,040","35,549,806","381,316,234",8.5,225,1
,Waste Management,"285,072,081",-,"285,072,081",-,225,1
,"Environmental Compliance
and Monitoring","167,065,338",-,"167,065,338",-,225,1
,Climate Change,"53,250,500",-,"53,250,500",-,225,1
,Energy,"20,250,500",-,"20,250,500",-,225,1
"Education, Information
Technology & MV 2035","General Administration,
Planning and Support Services","286,676,346","26,347,048","260,329,298",9.2,226,0
,Education headquarters,"126,359,535",-,"126,359,535",-,226,0
,Childcare,"64,650,000",-,"64,650,000",-,226,0
,Elimu Fund,"161,890,000",-,"161,890,000",-,226,0
,"Information Technology
Headquarters","122,273,119",-,"122,273,119",-,226,0
Health Services,Administration Unit,"2,551,268,459","390,459,098","2,160,809,361",15.3,226,0
,"Curative/Clinical Health
Services","266,500,326",-,"266,500,326",-,226,0
,"Preventive and Promotive
Services Unit","205,120,131",-,"205,120,131",-,226,0
,Special Programs,"22,588,394",-,"22,588,394",-,226,0
"Water, Sanitation &
Natural Resources",Administration unit,"68,984,955","1,810,746","67,174,209",2.6,226,0
,"Sanitation/Sewerage Services
Headquarters","609,430,666",-,"609,430,666",-,226,0
,Water Supply Headquarters,"938,006,011",-,"938,006,011",-,226,0
,Natural Resources,"54,800,000",-,"54,800,000",-,226,0
"Youth, Gender , Sports
and Cultural Affairs",Administration Unit,"186,314,141","9,855,087","176,459,054",5.3,226,0
,Youth Empowerment,"101,754,276",-,"101,754,276",-,226,0
,"Gender Affairs and Disability
Mainstreaming","44,000,000",-,"44,000,000",-,226,0
,Sports development,"206,913,664",-,"206,913,664",-,226,0
,Cultural Affairs,"66,890,078",-,"66,890,078",-,226,0
,"Public Recreation and
Entertainment","40,000,000",-,"40,000,000",-,226,0
"Trade, Tourism &
Investment",Administration Unit,"329,770,816","32,210,935","297,559,881",9.8,226,0
,Trade Development,"83,412,129",-,"83,412,129",-,226,0
,Development of Tourism,"98,412,128",-,"98,412,128",-,226,0
,"Investment Promotion and
Products Headquarters","91,412,129",-,"91,412,129",-,226,0
,"Ease of Doing Business-
Headquarters","14,001,998",-,"14,001,998",-,226,0
"Lands, Housing and
Physical Planning",Administration Unit,"233,119,225","10,778,316","222,340,909",4.6,226,0
,Land Management Unit,"78,075,000",-,"78,075,000",-,226,0
,Housing Development Unit,"120,290,000",-,"120,290,000",-,226,0
"Transport, Infrastructure
& Public Works",Administration Unit,"288,997,607","29,843,648","259,153,959",10.3,226,0
,Road and Transport Unit,"473,500,531",-,"473,500,531",-,226,0
,Works Unit,"63,789,385",-,"63,789,385",-,226,0
,"Transport Planning,
Management and Safety","146,305,365",-,"146,305,365",-,226,0
,Mechanical Services,"77,825,279",-,"77,825,279",-,226,0
,"Safety, Risk Management and
Rescue Services","42,250,000",-,"42,250,000",-,226,0
"Agriculture, Fisheries,
Livestock and Co-
operatives","Administration Unit-
Headquarters","166,036,421","12,958,576","153,077,845",7.8,226,0
,Crop Management Unit,"64,262,529",-,"64,262,529",-,226,0
,Livestock Unit,"29,242,330",-,"29,242,330",-,226,0
,Fisheries Unit-Headquarters,"126,273,771",-,"126,273,771",-,226,0
,Veterinary Services,"27,027,147",-,"27,027,147",-,226,0
,Cooperatives,"20,194,353",-,"20,194,353",-,226,0
