Programme,Sub Programme,Approved Budget,Actual Payments,Variance,Absorption (%),page_number,table_index
"Crop, Livestock
and Fisheries
Development and
Management","General Administration and Support
Services","487,774,051","94,820,312","392,953,739",19,125,1
,"Livestock Resource Management
and Development","133,618,241",-,"133,618,241",-,125,1
,Fisheries Development,"7,200,000",-,"7,200,000",-,125,1
,Crop Production and Management,"144,364,757",-,"144,364,757",-,125,1
,Sub Total,"772,957,049","94,820,312","678,136,737",12,125,1
"Land Management
and Physical
Planning; & Housing
Development","Land Management and Physical
Planning","197,914,246","41,023,723","156,890,523",21,125,1
,Sub Total,"197,914,246","41,023,723","156,890,523",21,125,1
"Municipal
Administration &
Urban Development","Municipal Administration and
Urban Development","1,905,993,000","10,000,000","1,895,993,000",1,125,1
,Sub Total,"1,905,993,000","10,000,000","1,895,993,000",1,125,1
"Maintenance of
Roads, Bridges,
Land Transport,
Construction &
Maintenance","Construction Of Road and Civil
Works","1,147,827,473","106,716,945","1,041,110,528",9,125,1
,Sub Total,"1,147,827,473","106,716,945","1,041,110,528",9,125,1
"Administration,
planning & support","General Administration and Support
Services","305,528,910","115,096,073","190,432,837",38,126,0
,Sub Total,"305,528,910","115,096,073","190,432,837",38,126,0
"Industrial,
Investments,
Tourism, Trade
and Cooperative
Development","General Administration and Support
Services","133,457,571","40,159,118","93,298,453",30,126,0
,"Trade, Industrial Development and
Investments","305,698,393","45,240,000","260,458,393",15,126,0
,"Tourism Development and
Promotion","20,550,128",-,"20,550,128",-,126,0
,"Cooperative Development and
Promotion","22,970,000",-,"22,970,000",-,126,0
,Enterprise Development,"44,168,391",-,"44,168,391",-,126,0
,Sub Total,"526,844,483","85,399,118","441,445,365",16,126,0
"Curative and
preventive health
care services","General Administration and Support
Services","20,000,000",-,"20,000,000",-,126,0
,Health Curative Services,"818,716,765",-,"818,716,765",-,126,0
,Sub Total,"838,716,765",-,"838,716,765",-,126,0
"Administration,
Planning and
Support Services","General Administration and Support
Services","3,516,816,907","949,153,259","2,567,663,648",27,126,0
,Sub Total,"3,516,816,907","949,153,259","2,567,663,648",27,126,0
"Preventive Health
Services",Community Health Services,"64,400,000",-,"64,400,000",-,126,0
,Sub Total,"64,400,000",-,"64,400,000",-,126,0
"Curative and
Rehabilitative Health
Services",County Hospital Infrastructure,"533,000,000","86,416,694","446,583,306",16,126,0
,Sub Total,"533,000,000","86,416,694","446,583,306",16,126,0
"County
Pharmaceutical
Services","Pharmaceutical and Non
Pharmaceutical Supplies","100,000,000",-,"100,000,000",-,126,0
,Sub Total,"100,000,000",-,"100,000,000",-,126,0
"Pre-primary
education, Promotion
of Culture; ICT and
social Services","Pre Primary Education and Youth
Polytechnics Services","266,299,402",-,"266,299,402",-,126,0
,Sub Total,"266,299,402",-,"266,299,402",-,126,0
"General
Administration and
support Services","General Administration and Support
Services","693,396,202","122,975,155","570,421,047",18,126,0
,Sub Total,"693,396,202","122,975,155","570,421,047",18,126,0
"Pre-primary
education, Vocational
Education and
Training",Early Childhood Development,"194,700,000",-,"194,700,000",-,126,0
,Sub Total,"194,700,000",-,"194,700,000",-,126,0
"Culture Gender
and Social Service
Development","Culture, Gender and Social Services","60,000,000",-,"60,000,000",-,126,0
,Sub Total,"60,000,000",-,"60,000,000",-,126,0
"Legislation and
Oversight of county
Government",Legislation and Oversight Services,"595,078,227","62,256,403","532,821,824",10,126,0
,Sub Total,"595,078,227","62,256,403","532,821,824",10,126,0
"Leadership and
Admin of HR
Management and
dev in County Public
Service","Human Resource Development and
Management Services","78,962,096","10,374,741","68,587,355",13,126,0
,Sub Total,"78,962,096","10,374,741","68,587,355",13,126,0
"Public Finance
Management and
Economic Policy and
Strategy","General Administration and Support
Services","1,024,992,846","272,372,704","752,620,142",27,126,0
,Financial Management Services,"248,376,722","48,224,309","200,152,413",19,126,0
,Economic Planning Services,"34,091,152","8,227,502","25,863,650",24,126,0
,Sub Total,"1,307,460,720","328,824,515","978,636,205",25,126,0
