Programme,Sub-programmes,"Approved Estimates
(Kshs)","Expenditure
(Kshs)",Variance (Kshs),"Absorption
(%)",page_number,table_index
"Economic and Financial Policy Formu-
lation and Management","Fiscal Policy Formula-
tion, Development and
Management","319,446,289","8,439,550","311,006,739",2.6,239,0
"FINANCE & ECONOMIC PLAN-
NING",,"5,522,877,540","198,986,512","5,323,891,028",3.6,239,0
Preventive & Promotive Health Services,"HIV/AIDS Prevention
& Control Unit","4,440,402",-,"4,440,402",-,239,0
,TB Control,"2,200,000",-,"2,200,000",-,239,0
,"Malaria Control &
Other Communicable
Diseases","1,400,000",-,"1,400,000",-,239,0
,"Reproductive Health
& Maternal Health
(RMNCAH)","148,661,321","1,505,702","147,155,619",1.0,239,0
,"Environmental / Public
Health","96,300,000",-,"96,300,000",0.0,239,0
Curative care,"County Referral Hos-
pitals","732,450,000","14,976,835","717,473,166",2.0,239,0
,"Health Centres &
dispensaries","305,338,679","1,343,018","303,995,661",0.4,239,0
"General administration, planning and
support services","Administration/Human
Resource for Health","5,324,566,646","760,779,424","4,563,787,222",14.3,240,0
,"Health Policy, Planning
& Financing","49,900,000","1,834,709","48,065,291",3.7,240,0
,Health Commodities,"651,957,500",-,"651,957,500",-,240,0
,"Research, Quality assur-
ance & standards unit","27,000,500",-,"27,000,500",-,240,0
,Coroner services unit,"33,000,000",-,"33,000,000",-,240,0
HEALTH,,"7,377,215,048","780,439,687","6,596,775,361",10.6,240,0
"General Administration Planning and
Support Services","Administration,
Planning & Support
Services","290,837,689","34,495,883","256,341,806",11.9,240,0
"Urban Planning, compliance & enforce-
ment",Urban planning,"32,500,000","3,500,200","28,999,800",10.8,240,0
,"Enforcement and com-
pliance","88,200,000","920,800","87,279,200",1.0,240,0
Land management,valuation services,"56,500,000","1,336,320","55,163,680",2.4,240,0
,land survey,"170,437,596","22,049,093","148,388,503",12.9,240,0
,Administrative services,"18,000,000","87,200","17,912,800",0.5,240,0
URBAN PLANNING AND LANDS,,"656,475,285","62,389,496","594,085,789",9.5,240,0
"General Administration Planning and
Support Services","General Administration,
Planning And Support
Services","1,078,097,939","192,641,971","885,455,968",17.9,240,0
"Roads, Drainage & Bridges","Construction Roads &
Drainages & Mainte-
nance","3,257,860,000","89,400","3,257,770,600",-,240,0
:Road Safety Interventions,"Transport Facilities &
Traffic Management","187,620,000",-,"187,620,000",-,240,0
Institutional Buildings & Maintenance,"Public street lighting
Installations & Mainte-
nances","230,000,000",-,"230,000,000",-,240,0
,"Motor Vehicle, Machin-
ery & Plant Mainte-
nance","11,200,000",-,"11,200,000",-,240,0
,"Institutional Buildings
Maintenance","14,500,000",-,"14,500,000",-,240,0
"PUBLIC WORKS ,TRANSPORT &
INFRASTRUCTURE",,"4,779,277,939","192,731,371","4,586,546,568",4.0,240,0
"General administration, planning and
support services","General Administration
& Support Services","1,149,631,494","115,344,384","1,034,287,110",10,240,0
Education services,"Quality Assurance and
Co-curriculum","1,000,000","236,000","764,000",23.6,240,0
,"Early Childhood Devel-
opment Centres","148,400,000",-,"148,400,000",-,240,0
,"Technical and Vocation-
al Training","88,904,947","956,400","87,948,547",1.1,240,0
Social Services,"General Administration
& Support Services","178,773,527","16,641,744","162,131,783",9.3,241,0
,"Gender and Community
Empowerment","30,800,000",-,"30,800,000",-,241,0
,"Development and
promotion of culture/
heritage","38,150,000","112,700","38,037,300",0.3,241,0
,"Development and pro-
motion of sports","239,000,000","10,633,422","228,366,578",4.4,241,0
,"Youth Empowerment
and Promotion","26,300,000","3,206,450","23,093,550",12.2,241,0
,"Social welfare and care
for the Aged","30,000,000","714,800","29,285,200",2.4,241,0
,"Promotion of Library
and Information
Services","4,300,000",-,"4,300,000",-,241,0
,"Rescue and Rehabil-
itation of Children
Services","41,200,000","335,000","40,865,000",0.8,241,0
"EDUCATION,YOUTH AFFAIRS,
SPORTS, CULTURE & SOCIAL
SERVICES",,"1,976,459,968","148,180,900","1,828,279,068",7.5,241,0
,,,,,,241,0
"General Administration Planning and
Support Services","General Administration
Planning and Support
Services","428,123,278","55,837,035","372,286,243",13.0,241,0
"Co-operative Development and Audit
Services","Cooperative Develop-
ment Services","34,000,000","3,786,600","30,213,400",11.1,241,0
,"Cooperative Audit
Services","12,281,300","60,000","12,221,300",0.5,241,0
Tourism Promotion and Marketing,Tourism Development,"43,000,000",-,"43,000,000",-,241,0
Trade development and Market Services,Trade Development,"170,000,000","631,400","169,368,600",0.4,241,0
,Market Services,"280,000,000",-,"280,000,000",-,241,0
,"Weights & Measures
Services","62,000,000",-,"62,000,000",-,241,0
,"Trade Licensing
Services","35,000,000",-,"35,000,000",-,241,0
,"Betting & Gaming
Services","21,000,000",-,"21,000,000",-,241,0
"TRADE,COMMERCE,TOURISM &
COOPERATIVES",,"1,085,404,578","60,315,035","1,025,089,543",5.6,241,0
"General Administration Planning and
Support Services","General Administration
Planning and Support
Services","297,662,603","29,740,315","267,922,288",10.0,241,0
Public Service Transformation,"Human Resource Man-
agement","701,000,000","325,596,199","375,403,801",46.4,241,0
,"Human Resource De-
velopment","74,785,035","13,115,467","61,669,568",17.5,241,0
"Performance Management and Public
Service Delivery","Performance Contract-
ing management","10,000,000","1,745,758","8,254,242",17.5,241,0
,"Governance Monitoring
and Evaluation","25,000,000","212,599","24,787,401",0.9,241,0
,"Quality Management
Systems and ISO certifi-
cation","9,000,000","212,599","8,787,401",2.4,241,0
PUBLIC SERVICE MANAGEMENT,,"1,117,447,638","370,622,937","746,824,702",33.2,241,0
"General Administration Planning and
Support Services","Administration,
Planning & Support
Services","231,481,909","34,943,947","196,537,962",15.1,241,0
Crop Development and Management,"Crop Production, Mar-
keting & Research","38,494,806","712,800","37,782,006",1.9,242,0
"Fisheries Development and Manage-
ment","Aquaculture Devel-
opment Marketing &
Research","31,509,644",-,"31,509,644",-,242,0
"Livestock Resources Management and
Development","Promotion of Dairy
Production, Extension
& Research","31,533,999",-,"31,533,999",-,242,0
":Animal Health, Safety and Quality
Assurance","Animal Research,
Diseases, Pest Control
& Quality Assurance","55,152,413",-,"55,152,413",-,242,0
Afforestation,Forestry Services,"24,532,637",-,"24,532,637",-,242,0
Food Systems and Surveillance,"Food Systems and Sur-
veillance Services","26,830,000",-,"26,830,000",-,242,0
"Agricultural Development Support
Project","Agricultural Develop-
ment Support Project","47,025,760",-,"47,025,760",-,242,0
"AGRICULTURE, LIVESTOCK
DEVELOPMENT, FISHERIES &
FORESTRY",,"486,561,168","35,656,747","450,904,421",7.3,242,0
,,,,,,242,0
"General Administration & Support
Services","General Administration
& Support Services","567,476,815","85,954,671","481,522,144",15.1,242,0
"Environment Management and Protec-
tion.","Solid waste manage-
ment","992,237,878","138,650,857","853,587,021",14,242,0
,"Beautification, Rec-
reation and Greening
Services","43,687,121",-,"43,687,121",-,242,0
,"Environment planning
Management Services","27,400,000","120,800","27,279,200",0.4,242,0
Water Resources Management,"Energy & Natural
resources","352,000,000","3,206,800","348,793,200",0.9,242,0
"ENVIROMENT,WATER,ENERGY
& NATURAL RESOURCES",,"1,982,801,814","227,933,127","1,754,868,687",11.5,242,0
"Housing Development and Human
Settlement",Urban Renewal,"298,000,000","429,000","297,571,000",0.1,242,0
,"Management of Rental
Housing","25,900,000","1,075,500","24,824,500",4.2,242,0
"General Administration Planning and
Support Services","Administration,
Planning & Support
Services","303,016,963","13,520,035","289,496,928",4.5,242,0
Building Services,"Building services re-
search and information","24,800,000","644,350","24,155,650",2.6,242,0
URBAN RENEWAL AND HOUSING,,"651,716,963","15,668,885","636,048,078",2.4,242,0
Ward Development,"Ward Development &
Administration","1,343,000,000","799,220","1,342,200,780",0.1,242,0
WARD DEVELOPMENT FUND,,"1,343,000,000","799,220","1,342,200,780",0.1,242,0
General Administrative Services,"General Administration
& Support Services","100,000,000","2,300,000","97,700,000",2.3,242,0
EMERGENCY FUND,,"100,000,000","2,300,000","97,700,000",2.3,242,0
Liquor Licensing & Regulation,"Liquor Licensing &
Regulation","250,000,000","90,883,384","159,116,616",36.4,242,0
LIQOUR LICENSING BOARD,,"250,000,000","90,883,384","159,116,616",36.4,242,0
,,,,,,242,0
COUNTY ASSEMBLY,"Legislation and Over-
sight","2,939,977,879","223,829,108","2,716,148,771",7.6,242,0
TOTAL VOTED EXPENDITURE,,"36,981,390,886","3,130,073,722","33,851,317,164",8.5,242,0
