Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Health and sanitation,,,,,,53,0
Preventive and Promotive Health Services,Health Promotion,"3,323,533,969","497,908,824","2,825,625,145",15.0,53,0
TOTAL,,"3,323,533,970","497,908,824","2,828,607,963",15.0,53,0
"Trade, Energy and Industrialization",,,,,,53,0
"General Administration, planning and
support services","General administration,
Planning and Support
Services","44,564,778","3,221,825","41,342,953",7.2,53,0
TOTAL,,"150,528,784","3,221,825","41,342,953",2.1,53,0
Education and Science,,,,,,53,0
"Administration, Planning and Support
Service","Administration,
Planning and Support
Service","1,173,562,669","294,261,302","947,677,067",19.2,53,0
"Vocational Training and Education
management services","Vocational Training and
Education management
services","235,225,464","1,250,000","233,975,464",43.1,53,0
ICT infrastructure,ICT infrastructure,"48,409,366","232,000",,,53,0
TOTAL,,"1,457,197,499","295,743,302","1,039,974,233",21.0,53,0
Tourism and Environment,,,,,,53,0
"Promotion of tourism sites and
programmes","Promotion of tourism
sites and programmes","213,716,261","29,226,241","184,490,020",13.7,53,0
TOTAL,,"213,716,261","29,226,241","184,490,020",13.7,53,0
County Public Service Board,,,,,,53,0
"General Administration, Planning and
Support Services","General Administration
,Planning and Support
Services","36,576,060","2,660,375","33,915,685",7.3,53,0
TOTAL,,"36,576,060","2,660,375","33,915,685",7.3,53,0
Public Service Management and Administration,,,,,,53,0
"General Administration Planning and
Support Services",Staff Development,"312,297,417","51,594,940","260,702,476",,53,0
County Secretary,,,,,,53,0
"General Administration Planning and
Support Services",Administration,"223,350,929","68,292,378","155,058,550",30.6,53,0
TOTAL,,"535,648,346","119,887,319","415,761,027",22.4,53,0
Agriculture,,,,,,53,0
"General Administration, Planning and
Support Services","Agricultural policy
formulation and legal
frame work","871,358,189","75,833,925","795,524,263",8.7,53,0
,Administrative services,"234,785,280","10,753,632","224,031,648",4.6,53,0
TOTAL,,"1,106,143,469","86,587,558","1,019,555,912",,53,0
Finance and Economic planning,,,,,,53,0
County Public Financial Management,Accounting Services,"22,613,408","5,141,800","17,471,608",22.7,53,0
,"Supply chain
management","27,685,248","1,405,280","26,279,968",5.1,53,0
,"Internal Revenue
collection","50,610,985","-639,000","51,249,985",-1.3,53,0
"County Economic and Financial Policy
Formulation and Management","County Economic
and Financial Policy
Formulation and
Management","944,134,894","175,873,394","768,261,500",18.6,53,0
TOTAL,,"1,045,044,535","181,781,474","863,263,061",17.4,53,0
Governor/D/Governor's office,,,,,,53,0
"General Administration planning &
support","Management and
Administration services","434,609,527.00","63,702,294.65","370,907,232.35",14.7,53,0
TOTAL,,"434,609,527","63,702,295","370,907,232",14.7,53,0
Roads and Public works,,,,,,54,0
"General administration, planning and
support Services","General administration,
planning and support
services","44,564,778.00","4,177,275.00","40,387,503.00",9.4,54,0
"Promotion of tourism sites and
programmes","Promotion of tourism
sites and programmes","213,716,261.00","29,226,241.45","184,490,019.55",13.7,54,0
"General Administration ,Planning and
Support Services","General Administration
,Planning and Support
Services","159,787,707","18,476,546","141,311,161",11.6,54,0
TOTAL,,"418,068,746","51,880,062","366,188,684",12.4,54,0
"Agriculture, Livestock, Fisheries, Irrigation and Co-operative development",,,,,,54,0
"General Administration, Planning and
Support Services","Agricultural policy
formulation and legal
frame work","871,358,189.00","75,833,925.50","795,524,263.50",8.7,54,0
,Administrative services,"234,785,280.40","10,753,632.00","224,031,648.40",4.6,54,0
Agriculture Institutions Development,"General Administration,
Planning and Support
services","319,000,000.00","115,304,033.70","203,695,966.30",36.1,54,0
TOTALS,,"1,425,143,469","201,891,591","1,223,251,878",14.2,54,0
"Gender, Youth, Culture and Sports",,,,,,54,0
Gender and Youth Empowerment,"Gender and Youth
Empowerment","246,191,663","9,500,205","236,691,458",3.9,54,0
TOTAL,,"246,291,663","9,500,205","236,791,458",3.9,54,0
County Assembly,,,,,,54,0
Legislation and Representation,"Legislation and
Representation","867,661,683","101,257,696","766,403,988",23.5,54,0
TOTAL,,"867,661,683","101,257,696","766,403,988",23.5,54,0
Grand Total,,"12,305,208,548","1,645,248,767","10,659,959,781",13.4,54,0
