Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index
THE EXECUTIVE OFFICE,,,,,,369,1
0701003360 P1 County Executive Services,"0701003360 P1 County
Executive Services","444,277,059","136,682,432","307,594,627",30.8,369,1
,Sub total,"444,277,059","136,682,432","307,594,627",30.8,369,1
THE COUNTY ASSEMBLY,,,,,,369,1
"General admin & support servic-
es(0701003710)","0715003360 P15 County
Legislative Services","760,194,403","173,000,000","587,194,403",22.8,369,1
,Sub total,"760,194,403","173,000,000","587,194,403",22.8,369,1
"FINANCE AND ECONOMIC PLAN-
NING",,,,,,369,1
"0701003360 P1Kenya Devolution Support
programme","0701003360 P1Kenya
Devolution Support pro-
gramme","142,000,000",,"142,000,000",-,369,1
"0707003360 P7 Public Finance Manage-
ment","0707003360 P7 Public
Finance Management","26,428,123",,"26,428,123",-,369,1
"0708003360 P8 Economic Planning Ser-
vices","0708003360 P8 Economic
Planning Services","14,455,600",,"14,455,600",-,369,1
"0717003360 P17 General Administration
and Support Services","0717003360 P17 General
Administration and Sup-
port Services","511,617,221","63,999,730","447,617,491",12.5,369,1
,Sub total,"694,500,944","63,999,730","630,501,214",9.2,370,0
"ROADS TRANSPORT AND PUBLIC
WORKS",,,,,,370,0
0201003360 P1 Road Transport Services,"0201003360 P1 Road
Transport Services","771,449,688",,,,370,0
"0202003360 P2 Public Works and Transport
Services","0202003360 P2 Public
Works and Transport
Services","44,570,000",,,,370,0
"0208003360 P8 General Administration and
Support Services","0208003360 P8 General
Administration and Sup-
port Services","91,732,455","31,378,024",,,370,0
,Sub total,"907,752,143","31,378,024","876,374,119",3.5,370,0
"AGRICULTURE AND LIVESTOCK
DEVELOPMENT",,,,,,370,0
1001003360 P1,"1001003360 P1 ,General
Administration","174,887,334","43,419,015",,,370,0
1001003361 P2,"Livestock Resource man-
agement","57,588,600",,,,370,0
1001003360 P3,"Veterinary Support
Services","22,900,000",,,,370,0
1001003360 P4,"Crop Development and
Management","27,658,600",,,,370,0
1001003360 P5,"Fisheries Development
and Management","12,128,027",,,,370,0
1001003360 P6,"Irrigation Management
Service","124,000,000",,,,370,0
1001003360 P7,"Kenya Climate Smart
Agriculture","175,020,320",,,,370,0
1001003360 P8,"Agriculture Sector Devel-
opment support prog","26,574,387",,,,370,0
1001003360 P9,"Agriculture Sector Devel-
opment support prog",,,,,370,0
,Sub total,"620,757,268","43,419,015","577,338,253",7.0,370,0
"PUBLIC HEALTH , MEDICAL SER-
VICE AND SANITATION",,,,,,370,0
"0401003360 P1 Curative, Rehabilitative and
Referral Services","0401003360 P1 Curative,
Rehabilitative and Referral
Services","258,110,000",,,-,370,0
"0402003360 P2 Preventive and promotive
services","0402003360 P2 Preventive
and promotive services","157,575,000",,,-,370,0
0406003360 P6 RMNCH,0406003360 P6 RMNCH,"295,732,057",,,-,370,0
0407003360 P7 TB & HIV-AIDS,"0407003360 P7 TB &
HIV-AIDS","11,168,000",,,-,370,0
0408003360 P8 Health Research Services,"0408003360 P8 Health
Research Services","9,596,000",,,-,370,0
"0403003360 P3 General Administration and
Support Services","0403003360 P3 General
Administration and Sup-
port Services","1,463,822,531",,,-,370,0
,Sub total,"2,196,003,588","309,221,990","1,886,781,598",14.1,370,0
WATER,,,,,,370,0
1001003360 P1 Water Services,"1001003360 P1 Water
Services","788,950,885",,,-,370,0
,Sub total,"788,950,885","23,424,358","765,526,527",3.0,370,0
"ENERGY , ENVIRONMENT & NATU-
RAL RESOURCES",,,,,,370,0
0206003360 P6 Energy Services,"0206003360 P6 Energy
Services","16,938,100",,,,370,0
"0207003360 P7 Environment & Natural
Resource Services","0207003360 P7 Environ-
ment & Natural Resource
Services","128,753,050",,,,370,0
"1002003360 P2 General Administration and
Support Services","1002003360 P2 General
Administration and Sup-
port Services","53,970,224","12,481,430","41,488,794",,371,0
1004003360 P4 Wildlife and Tourism,"1004003360 P4 Wildlife
and Tourism","27,722,800",,,,371,0
,Sub total,"227,384,174","12,481,430","41,488,794",5.5,371,0
"PUBLIC SERVICES, SPECIAL PROGRAM AND NATURAL RESOURCES",,,,,,371,0
"0210003360 P10 Public Participation
Services","0210003360 P10 Public
Participation Services","31,700,000",,,,371,0
0701003360 P1 County Executive Services,"0701003360 P1 County
Executive Services","1,270,000",,,,371,0
"662,752,2970704003360 P4 Human
Resources Management and decentralised
services","662,752,2970704003360
P4 Human Resources
Management and decen-
tralised services","475,918,297",,,,371,0
0716003360 P16 Special Programs,"0716003360 P16 Special
Programs","163,210,000",,,,371,0
"0713003360 P13 Environment, Beautifica-
tion and Sanitation services","0713003360 P13 Environ-
ment, Beautification and
Sanitation services","15,484,000",,,,371,0
"0714003360 P14 Engineering, Maintenance
and Physical infrastructure services","0714003360 P14 Engi-
neering, Maintenance and
Physical infrastructure
services","35,500,000",,,,371,0
"0720003360 P20 Service Delivery and
Performance Management","0720003360 P20 Service
Delivery and Performance
Management","5,400,000",,,,371,0
0721003360 P21 Governance and Ethics,"0721003360 P21 Govern-
ance and Ethics","1,870,000",,,,371,0
,Sub total,"730,352,297","135,522,284","594,830,013",18.6,371,0
"EDUCATION , YOUTH ,GENDER AND SOCIAL SERVICE",,,,,,371,0
"0501003360 P1 Sports promotion and
development","0501003360 P1 Sports
promotion and develop-
ment","80,108,700",,,,371,0
"0502003360 P2 Early Childhood Education
Development Services","0502003360 P2 Early
Childhood Education
Development Services","110,186,600",,,,371,0
"0503003360 P3 Gender, Culture and Social
services","0503003360 P3 Gen-
der, Culture and Social
services","85,251,000",,,,371,0
0504003360 P4 Youth polytechnics,"0504003360 P4 Youth
polytechnics","31,289,797",,,,371,0
"0507003360 P6 School Support and Devel-
opment Services","0507003360 P6 School
Support and Development
Services","116,000,000",,,,371,0
"0505003360 P5 General Administration and
Support Services","0505003360 P5 General
Administration and Sup-
port Services","420,101,646","84,027,810","336,073,836",20.0,371,0
,Sub total,"842,937,743","84,027,810","758,909,933",10.0,371,0
"ICT ,TRADE, INDUSTRIALIZATION
AND COOPERATIVE DEVLOPMENT",,,,,,371,0
0209003360 P9 ICT Infrastructure Services,"0209003360 P9 ICT Infra-
structure Services","48,576,000",,,,371,0
"0301003360 P1 General administration,
Planning and Support Services","0301003360 P1 General
administration, Planning
and Support Services","184,194,382","27,725,460","156,468,922",15.1,371,0
0302003360 P2 Trade Services,"0302003360 P2 Trade
Services","43,249,700",,,,371,0
0304003360 P4 Co-operatives Services,"0304003360 P4 Co-opera-
tives Services","22,846,000",,,,371,0
,Sub total,"298,866,082","27,725,460","271,140,622",9.3,371,0
