Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
"Forestry and Wildlife
Development and
Management",,"38,709,835","573,100","38,136,735",1.5,347,0
,"Forestry Management and Conser-
vation","3,826,370",-,"3,826,370",-,347,0
,Community Wildlife Conservation,"16,182,370","573,100","15,609,270",3.5,347,0
,"Forestry Development Infrastruc-
ture","13,500,000",-,"13,500,000",-,347,0
,Forestry Protection,"2,701,095",-,"2,701,095",-,347,0
,Prosopis Management,"2,500,000",-,"2,500,000",-,347,0
,"Water, Environment and Mineral
Resources",,,,-,347,0
"Water Supply and
Sanitation",,"377,108,533","109,918","376,998,615",-,347,0
,Construction of Dams,"70,000,000",-,"70,000,000",-,347,0
,"Construction and Desilting of
Water Pans/Rock Catchment","117,600,000",-,"117,600,000",-,347,0
,"Rehabilitation of Water Infrastruc-
ture","52,500,000","109,918","52,390,082",0.2,347,0
,"Drilling and Equipping of Bore-
holes","125,382,163",-,"125,382,163",-,347,0
,"Equipment of Quality Analysis
Laboratory","8,000,000",-,"8,000,000",-,347,0
,"Project Coordination and Manage-
ment","3,626,370",-,"3,626,370",-,347,0
"Water and Catchment
Protection",,"10,853,404","79,890","10,773,514",0.7,347,0
,Water Resources Management,"2,053,404",-,"2,053,404",-,347,0
,Drought Mitigation,"8,800,000","79,890","8,720,110",0.9,347,0
"Water Sector Govern-
ance",,"25,205,109","659,400","24,545,709",2.6,347,0
,Planning and Coordination,"25,205,109","659,400","24,545,709",2.6,347,0
"Environmental Gov-
ernance, Compliance,
Conservation, Protec-
tion and Management",,"17,482,005","122,800","17,359,205",0.7,347,0
,"Environmental Governance and
Compliance","6,798,601","122,800","6,675,801",1.8,347,0
,"Environmental Protection and
Conservation","2,453,404",-,"2,453,404",-,347,0
,Plastic Collection Re-use Facility,"5,000,000",-,"5,000,000",-,347,0
,Climate Change and Adaptation,"3,230,000",-,"3,230,000",-,347,0
"Mineral Resource
Mapping and Manage-
ment",,"8,754,218",-,"8,754,218",-,347,0
