Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index,Approved Budget(Kshs),Actual Payments (Kshs),Variance (Kshs.)
"PUBLIC WORK ,LAND AND HOUSING",,,,,,372,0,,,
"0101003360 P1 General Administration
and Support Services","0101003360 P1 General
Administration and Sup-
port Services","64,796,826","12,083,615","52,713,211",18.6,372,0,,,
Government Building Services,"0109003360 P9 Govern-
ment Building Services","922,400",,,,372,0,,,
Land Policy and Physical Planning,"0111003360 P11 Land
Policy and Physical
Planning","118,796,000",,,,372,0,,,
"0202003360 P2 Public Works and Transport
Services","0202003360 P2 Public
Works and Transport
Services","19,728,100",,,,372,0,,,
,Sub total,"204,243,326","12,083,615","192,159,711",5.9,372,0,,,
WAJWASCO,,,,,,372,0,,,
1003003360 P3 WAJWASCO,"1003003360 P3 WA-
JWASCO","416,327,493","8,572,868.50","407,754,625",2.1,372,0,,,
,Sub total,"416,327,493","8,572,869","407,754,625",,372,0,,,
COUNTY PUBLIC SERVICE BOARD,,,,,,372,0,,,
"0718003360 P18 County Public Service
Board Services","0718003360 P18 County
Public Service Board
Services","67,259,465",,,,372,0,,,
,Sub total,"67,259,465","11,740,662","55,518,803",17.5,372,0,,,
MUNICIPALITY,,,,,,372,0,,,
"0719003360 P19 Urban Development
Services","0719003360 P19 Urban
Development Services","466,609,262",,,,372,0,,,
,Sub total,"466,609,262","27,120,000","439,489,262",5.8,372,0,,,
,,,,,,372,0,,,
Grand Total,,"9,666,416,132","1,100,399,679","8,445,315,715",11.4,372,0,,,
-County Executive,"General Administration
,planning and Support
Services",,,,17.8,377,1,"488,146,277","86,989,746","401,156,531"
,County Executive Affairs,,,,31.8,377,1,"32,157,399","10,231,576","21,925,823"
,County Public Service Board,,,,17.7,377,1,"5,291,520","939,200","4,352,320"
,Field Administration service,,,,26.5,377,1,"10,515,680","2,786,300","7,729,380"
,"Liaison and Intergovernmen-
tal service",,,,16.5,377,1,"10,933,850","1,803,100","9,130,750"
,Sub total,,,,18.8,377,1,"547,044,727","102,749,922","444,294,805"
