Programme Description,Approved Budget,Actual Payments,Variance,page_number,table_index
"General Administration, Planning and Support Services","446,977,147","53,462,764","393,514,383",105,0
General Administration and Support Services,"446,977,147","53,462,764","393,514,383",105,0
Livestock Resources Management and Development,"2,741,900",-,"2,741,900",105,0
Veterinary Services,"2,741,900",-,"2,741,900",105,0
Fisheries Development and Management,"3,822,078",-,"3,822,078",105,0
Fisheries,"3,822,078",-,"3,822,078",105,0
Land Policy and Planning,"397,844,200",-,"397,844,200",105,0
Physical Planning,"82,121,900",-,"82,121,900",105,0
Land Survey and Mapping,"11,686,000",-,"11,686,000",105,0
,"7,102,000",-,"7,102,000",105,0
,"296,934,300",-,"296,934,300",105,0
"Animal Husbandry Livestock Resource Management and
Development","89,289,241","58,800","89,230,441",105,0
Animal Husbandry,"27,371,422",-,"27,371,422",105,0
County Abattoirs,"1,979,284","58,800","1,920,484",105,0
Animal Disease Control,"59,071,161",-,"59,071,161",105,0
Livestock Sale Yards,"867,374",-,"867,374",105,0
Agricultural Development,"27,022,769",-,"27,022,769",105,0
Crop Husbandry,"14,387,500",-,"14,387,500",105,0
Plant Disease Control,"1,959,419",-,"1,959,419",105,0
Agricultural Mechanization Services,"7,897,500",-,"7,897,500",105,0
Demonstration Farm,"1,108,200",-,"1,108,200",105,0
Agricultural Training Centre,"1,670,150",-,"1,670,150",105,0
Environment Management,"138,432,189","5,613,380","132,818,809",105,0
Environmental Protection,"126,848,231","5,491,130","121,357,101",105,0
Noise Pollution Management,"2,600,000","122,250","2,477,750",105,0
Control of Air Pollution,"1,533,958",-,"1,533,958",105,0
,"7,450,000",-,"7,450,000",105,0
"General Administration, Planning and Support Services","854,599,166","19,596,975","835,002,191",105,0
Headquarters Administrative Services,"107,806,001","19,596,975","88,209,026",105,0
Roads,"695,276,479",-,"695,276,479",105,0
Energy,"20,100,000",-,"20,100,000",105,0
Fire Fighting,"9,300,000",-,"9,300,000",105,0
Transport,"22,116,686",-,"22,116,686",105,0
Energy and Infrastructure,"26,832,572","1,890,000","24,942,572",105,0
Housing,"26,832,572","1,890,000","24,942,572",105,0
"Public Works, Transport and Housing Development","10,000,000",-,"10,000,000",105,0
Housing Development,"10,000,000",-,"10,000,000",105,0
Roads and Public Works,"14,150,000","4,242,100","9,907,900",105,0
Public Works,"14,150,000","4,242,100","9,907,900",105,0
"General Administration, Planning and Support Services","72,984,939","17,945,742","55,039,197",105,0
"General Administration, Planning and Support Services","72,984,939","17,945,742","55,039,197",105,0
Trade Development,"164,381,198","2,288,100","162,093,098",105,0
Trade Licensing,"2,774,000","343,000","2,431,000",105,0
Trade Development,"137,478,470","899,200","136,579,270",105,0
Cooperative Services and Development,"17,161,592","122,500","17,039,092",105,0
Enterprise Development,"6,967,136","923,400","6,043,736",106,0
Culture And Local Tourism Promotion,"8,366,156",-,"8,366,156",106,0
Local Tourism Promotion,"8,366,156",-,"8,366,156",106,0
"General Administration, Planning and Support Services","1,971,992,905","376,813,568","1,595,179,337",106,0
General Administration and Support Services,"1,971,992,905","376,813,568","1,595,179,337",106,0
Curative Health Services,"312,834,835",-,"312,834,835",106,0
Medical Services,"312,834,835",-,"312,834,835",106,0
Curative and Rehabilitative,"10,059,700","306,115","9,753,585",106,0
Ambulance services,"10,059,700","306,115","9,753,585",106,0
Public Health and Sanitation,"229,558,695","9,402,788","220,155,907",106,0
Preventive and Promotive,"209,568,093","8,894,193","200,673,900",106,0
Licensing and control of undertaking,"10,358,518","254,250","10,104,268",106,0
Sanitation,"4,526,166",-,"4,526,166",106,0
Mobile Clinics,"5,105,918","254,345","4,851,573",106,0
"General Administration, Planning and Support Services","394,142,388","89,269,264","304,873,125",106,0
Headquarters Administrative Services,"394,142,388","89,269,264","304,873,125",106,0
"Social Protection, Culture and Recreation","1,100,000",-,"1,100,000",106,0
Homecraft Centres Development,"1,100,000",-,"1,100,000",106,0
Education Support,"577,339,343",-,"577,339,343",106,0
Pre-Primary Education,"429,820,045",-,"429,820,045",106,0
Home Craft Centres,"147,519,298",-,"147,519,298",106,0
Social Protection and Recreation,"11,189,554","516,600","10,672,954",106,0
Control of Drugs and Pornography,"4,735,654","173,600","4,562,054",106,0
Liquor Licensing,"6,048,700","343,000","5,705,700",106,0
Betting and Casinos,"405,200",-,"405,200",106,0
General Administration and Policy Coordination,"2,777,818,400","172,667,304","2,605,151,096",106,0
Headquarters Administrative Services,"2,744,036,400","172,558,904","2,571,477,496",106,0
County Executive Committee,"16,932,000",-,"16,932,000",106,0
County Inspectorate,"16,850,000","108,400","16,741,600",106,0
Public Services Coordination and Management,"117,550,000",-,"117,550,000",106,0
Human Resource Management,"117,550,000",-,"117,550,000",106,0
"Legislation, Representation and Oversight","90,610,523","13,684,950","76,925,574",106,0
Capacity Building and Training,"14,500,000","2,626,370","11,873,631",106,0
Directorate of Legislation and Procedures,"76,110,523","11,058,580","65,051,943",106,0
Public Financial Management,"278,949,832","669,660","278,280,172",106,0
Supply Chain Management Services,"63,696,000",-,"63,696,000",106,0
Fiscal and Economic Planning,"24,756,000","385,360","24,370,640",106,0
Budget,"18,518,000","179,300","18,338,700",106,0
Accounting,"16,884,000",-,"16,884,000",106,0
Internal Audit,"11,147,531",-,"11,147,531",106,0
Revenue Collection,"143,948,301","105,000","143,843,301",106,0
Economic Policy Coordination and Supervision,"16,341,000",-,"16,341,000",106,0
Monitoring and Evaluation Services,"16,341,000",-,"16,341,000",106,0
Devolution Services,"64,268,000",-,"64,268,000",106,0
Coordination Of Devolution Services,"31,608,000",-,"31,608,000",106,0
