Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual
Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,86,1
"Policy Planning, General Administration
and Support Services",Policy and Planning Services,"4,000,000",-,"4,000,000",-,87,0
,"General Administration and
Support Services","194,973,123","37,948,092","157,025,031",19.5,87,0
,Sub Total,"198,973,123","37,948,092","161,025,031",19.1,87,0
"Crop, Land and Agribusiness
Development Services",Crop Development Services,"17,906,014",-,"17,906,014",-,87,0
,"Agribusiness Development
Services","25,687,000",-,"25,687,000",-,87,0
,Land Development Services,"20,500,000",-,"20,500,000",-,87,0
,"National Agriculture Rural
Inclusive Growth","350,000,000",-,"350,000,000",-,87,0
,"Agriculture Sector Development
Support Programme","22,845,232",-,"22,845,232",-,87,0
,Sub total,"436,938,246",,"436,938,246",-,87,0
Food Security Enhancement Services,Farm Input Access Services,"19,497,000",-,"19,497,000",-,87,0
,"Sub Sector Infrastructure
Development Services","15,000,000",-,"15,000,000",-,87,0
,Sub total,"34,497,000",-,"34,497,000",-,87,0
"Fisheries Resources Development
Services",Capture Fisheries,"12,442,238",-,"12,442,238",-,87,0
,Farmed Fish Production,"54,581,800",-,"54,581,800",-,87,0
,Sub total,"67,024,038",-,"67,024,038",-,87,0
Livestock Development Programme,"Livestock Improvement and
Development","36,352,000",-,"36,352,000",-,87,0
,"Livestock Products Value
Addition and Marketing","36,110,000",-,"36,110,000",-,87,0
,"Livestock Health and Disease
Management","5,613,000",-,"5,613,000",-,87,0
,Sub total,"78,075,000",,"78,075,000",-,87,0
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,87,0
"Policy, Planning and General
Administration services","General Administration and
Support Services","38,486,669","10,104,000","28,382,669",26.3,87,0
,Policy and Planning Services,"2,000,000",-,"2,000,000",-,87,0
,Sub total,"40,486,669","10,104,000","30,382,669",25.0,87,0
"Tourism and Culture Development
Promotion Services","Tourism Development and
Promotion Services","12,615,425",-,"12,615,425",-,87,0
