Programme,Sub- Programme,"Approved Budge
(Kshs)","t Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
"Administration, Planning
and Support Service",Administrative Service,"480,093,70","5 27,127,142","452,966,563",5.7,361,1,,
,"Research and
Development","200,00",0 -,"200,000",-,361,1,,
,Sub total,"480,293,70","5 27,127,142","453,166,563",5.6,361,1,,
"Livestock Development
and Management
Fisheries Development and
Management
Crop Development and
Management
Cooperatives Development
1 Urban and Physical
Planning and Housing
Services","Veterinary Services and
Extension",,,"12,170,357",-,362,0,"12,170,357",-
,Livestock Extension,,,"8,000,000",-,362,0,"8,000,000",-
,Sub total,,,"20,170,357",-,362,0,"20,170,357",-
,"Promotion of Fish
Farming",,,"8,000,000",-,362,0,"8,000,000",-
,Sub total,,,"8,000,000",-,362,0,"8,000,000",-
,Crop Extension,,,"18,500,000",-,362,0,"18,500,000",-
,Farm Input Subsidy,,,"11,500,000",-,362,0,"11,500,000",-
,Sub total,,,"30,000,000",-,362,0,"30,000,000",-
,"Cooperative Development
Services",,,"5,000,000",-,362,0,"5,000,000",-
,Sub total,,,"5,000,000",-,362,0,"5,000,000",-
,"Urban and Physical
Planning",,,"339,110,420",-,362,0,"339,110,420",-
,Housing Development,,,"25,000,000",-,362,0,"25,000,000",-
,Sub total,,,"364,110,420",-,362,0,"364,110,420",-
"Administration, Planning
and Support Service",Administrative Service,,,"401,139,349",5.8,362,0,"426,058,999","24,919,650"
,Sub total,,,"401,139,349",5.8,362,0,"426,058,999","24,919,650"
"Public Finance
Management",Purchase of a trailer,,,"1,000,000",-,362,0,"1,000,000",-
,Sub total,,,"1,000,000",-,362,0,"1,000,000",-
Transport Management,"Transport System
Management",,,"10,900,000",-,362,0,"10,900,000",-
,Mechanical Services,,,"16,529,400",-,362,0,"16,534,400","5,000"
,Sub total,,,"27,429,400",-,362,0,"27,434,400","5,000"
"Infrastructure
Development",Roads Maintenance,,,"6,455,937",-,362,0,"6,455,937",-
,Sub total,,,"6,455,937",-,362,0,"6,455,937",-
"Administration, Planning
and Support Service",Administrative Service,,,"125,006,976",7.4,362,0,"135,021,501","10,014,526"
,Sub total,,,"125,006,976",7.4,362,0,"135,021,501","10,014,526"
Tourism Development,"Tourism Promotion and
Branding",,,"1,977,264",-,362,0,"1,977,264",-
,Sub total,,,"1,977,264",-,362,0,"1,977,264",-
"Administration, Planning
and Support Service",Administrative Service,,,"229,714,188",0.6,362,0,"231,092,538","1,378,350"
,"Human Resource
Management and
Development",,,"652,178,001",28.2,362,0,"907,800,356","255,622,355"
,Healthcare Financing,,,"54,349,110",3.4,362,0,"56,235,510","1,886,400"
