Programme,Sub- Programme,"FY 2019/20
Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption rate
(%)",page_number,table_index
COUNTY ASSEMBLY,,,,,,301,0
Legislative and Representation,"Legislative and Representa-
tion","308,711,142","64,965,246","243,745,896",21,301,0
,Sub total,"308,711,142","64,965,246","243,745,896",21,301,0
Legislative Oversight,Legislative Oversight,"82,352,400","23,051,800","59,300,600",28,301,0
,Sub total,"82,352,400","23,051,800","59,300,600",28,301,0
"General administration and
planning support services","General administration and
planning support services","943,886,097","43,718,997","900,167,100",4.6,301,0
,Sub total,"943,886,097","43,718,997","900,167,100",4.6,301,0
GOVERNANCE AND ADMINISTRATION,,,,,,301,0
,"General administration and
planning support services",-,-,-,-,301,0
,Sub total,-,-,-,-,301,0
,"Coordination of devolved
services","48,040,356","9,416,672","38,623,684",19.6,301,0
,Sub total,"48,040,356","9,416,672","38,623,684",19.6,301,0
"County Governance
County Executive Adminis-
tration
Human Capital Management
Information Communication
Services",County Governance,"121,469,771",-,"121,469,771",-,301,0
,Sub total,"121,469,771",-,"121,469,771",-,301,0
,"County Executive Adminis-
tration","363,945,974","93,762,343","270,183,632",25.8,301,0
,Sub total,"363,945,974","93,762,343","270,183,632",25.8,301,0
,Human Capital Management,"41,026,447","5,542,540","35,483,907",13.5,301,0
,Sub total,"41,026,447","5,542,540","35,483,907",13.5,301,0
,"Information Communication
Services","6,891,600",-,"6,891,600",-,301,0
,Sub total,"6,891,600",-,"6,891,600",-,301,0
"Monitoring and Evaluation
County Attorney
County Public Service Board",Monitoring and Evaluation,"6,371,510",-,"6,371,510",-,301,0
,Sub total,"6,371,510",-,"6,371,510",-,301,0
,County Attorney,"21,000,000",-,"21,000,000",-,301,0
,Sub total,"21,000,000",-,"21,000,000",-,301,0
,County Public Service Board,"64,500,087","2,305,929","62,194,158",3.6,301,0
,Sub total,"64,500,087","2,305,929","62,194,158",3.6,301,0
,,,,,,301,0
FINANCE AND ECONOMIC PLANNING,,,,,,301,0
General Administration,General Administration,"388,086,899","182,856,421","205,230,478",47.1,301,0
,Sub total,"388,086,899","182,856,421","205,230,478",47.1,301,0
