Department,Sub- Programme,"Approved Budget
(Kshs)","Actual
Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
County Assembly,Totals,"405,000,000","44,235,112","360,764,888",10.9,177,1
,"P.1Administration, planning and support
services.","204,981,120","38,824,468","166,156,652",18.9,177,1
,P.2 Legislation and Oversight,"200,018,880","5,410,644","194,608,236",2.7,177,1
County Executive,Totals,"379,998,782","44,746,681","335,252,101",11.8,177,1
,"P 1: Administration, planning and support
services.","173,064,584","34,074,169","138,990,415",19.7,177,1
,P.2 Executive Services,"183,714,342","10,301,913","173,412,429",5.6,177,1
,P 3: Coordination & Policy formulation,"5,175,000","278,600","4,896,400",5.4,177,1
,P5:,"18,044,856","91,999","17,952,857",0.5,177,1
Finance,Totals,"84,106,322","15,721,776","68,384,546",18.7,177,1
,"P 1: Administration, planning support
services","84,106,322","15,721,776","68,384,546",18.7,177,1
"Agriculture &
Irrigation",Totals,"117,079,464","11,432,318","105,647,146",9.8,177,1
,P 2: Extension services,"67,056,564","11,432,318","55,624,246",17.0,177,1
,P7: Crop Management,"7,476,916",-,"7,476,916",-,177,1
,P8: Crop Husbandry,"1,967,844",-,"1,967,844",-,177,1
,P9: Plant disease control,"40,578,140",-,"40,578,140",-,177,1
"Land, Physical Planning",Totals,"24,601,164","5,981,648","18,619,516",24.3,178,0
,"P 1: Administration, planning & support
Services","24,151,164","5,981,648","18,169,516",24.8,178,0
,P3: Survey & Planning,"200,000",-,"200,000",-,178,0
,"P4: Housing, Urban Devpt &
Infrastructure","250,000",-,"250,000",-,178,0
"3216 Education,
Gender, Youth Affairs,
Sports and Social
Services",Totals,"183,123,190","17,360,197","165,762,993",9.5,178,0
,P 1: Head Quarters,"21,068,790","3,296,000","17,772,790",15.6,178,0
,P2: Early Childhood Development,"162,054,400","14,064,197","147,990,203",8.7,178,0
"Health Services,
Sanitation and
Environmnet",Totals,"746,125,484","167,566,371","578,559,113",22.5,178,0
,P 1: Head Quarters,"649,570,700","167,566,371","482,004,329",25.8,178,0
,"P2: Curative & Rehabilitative Health
Dept","48,510,000",-,"48,510,000",-,178,0
,P3: Preventive & Promotive Health,"48,044,784",-,"48,044,784",-,178,0
"Trade, Investment,
culture and Tourism",Totals,"18,518,304","2,418,748","16,099,556",13.1,178,0
,"P 1:Administration, planning & support
Services","10,550,892","2,418,748","8,132,144",22.9,178,0
,P 2: Tourism Promotion,"3,469,072",-,"3,469,072",-,178,0
,P 3: Trade & Industrialization,4498340,-,"4,498,340",-,178,0
"Livestock, Veterinary
and Cooperative
Development",Totals,"35,757,308","8,991,587","26,765,721",25.1,178,0
,"P.1 Administration, planning and support
services.","8,378,388","1,500,000","6,878,388",17.9,178,0
,P 3: Livestock,"9,835,306","3,008,399","6,826,907",30.6,178,0
,P 4: Veterinary,"15,531,880","4,483,188","11,048,692",28.9,178,0
,P 5: Cooperative,"2,011,734",-,"2,011,734",-,178,0
Public Service Board,Totals,"43,472,772","4,068,262","39,404,510",9.4,178,0
,P1: Trade Development & Regulation,"43,472,772","4,068,262","39,404,510",9.4,178,0
"Water Management and
Conservation",Totals,"25,916,932","1,443,265","24,473,667",5.6,178,0
,"P 1: Administration and planning support
services","15,252,252","1,443,265","13,808,987",9.5,178,0
,P 2: Water Management and Provision,"10,664,680",-,"10,664,680",-,178,0
"Gender, Sports, Youth,
Culture & Social
Services","P.1 Administration, planning and support
services.","21,827,800","1,395,168","20,432,632",6.4,178,0
,"P.1 Administration, planning and support
services.","8,900,400","765,684","8,134,716",8.6,178,0
,"P2. Youth, Culture & Sports Development","8,554,200","629,484","7,924,716",7.4,178,0
,,"4,373,200",-,"4,373,200",-,178,0
"Public Health
Environment and
Sanitation",Totals,"89,321,750","11,659,088","77,662,662",13.1,178,0
,"P 1: General Administration, Planning
and Support Services","80,150,136","11,659,088","68,491,048",14.5,178,0
,P 2: Public Health and Sanitation,"4,765,000",-,"4,765,000",-,178,0
,P 4: Environment and Natural Resources,"4,406,614",-,"4,406,614",-,178,0
Fisheries,Totals,"33,368,840","4,513,669","28,855,171",13.5,178,0
,"P.1 Administration, planning and support
services.","28,816,540","4,513,669","24,302,871",15.7,178,0
,P 2: Fisheries,"4,552,300",0,"4,552,300",0.0,178,0
"Budget And Economic
Planning",Totals,"21,433,802","1,359,832","20,073,970",6.3,178,0
,"P 1: Administration, planning support
services","13,490,229","1,359,832","12,130,397",10.1,178,0
,P 2: Economic Planning and Budgeting,"7,943,573",-,"7,943,573",-,178,0
