Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",558,0
3611 Office of Governor and Deputy Governor,,,,,,,,558,0
"P: County Government
Advisory Services","SP: Public Sector Advi-
sory Services (Legal &
Economic Advisors)","16,200,000",-,"7,224,020",-,44.6,-,558,0
,"SP: Communication and
Strategy","12,800,000",-,"5,749,780",-,44.9,-,558,0
"P: County Leadership
and Coordination of
MDAs","SP: Coordination of
CMAs (Office of Coun-
ty Secretary)","7,180,000",-,"4,442,810",-,61.9,-,558,0
"P: General Adminis-
tration, Planning and
Support Services","SP: Management of
County Affairs (Office
of Governor)","87,110,823",-,"53,466,124",-,61.4,-,558,0
,"SP: Coordination and
Supervisory Services
(Deputy Governor’s
Office)","34,350,000",-,"6,899,108",-,20.1,-,558,0
Sub Total,,"157,640,823",-,"77,781,842",-,49.3,-,558,0
"3612 Roads, Infrastructure and Public Works",,,,,,,,558,0
"P: General Adminis-
tration Planning and
Support Services","SP: General Administra-
tion Services",-,"19,845,700",-,-,-,0,558,0
,"SP: General Administra-
tion Services","66,722,060",-,"66,397,347",-,99.5,-,558,0
"P: Kathwana Munic-
ipality Development
Programme","SP: Kathwana Urban
Area Support","6,920,210","10,000,000","4,247,279",-,61.4,-,558,0
"P: Public Works and
Housing Services","SP: Public Works
Services","4,649,002",-,"4,882,372",-,105,-,558,0
P: Roads Transport,"SP: Rural Roads
Improvement and Main-
tenance Services","125,730,000","425,000,000","51,101,857","295,660,635",40.6,69.6,558,0
"P: Urban Development
and Administration","SP: Urban Administra-
tive Services","49,695,000","161,700,000","37,580,685",-,75.6,0.-,558,0
Sub Total,,"253,716,272","616,545,700","164,209,540","295,660,635",64.7,48,558,0
3613 Medical Services,,,,,,,,558,0
"P: Curative and Reha-
bilitative Services",SP: Primary Healthcare,-,"122,500,000",-,"19,154,795",-,15.6,558,0
,SP: Medical Supplies,"152,139,134",-,"23,646,152",-,15.5,-,558,0
,SP: Laboratory Services,"36,400,000",-,-,-,-,-,558,0
"P: General Adminis-
tration Planning and
Support Services","SP: General Administra-
tion Services","78,500,000","27,500,000","1,799,984",-,2.3,-,558,0
,"SP: Human resource
management","1,049,545,879",-,"996,303,505",-,94.9,-,558,0
,"SP: Policy, Planning, Fi-
nancing and Budgeting","138,600,000",-,"4,582,311",-,3.3,-,558,0
"P: ICT Infrastructure
Development","SP: ICT Infrastructure
Development","40,600,500",-,"5,687,427",-,14,-,558,0
Sub Total,,"1,495,785,513","150,000,000","1,032,019,379","19,154,795",69,12.8,558,0
3615 Agriculture and Crop Production,,,,,,,,558,0
"P: Cooperative
Development and
Management","SP: Cooperative Devel-
opment","3,493,683",-,"273,600",-,7.8,-,558,0
"P: Crop Development
and Management","SP: Crops Develop-
ment, Agribusiness and
Market Development","10,237,062","586,090,831","3,282,552","298,114,373",32.1,50.9,558,0
"P: General Adminis-
tration Planning and
Support Services","SP: Administration,
Policy, Strategy and
Management of Agri-
culture","103,519,212","10,000,000","68,214,173","4,980,000",65.9,49.8,558,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",559,0
"P: Livestock and
Fisheries Resource
Management and
Development","SP: Livestock Policy
Development and
Capacity Building","58,926,264","97,989,340","38,580,806","1,181,386",65.5,1.2,559,0
,"SP: Veterinary Services
and Disease Prevention","9,700,000","12,859,360","4,519,225","9,825,200",46.6,76.4,559,0
Sub Total,,"185,876,221","706,939,531","114,870,356","314,100,959",61.8,44.4,559,0
3616 Public Administration and Devolution Affairs,,,,,,,,559,0
"P: General Adminis-
tration, Planning and
Support Services","SP: General Admin-
istration and Support
Services","130,294,634",-,"81,855,934",-,62.8,-,559,0
,"SP: Sub-County Ad-
ministration and Field
Services","1,889,665","10,000,000","344,600",-,18.2,-,559,0
,"SP: Human Resource
Management Services","8,240,000",-,"2,971,800",-,36.1,-,559,0
Sub Total,,"140,424,299","10,000,000","85,172,334",- -,60.7,-,559,0
"3617 Education, Gender, Culture and Social Services",,,,,,,,559,0
"P: Education and
Youth Training","SP: Promotion of Basic
Education (ECDE)","42,641,611","45,000,000","6,613,680","31,724,613",15.5,70.5,559,0
,"SP: Youth Training and
Capacity Building","16,060,089","10,000,000","3,975,280",-,24.8,-,559,0
"P: General Adminis-
tration Planning and
Support Services","SP: Administration
Planning and Support
Services","152,944,800",-,"109,237,611",-,71.4,-,559,0
Sub Total,,"211,646,500","55,000,000","119,826,571","31,724,613",56.6,57.7,559,0
3619 Finance and Economic Planning,,,,,,,,559,0
"P: Economic Policy
and County Planning","SP: Monitoring and
Evaluation Services","4,270,000",-,"1,231,800",-,28.8,-,559,0
,"SP: Economic Devel-
opment, Planning and
Coordination Services","3,220,000",-,"1,633,000",-,50.7,-,559,0
,"SP: County Statistics
Services","7,005,000",-,"1,856,180",-,26.5,-,559,0
"P: Financial Manage-
ment Services","SP: Supply Chain Man-
agement Services","4,610,000",-,"657,200",-,14.3,-,559,0
,SP: Audit Services,"9,435,000",-,"2,453,990",-,26.,-,559,0
,"SP: Budget Formulation
and Coordination","4,417,000",-,"1,573,760",-,35.6,-,559,0
,SP: Accounting Services,"5,255,000",-,"2,204,880",-,42.,-,559,0
"P: General Adminis-
tration, Planning and
Support Services","SP: Human Resource
Management Services","210,302,400",-,"123,171,183",-,58.6,-,559,0
Sub Total,,"248,514,400",-,"134,781,993",-,54.2,-,559,0
"3620 Environment, Mining and Natural Resources",,,,,,,,559,0
"P: Environment and
Natural Resources
Management","SP: Environment and
Natural Resource","42,850,000","216,000,000","25,523,787",-,59.6,-,559,0
Sub Total,,"42,850,000","216,000,000","25,523,787",-,59.6,-,559,0
3622 Water Services and Irrigation,,,,,,,,559,0
"P: Water Supply
Services","SP: Domestic Water
Services","40,693,750","59,500,000","22,550,695","18,091,659",55.4,30.4,559,0
,"SP: Water Storage
Services","2,133,000",-,"496,400",-,23.3,-,559,0
,"SP: Irrigation and
Drainage Services","10,767,000","26,500,000","1,483,801",-,13.8,-,559,0
Sub Total,,"53,593,750","86,000,000","24,530,896","18,091,659",45.8,21,559,0
3623 County Public Service Board,,,,,,,,559,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",560,0
"P: General Adminis-
tration, Planning and
Support Services","SP: General Admin-
istration and Support
Services","26,400,400",-,"13,006,183",-,49.3,-,560,0
,"SP: Human Resource
Management Services","11,220,000",-,"1,153,150",-,10.3,-,560,0
Sub Total,,"37,620,400",-,"14,159,333",- -,37.6,-,560,0
3625 Public Health and Sanitation,,,,,,,,560,0
"P: Preventive and
Promotive Health
Services","SP: Health Promotion
and Disease Control","253,205,400","124,723,404","202,869,737",-,80.1,-,560,0
,"SP: Environmental
Health services","63,347,000",-,"6,112,367",-,9.6,-,560,0
Sub Total,,"316,552,400","124,723,404","208,982,104",- -,66,-,560,0
3628 Youth and Sports,,,,,,,,560,0
"P: General Adminis-
tration Planning and
Support Services","SP: General Administra-
tion Services",-,"2,000,000",-,-,-,-,560,0
"P: Sports Development
and Promotion","SP: County Football
League and Clubs
Development","1,350,000",-,"20,000",-,1.5,-,560,0
,"SP: Athletics Cham-
pionships and Other
Games","5,560,414",-,"333,400",-,6.-,-,560,0
,"SP: Talent Search and
Promotion","30,858,386","19,000,000","17,023,374",-,55.2,-,560,0
Sub Total,,"37,768,800","21,000,000","17,376,774",-,46,-,560,0
3629 Culture and Tourism,,,,,,,,560,0
"P: Culture, Arts and
Social Services","SP: Culture and Arts
Promotion","26,975,200","3,000,000","9,757,200",-,36.2,-,560,0
"P: Tourism Develop-
ment and Promotion","SP: Tourism Promotion
and Infrastructure
Development","1,380,900",-,"330,000",-,23.9,-,560,0
,"SP: Miss Tourism
Tharaka Nithi","2,157,150",-,"412,000",-,19.1,-,560,0
Sub Total,,"30,513,250","3,000,000","10,499,200",-,34.4,-,560,0
3630 Revenue and Resource Mobilization,,,,,,,,560,0
"P: Financial Manage-
ment Services","SP: Resource Mobiliza-
tion and Management","20,759,500",-,"10,035,620",-,48.3,-,560,0
"P: Resource Mobili-
zation","SP: Revenue Adminis-
tration","99,279,500","10,000,000","64,451,964",-,64.9,-,560,0
Sub Total,,"120,039,000","10,000,000","74,487,584",- -,62.1,-,560,0
"3631 Lands, Physical Planning and Housing",,,,,,,,560,0
"P: General Adminis-
tration, Planning and
Support Services","SP: General Admin-
istration and Support
Services",,"103,160,000",,-,-,-,560,0
